UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
79IN03076,1977431586,77,2,T1586,,40,401,,,,,,,,3,,,,,,,153,,7,,02,,43,0912,,009943,3,,872842,97,,1979
79IN03077,1977431587,77,2,T1587,,40,401,,,,,,,,3,30,,403,,, 2,142,162,,,02,,43,,,009943,2,,872842,,,1979
79IN03078,1977431593,77,2,T1593,,41,413,,,,,,,,1,30,,413,,, 3,152,165,,,02,,43,,,076543,2,,959542,,,1979
79IN03079,1977431607,77,2,T1607,,41,413,,,,,,,,5,30,,414,,, 2,122,132,,,02,,43,,,076543,2,,711542,,,1979
79IN03080,1977431610,77,1,T1610,,42,942,,,3,,,,,3,,,,,,,122,139,3,,02,,43,0730,,004743,M,199,006443,93,,1979
79IN03081,1977431611,77,2,T1611,,40,404,,,3,,,,,8,,,,,,12,141,138,,,02,,43,,,059343,3,,837042,,,1979
79IN03082,1977431612,77,2,T1612,,40,404,,,,,,,,8,30,,404,,, 2,181,185,,,02,,43,,,059343,1,,837042,,,1979
79IN03083,1977431616,77,2,T1616,,43,435,,,,,,,,5,30,,432,,, 2,136,153,,,02,,43,,,108143,6,,974942,,,1979
79IN03084,1977431618,77,2,T1618,,41,411,,,,,,,,1,30,,411,,, 1,135,184,,,02,,43,,,111143,1,,942542,,,1979
79IN03085,1977431619,77,2,T1619,,43,433,,,,,,,,1,,,,,,,130,,6,,02,,43,0911,,146643,6,,381842,04,,1979
79IN03086,1977431622,77,2,T1622,,40,403,,,,,,,,3,,,,,,,148,,6,,02,,43,0804,,009243,3,,017943,04,,1979
79IN03087,1977431623,77,2,T1623,,41,414,,,,,,,,5,30,,706,,, 2,114,132,,,02,,43,,,104443,3,,978842,,,1979
79IN03088,1977431630,77,2,T1630,,40,403,,,,,,,,7,30,,404,,, 2,151,152,,,02,,43,,,009243,2,,448842,,,1979
79IN03089,1977431633,77,2,T1633,,43,435,,,,,,,,3,30,,433,,, 3,123,136,,,02,,43,,,108143,6,,785042,,,1979
79IN03090,1977431634,77,2,T1634,,40,404,,,,,,,,5,30,,402,,, 2,152,164,,,02,,43,,,059343,2,,856942,,,1979
79IN03091,1977431636,77,2,T1636,,43,433,,,,,,,,1,30,,434,,, 2,150,181,,,02,,43,,,146643,6,,848442,,,1979
79IN03092,1977431641,77,2,T1641,,42,842,,,,,,,,3,30,,802,,, 2,122,141,,,02,,43,,,070243,3,,649742,,,1979
79IN03093,1977431642,77,2,T1642,,41,412,,,,,,,,1,,,,,,,,,6,,02,,43,0502,,103743,*,,962542,48,,1979
79IN03094,1977431645,77,2,T1645,,41,412,,,,,,,,3,30,,705,,, 2,124,139,,,02,,43,,,103743,2,,555542,,,1979
