UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,GOK,YRREC,AGE
70IN03729,1969423963,69,1,T3963,4,76,53,,,,,,,,2,02,6,1,,125,09,,125,150,,,100,,42,,138,4,197342,,229,171842,,,,1970,1.0
70IN03730,1969423965,69,1,T3965,4,78,54,,,,,,,,2,02,6,1,,095,10,,95,122,3,,085,,42,0803,094,2,065942,,212,883341,,,,1970,1.0
70IN03731,1969423971,69,1,T3971,4,73,50,,,,,,,,2,02,6,1,,128,08,,128,130,3,,082,,42,0803,115,2,107742,,240,001042,,,,1970,1.0
70IN03732,1969423975,69,1,T3975,4,77,56,,,,,,,,2,02,6,4,200,108,08,,108,138,2,,104,,42,0926,109,3,178242,,234,100342,,,,1970,1.0
70IN03733,1969423976,69,2,T3976,4,77,50,,,,,,,,2,02,6,1,31,082,06,,82,125,2,,083,,42,0926,096,2,107742,,,091642,,,,1970,1.0
70IN03734,1969423977,69,2,T3977,4,77,50,,,,,,,,2,02,6,1,15,098,10,,98,137,2,,081,,42,0926,103,3,107742,,,091642,,,,1970,1.0
70IN03735,1969423978,69,1,T3978,4,74,57,,,,,,,,2,02,6,6,,108,07,,108,150,,,096,,42,,132,3,108242,,229,076142,,,,1970,1.0
70IN03736,1969423980,69,2,T3980,4,77,52,,,,,,,,2,02,6,1,14,082,07,,82,118,2,,112,,42,0926,112,4,786541,,,158842,,,,1970,1.0
70IN03737,1969423982,69,2,T3982,4,77,58,,,,X,,,,2,02,6,1,770,095,06,,95,106,,,106,,42,,117,4,796641,,,055142,,,01,1970,1.0
70IN03738,1969423984,69,1,T3984,4,72,892,,,,,,,,2,02,3,4,,088,07,,88,116,,,094,,42,,100,3,209342,,210,916541,,,,1970,1.0
70IN03739,1969423985,69,2,T3985,4,77,50,,,,,,,,2,02,6,1,31,083,07,,83,124,2,,111,,42,0926,089,3,107742,,,138242,,,,1970,1.0
70IN03740,1969423987,69,2,T3987,4,73,56,,,,,,,,2,02,6,1,33,106,08,,106,151,2,,101,,42,0926,134,5,178242,,,941241,,,,1970,1.0
70IN03741,1969423988,69,1,T3988,4,70,732,,,,,,,,2,02,2,1,194,102,10,,102,143,2,,097,,42,0926,104,3,229842,,229,204042,,,,1970,1.0
