UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
69IN02473,1968422472,68,2,T2472,4,77,42,,,,,,,3,2,02,7,1,771,102,10,,102,128,,82,128,,42,,131,5,087842,,,036842,,,1969,1.0
69IN02474,1968422473,68,2,T2473,4,75,40,,,,,,,1,2,02,7,1,751,094,11,,94,137,,82,108,,42,,137,4,075942,,,095642,,,1969,1.0
69IN02475,1968422476,68,2,T2476,4,78,40,,,,,,,2,2,02,7,1,780,088,10,,88,114,,82,111,,42,,099,3,075942,,,128942,,,1969,1.0
69IN02476,1968422477,68,2,T2477,4,77,40,,,,,,,2,2,02,7,1,772,090,06,,90,123,,82,115,,42,,092,3,075942,,,128942,,,1969,1.0
69IN02477,1968422478,68,1,T2478,4,75,49,,,,,,,2,2,02,7,2,138,143,08,,143,173,2,82,103,,42,8898,171,4,962541,,256,015342,,,1969,1.0
69IN02478,1968422479,68,2,T2479,4,74,49,,,,,,,2,2,02,7,1,741,095,10,,95,128,,82,095,,42,,119,2,962541,,,015342,,,1969,1.0
69IN02479,1968422482,68,1,T2482,4,74,46,,,,,,,1,2,02,7,1,,120,09,,120,155,3,82,100,,42,0812,161,4,137642,,223,124642,, 3,1969,1.0
69IN02480,1968422483,68,2,T2483,4,76,43,,,,,,,1,2,02,7,1,760,102,12,,102,126,,82,129,,42,,151,6,008142,,,989041,,,1969,1.0
69IN02481,1968422484,68,2,T2484,4,75,42,,,,,,,1,2,02,7,1, 26,120,08,,120,147,2,82,097,,42,0927,122,4,087842,,,088942,,,1969,1.0
69IN02482,1968422485,68,2,T2485,4,74,47,,,,,,,1,2,02,7,1,740,106,07,,106,127,,82,102,,42,,116,4,107042,,,987541,,,1969,1.0
69IN02483,1968422486,68,2,T2486,4,76,44,,,,,,,3,2,02,7,1,761,123,11,,123,150,,82,113,,42,,140,4,023042,,,049142,,,1969,1.0
69IN02484,1968422488,68,2,T2488,4,78,04,,,,,,,3,2,02,9,1,781,104,08,,104,136,,82,097,,42,,100,2,002142,,,899141,,,1969,1.0
69IN02485,1968422489,68,2,T2489,4,77,48,,,,,,,2,2,02,7,1, 16,117,10,,117,153,2,82,095,,42,0927,139,2,968541,,,987341,,,1969,1.0
69IN02486,1968422490,68,2,T2490,4,76,48,,,,,,,2,2,02,7,1, 17,112,09,,112,147,2,82,095,,42,0927,133,4,968541,,,987341,,,1969,1.0
69IN02487,1968422491,68,2,T2491,4,76,48,,,,,,,2,2,02,7,1, 17,115,09,,115,145,2,82,111,,42,0927,112,3,968541,,,027242,,,1969,1.0
