UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,AGE,RMK,YRREC
97IN02542,1995106159,S6159,10,S6159,95,2,13,1,07, 41,346010,205510,0,,,,1,,1,178,171,1,,,,F,34,0,1,2.0,4TEATS,1997
97IN02543,1995106164,S6164,10,S6164,95,2,10,1,07, 23,257610,882619,0,,,,1,,1,160,149,3,,,,M,23,0,1,2.0,4TEATS,1997
97IN02544,1995106168,S6168,10,S6168,95,1,11,1,07, 32,235910,085410,0,,,,2,145,M,198,223,0,,92,0918,R,,0,,2.0,,1997
97IN02545,1995106169,S6169,10,S6169,95,1,11,1,07, 32,235910,085410,0,,,,2,145,M,197,219,0,,92,0918,R,,0,,2.0,,1997
97IN02546,1995106171,S6171,10,S6171,95,1,12,1,42, 82,254510,071510,0,,,,3,,M,177,207,0,,93,0811,C,,0,,2.0,,1997
97IN02547,1995106183,S6183,10,S6183,95,2,11,1,07, 34,256710,080910,0,,,,1,,1,185,175,1,,,,R,14,0,1,2.0,CHK WGT,1997
97IN02548,1995106184,S6184,10,S6184,95,2,12,1,43, 86,328610,837319,0,,,,6,,*,0,0,2,,28,0404,C,,0,1,2.0,"ENTR,L",1997
97IN02549,1995106193,S6193,10,S6193,95,1,12,1,42, 82,254510,374410,0,,,,3,,M,175,183,0,,93,0811,C,,0,,2.0,,1997
97IN02550,1995106195,S6195,10,S6195,95,1,13,1,42, 42,263010,036010,0,,,,2,161,Y,185,212,0,,92,0918,F,,0,,2.0,"J2,SLI.OVER",1997
97IN02551,1995106197,S6197,10,S6197,95,2,12,1,07, 81,6139TX,917519,0,,,,1,,1,185,171,2,,,,C,80,0,1,2.0,HAIRY,1997
97IN02552,1995106203,S6203,10,S6203,95,2,11,1,07, 33,250510,237810,0,,,,1,,1,135,183,1,,,,R,14,0,1,2.0,,1997
97IN02553,1995106204,S6204,10,S6204,95,1,11,1,07, 33,250510,237810,0,,,,3,,M,200,220,0,,93,0811,R,,0,,2.0,LOW LIB,1997
97IN02554,1995106205,S6205,10,S6205,95,2,12,1,42, 84,234910,037410,0,,,,1,,2,162,162,2,,,,C,86,0,1,2.0,DYSTOCIA,1997
97IN02555,1995106208,S6208,10,S6208,95,2,10,1,07, 24,258510,291310,0,,,,1,,2,161,152,3,,,,M,22,0,1,2.0,,1997
97IN02556,1995106216,S6216,10,S6216,95,1,10,1,43, 21,354710,131210,2,,,,3,LIB,*,0,0,0,,,,,,0,,2.0,"H6,SIZE?",1997
97IN02557,1995106249,S6249,10,S6249,95,2,11,1,07, 33,250510,977719,0,,,,1,,2,176,164,3,,,,R,13,0,1,2.0,,1997
