UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,GRP,PAD4,ABEWE,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
86IN01860,1985028848,85,1,Y8848,,73,204,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,203402,93,,1986
86IN01861,1985028849,85,1,Y8849,,74,215,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 49302,93,,1986
86IN01862,1985028850,85,2,Y8850,,75,218,,2,4,6,1,,,,05,,,,,,,120,138,2,,30,,02,0918,,,,000002,4,,489202,92,,1986
86IN01863,1985028851,85,1,Y8851,-,72,725,,2,1,,1,,,,05,,,,,,,128,146,,,30,,02,,,,,000002,Y,242,323702,,,1986
86IN01864,1985028852,85,2,Y8852,,72,725,,2,1,6,1,,,,05,,,,,, 1,100,115,,118,30,,02,,,,,000002,4,,323702,,,1986
86IN01865,1985028853,85,1,Y8853,,75,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,665101,93,,1986
86IN01866,1985028854,85,1,Y8854,,75,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,665101,93,,1986
86IN01867,1985028855,85,2,Y8855,,74,207,,2,,6,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,,116002,93,,1986
86IN01868,1985028856,85,2,Y8856,,75,205,,2,1,6,1,,,,05,,,,,, 1,101,127,,124,30,,02,,,,,000002,4,,930001,,,1986
86IN01869,1985028857,85,2,Y8857,,73,206,,2,4,6,1,,,,05,,,,,,,99,122,2,,30,,02,0918,,,,000002,4,,562302,92,,1986
86IN01870,1985028858,85,2,Y8858,,73,206,,2,,6,1,,,,05,,,,,,,132,0,3,,30,,02,0623,,,,000002,9,,562302,93,,1986
86IN01871,1985028859,85,2,Y8859,,73,205,,2,,6,1,,,,05,,,,,,,128,0,3,,30,,02,0623,,,,000002,9,,395802,93,,1986
86IN01872,1985028860,85,2,Y8860,,73,205,,2,1,6,1,,,,05,,,,,, 2,127,0,,166,30,,02,,,,,000002,4,,395802,,,1986
86IN01873,1985028861,85,1,Y8861,,73,209,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0205,,,,000002,*,,221702,93,,1986
86IN01874,1985028862,85,1,Y8862,,75,215,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 80802,93,,1986
86IN01875,1985028863,85,2,Y8863,,75,215,,2,1,6,1,,,,05,,,,,, 2,110,0,,135,30,,02,,,,,000002,4,, 80802,,,1986
86IN01876,1985028864,85,2,Y8864,,74,218,,2,1,6,1,,,,05,,,,,, 1,114,126,,132,30,,02,,,,,000002,4,,992101,,,1986
86IN01877,1985028865,85,1,Y8865,,74,218,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,992101,93,,1986
86IN01878,1985028866,85,2,Y8866,,73,206,,2,1,6,1,,,,05,,,,,, 1,104,127,,124,30,,02,,,,,000002,4,,535401,,,1986
86IN01879,1985028867,85,1,Y8867,,73,217,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,652202,93,,1986
86IN01880,1985028868,85,1,Y8868,,76,216,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,582202,93,,1986
86IN01881,1985028869,85,1,Y8869,,74,206,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,117602,93,,1986
86IN01882,1985028870,85,1,Y8870,,76,211,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,239402,93,,1986
86IN01883,1985028871,85,1,Y8871,,72,725,,2,1,,1,,,,05,,,,,,,142,163,,,30,,02,,,,,000002,Y,258,951601,,,1986
86IN01884,1985028872,85,2,Y8872,,74,216,,2,1,6,1,,,,05,,,,,, 1,118,136,,135,30,,02,,,,,000002,4,,230702,,,1986
86IN01885,1985028873,85,1,Y8873,,74,216,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,230702,93,,1986
86IN01886,1985028874,85,1,Y8874,,73,218,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0324,,,,000002,*,,952901,93,,1986
86IN01887,1985028875,85,2,Y8875,,73,218,,2,1,6,1,,,,05,,,,,, 1,113,133,,130,30,,02,,,,,000002,4,,952901,,,1986
86IN01888,1985028876,85,1,Y8876,,75,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,883601,93,,1986
86IN01889,1985028877,85,1,Y8877,,75,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,883601,93,,1986
86IN01890,1985028878,85,2,Y8878,,72,722,,2,1,6,1,,,,05,,,,,, 1,101,128,,128,30,,02,,,,,000002,4,,335502,,,1986
86IN01891,1985028879,85,2,Y8879,,72,722,,2,1,6,1,,,,05,,,,,, 1,104,121,,123,30,,02,,,,,000002,4,,335502,,,1986
86IN01892,1985028880,85,1,Y8880,,74,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,890701,93,,1986
86IN01893,1985028881,85,1,Y8881,,72,721,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,553601,93,,1986
86IN01894,1985028882,85,1,Y8882,,73,215,,2,3,,1,,,,05,,,,,,,112,137,3,,30,,02,0730,,,,000002,Y,240,750001,93,,1986
86IN01895,1985028883,85,2,Y8883,,74,211,,2,4,6,1,,,,05,,,,,,,110,133,2,,30,,02,0918,,,,000002,4,,893601,92,,1986
86IN01896,1985028884,85,1,Y8884,,74,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,620801,93,,1986
86IN01897,1985028885,85,1,Y8885,,74,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,620801,93,,1986
86IN01898,1985028886,85,1,Y8886,,75,211,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0205,,,,000002,*,, 90902,93,,1986
86IN01899,1985028887,85,1,Y8887,,75,211,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,890601,93,,1986
86IN01900,1985028888,85,1,Y8888,,76,204,,2,1,,0,,,,05,,,,,,,136,164,,,30,,02,,,,,000002,Y,252,841901,,,1986
86IN01901,1985028889,85,2,Y8889,,73,204,,2,1,6,1,,,,05,,,,,, 5,124,0,,166,30,,02,,,,,000002,4,,600002,,,1986
86IN01902,1985028890,85,1,Y8890,,73,209,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 49102,93,,1986
86IN01903,1985028891,85,2,Y8891,,75,204,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 52602,93,,1986
86IN01904,1985028892,85,2,Y8892,,75,209,,2,1,6,1,,,,05,,,,,, 2,97,0,,139,30,,02,,,,,000002,4,,894201,,,1986
86IN01905,1985028893,85,2,Y8893,,75,209,,2,,6,1,,,,05,,,,,,,103,0,3,,30,,02,0623,,,,000002,9,, 47402,93,,1986
86IN01906,1985028894,85,1,Y8894,,76,204,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,223402,93,,1986
86IN01907,1985028895,85,2,Y8895,,73,210,,2,1,6,1,,,,05,,,,,, 2,117,0,,139,30,,02,,,,,000002,4,,374902,,,1986
86IN01908,1985028896,85,1,Y8896,,74,203,,2,1,,0,,,,05,,,,,,,143,163,,,30,,02,,,,,000002,Y,262,434602,,,1986
86IN01909,1985028897,85,1,Y8897,,00,209,,2,,3,0,,,,05,,,,,,,88,0,,,30,,02,,,,,000002,Y,,490002,,,1986
86IN01910,1985028898,85,1,Y8898,,76,215,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,573502,93,,1986
86IN01911,1985028899,85,2,Y8899,,75,215,,2,4,6,1,,,,05,,,,,,,118,128,2,,30,,02,0918,,,,000002,4,,626601,92,,1986
86IN01912,1985028900,85,1,Y8900,,74,204,,2,1,,1,,,,05,,,,,,,129,155,,,30,,02,,,,,000002,Y,253,746701,,,1986
86IN01913,1985028901,85,2,Y8901,,73,203,,2,1,6,1,,,,05,,,,,, 2,113,0,,144,30,,02,,,,,000002,4,,439902,,,1986
86IN01914,1985028902,85,1,Y8902,,72,721,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,757401,93,,1986
86IN01915,1985028903,85,2,Y8903,,72,721,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,757401,93,,1986
86IN01916,1985028904,85,1,Y8904,,74,202,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,349502,93,,1986
86IN01917,1985028905,85,1,Y8905,,73,201,,2,1,,1,,,,05,,,,,,,112,130,7,,30,,02,1217,,,,000002,Y,236,206202,97,,1986
86IN01918,1985028906,85,2,Y8906,,73,201,,2,4,6,1,,,,05,,,,,,,108,126,2,,30,,02,0918,,,,000002,4,,206202,92,,1986
86IN01919,1985028907,85,2,Y8907,,73,217,,2,1,6,1,,,,05,,,,,, 1,118,131,,135,30,,02,,,,,000002,4,, 79002,,,1986
86IN01920,1985028908,85,1,Y8908,-,73,208,,2,3,,1,,,,05,,,,,,,128,159,3,,30,,02,0730,,,,000002,Y,270,487202,93,,1986
86IN01921,1985028909,85,1,Y8909,,73,208,,2,1,,1,,,,05,,,,,,,109,129,,,30,,02,,,,,000002,Y,245,487202,,,1986
86IN01922,1985028910,85,1,Y8910,,74,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,190402,93,,1986
86IN01923,1985028911,85,2,Y8911,,74,214,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,190402,93,,1986
86IN01924,1985028912,85,1,Y8912,,75,213,,2,1,,1,,,,05,,,,,,,114,145,,,30,,02,,,,,000002,Y,238,287902,,,1986
86IN01925,1985028914,85,2,Y8914,,75,214,,2,1,6,1,,,,05,,,,,, 1,96,116,,118,30,,02,,,,,000002,4,,286402,,,1986
86IN01926,1985028915,85,1,Y8915,,75,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,286402,93,,1986
86IN01927,1985028916,85,1,Y8916,,73,211,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,594602,93,,1986
86IN01928,1985028917,85,1,Y8917,,73,211,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,594602,93,,1986
86IN01929,1985028919,85,2,Y8919,,76,201,,2,,6,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,214802,93,,1986
86IN01930,1985028921,85,1,Y8921,,75,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,182802,93,,1986
86IN01931,1985028922,85,2,Y8922,,72,724,,2,1,6,1,,,,05,,,,,, 1,96,112,,110,30,,02,,,,,000002,4,,173002,,,1986
86IN01932,1985028923,85,1,Y8923,,72,724,,2,1,,1,,,,05,,,,,,,118,149,,,30,,02,,,,,000002,Y,252,173002,,,1986
86IN01933,1985028924,85,2,Y8924,,74,205,,2,1,6,1,,,,05,,,,,, 1,95,114,,118,30,,02,,,,,000002,4,,954001,,,1986
86IN01934,1985028925,85,1,Y8925,,74,205,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,954001,93,,1986
86IN01935,1985028926,85,2,Y8926,,75,202,,2,1,6,1,,,,05,,,,,, 2,116,0,,168,30,,02,,,,,000002,4,,201802,,,1986
86IN01936,1985028927,85,2,Y8927,,75,201,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,274702,93,,1986
86IN01937,1985028928,85,2,Y8928,,75,216,,2,1,6,1,,,,05,,,,,, 1,121,145,,146,30,,02,,,,,000002,4,,974701,,,1986
86IN01938,1985028929,85,1,Y8929,,75,202,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,951701,93,,1986
86IN01939,1985028930,85,2,Y8930,,75,202,,2,1,6,1,,,,05,,,,,, 2,93,0,,138,30,,02,,,,,000002,4,,570501,,,1986
86IN01940,1985028931,85,2,Y8931,,75,202,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0324,,,,000002,*,,570501,93,,1986
86IN01941,1985028932,85,2,Y8932,,75,205,,2,4,6,1,,,,05,,,,,,,95,115,2,,30,,02,0918,,,,000002,4,,686902,92,,1986
86IN01942,1985028934,85,1,Y8934,,74,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,555702,93,,1986
86IN01943,1985028935,85,2,Y8935,,73,203,,2,1,6,1,,,,05,,,,,, 2,109,0,,136,30,,02,,,,,000002,4,,559802,,,1986
86IN01944,1985028936,85,1,Y8936,,72,724,,2,1,,1,,,,05,,,,,,,134,159,,,30,,02,,,,,000002,Y,260,716501,,,1986
86IN01945,1985028937,85,2,Y8937,,76,218,,2,,6,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,196702,93,,1986
86IN01946,1985028938,85,1,Y8938,,75,216,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0303,,,,000002,*,,444902,93,,1986
86IN01947,1985028939,85,1,Y8939,,72,724,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,588202,93,,1986
86IN01948,1985028940,85,2,Y8940,,73,203,,2,1,6,1,,,,05,,,,,, 1,89,121,,119,30,,02,,,,,000002,4,, 99302,,,1986
86IN01949,1985028941,85,1,Y8941,,73,203,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 99302,93,,1986
86IN01950,1985028942,85,2,Y8942,,75,202,,2,1,6,1,,,,05,,,,,, 2,100,0,,137,30,,02,,,,,000002,4,, 54402,,,1986
86IN01951,1985028943,85,1,Y8943,,73,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,935801,93,,1986
86IN01952,1985028944,85,2,Y8944,,73,214,,2,1,6,1,,,,05,,,,,, 1,95,121,,122,30,,02,,,,,000002,4,,935801,,,1986
86IN01953,1985028945,85,1,Y8945,,73,218,,2,1,,1,,,,05,,,,,,,137,156,,,30,,02,,,,,000002,Y,241,765601,,,1986
86IN01954,1985028946,85,1,Y8946,,75,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,453902,93,,1986
86IN01955,1985028947,85,2,Y8947,,75,204,,2,1,6,1,,,,05,,,,,, 1,98,125,,126,30,,02,,,,,000002,4,,198502,,,1986
86IN01956,1985028948,85,1,Y8948,,75,204,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,198502,93,,1986
86IN01957,1985028949,85,2,Y8949,,76,216,,2,,6,1,,,,05,,,,,,,0,0,6,,30,,02,0114,,,,000002,*,,574102,01,,1986
86IN01958,1985028950,85,2,Y8950,,73,208,,2,3,2,1,,,,05,,,,,, 1,100,118,,121,30,,02,,2,,47,000002,4,,221202,,,1986
86IN01959,1985028951,85,1,Y8951,,74,205,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,610802,93,,1986
86IN01960,1985028952,85,2,Y8952,,75,210,,2,1,6,1,,,,05,,,,,, 1,95,0,,127,30,,02,,,,,000002,4,,891201,,,1986
86IN01961,1985028953,85,2,Y8953,,76,212,,2,1,6,1,,,,05,,,,,, 1,114,143,,142,30,,02,,,,,000002,4,,404802,,,1986
86IN01962,1985028954,85,2,Y8954,,75,208,,2,4,6,1,,,,05,,,,,,,98,118,2,,30,,02,0918,,,,000002,4,,689202,92,,1986
86IN01963,1985028955,85,2,Y8955,,74,217,,2,1,6,1,,,,05,,,,,, 2,104,0,,162,30,,02,,,,,000002,4,,821301,,,1986
86IN01964,1985028956,85,1,Y8956,,74,202,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,400302,93,,1986
86IN01965,1985028957,85,1,Y8957,,72,724,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,874601,93,,1986
86IN01966,1985028958,85,2,Y8958,,75,206,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,745101,93,,1986
86IN01967,1985028960,85,2,Y8960,,75,202,,2,1,6,1,,,,05,,,,,, 1,103,121,,131,30,,02,,,,,000002,4,,777901,,,1986
86IN01968,1985028961,85,1,Y8961,,76,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,463302,93,,1986
86IN01969,1985028962,85,1,Y8962,,75,217,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,133402,93,,1986
86IN01970,1985028963,85,1,Y8963,,75,216,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,139802,93,,1986
86IN01971,1985028964,85,2,Y8964,,75,216,,2,1,6,1,,,,05,,,,,, 1,110,135,,137,30,,02,,,,,000002,4,,139802,,,1986
86IN01972,1985028965,85,1,Y8965,,75,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,983901,93,,1986
86IN01973,1985028966,85,2,Y8966,,73,205,,2,1,6,1,,,,05,,,,,, 1,108,126,,129,30,,02,,,,,000002,4,,110902,,,1986
86IN01974,1985028968,85,1,Y8968,,74,201,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,,128702,93,,1986
86IN01975,1985028969,85,2,Y8969,,75,201,,2,1,6,1,,,,05,,,,,, 2,76,0,,098,30,,02,,,,,000002,4,,780901,,,1986
86IN01976,1985028970,85,1,Y8970,,75,201,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,780901,93,,1986
86IN01977,1985028972,85,1,Y8972,,73,210,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,627801,93,,1986
86IN01978,1985028973,85,1,Y8973,,73,217,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,392702,93,,1986
86IN01979,1985028974,85,1,Y8974,,76,202,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,371002,93,,1986
86IN01980,1985028975,85,2,Y8975,,73,202,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,475101,93,,1986
86IN01981,1985028976,85,1,Y8976,,74,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,191602,93,,1986
86IN01982,1985028977,85,1,Y8977,,73,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0303,,,,000002,*,,368502,93,,1986
86IN01983,1985028979,85,1,Y8979,,76,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,411602,93,,1986
86IN01984,1985028980,85,1,Y8980,,76,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,411602,93,,1986
86IN01985,1985028981,85,2,Y8981,,74,202,,2,1,6,1,,,,05,,,,,, 1,77,102,,107,30,,02,,,,,000002,4,,222502,,,1986
86IN01986,1985028982,85,2,Y8982,,74,202,,2,4,6,1,,,,05,,,,,,,95,119,2,,30,,02,0918,,,,000002,4,,222502,92,,1986
86IN01987,1985028983,85,1,Y8983,,73,215,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,392602,93,,1986
86IN01988,1985028984,85,2,Y8984,,76,211,,2,4,6,1,,,,05,,,,,,,109,130,2,,30,,02,0918,,,,000002,4,,571802,92,,1986
86IN01989,1985028986,85,1,Y8986,,73,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,238802,93,,1986
86IN01990,1985028987,85,1,Y8987,,74,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,643902,93,,1986
86IN01991,1985028988,85,1,Y8988,,75,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,420202,93,,1986
86IN01992,1985028990,85,2,Y8990,,73,207,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,220502,93,,1986
86IN01993,1985028991,85,2,Y8991,,75,205,,2,4,6,1,,,,05,,,,,,,108,131,2,,30,,02,0918,,,,000002,4,, 52002,92,,1986
86IN01994,1985028992,85,2,Y8992,,76,208,,2,1,6,0,,,,05,,103,,,,,106,129,,,30,,02,,,,,000002,4,,986601,,,1986
86IN01995,1985028993,85,1,Y8993,,74,214,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 49902,93,,1986
86IN01996,1985028994,85,1,Y8994,,73,202,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,790501,93,,1986
86IN01997,1985028995,85,2,Y8995,,76,207,,2,1,6,1,,,,05,,,,,, 1,113,134,,133,30,,02,,,,,000002,4,,575502,,,1986
86IN01998,1985028996,85,1,Y8996,,75,203,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 54202,93,,1986
86IN01999,1985028997,85,1,Y8997,,75,203,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 54202,93,,1986
86IN02000,1985028998,85,1,Y8998,,73,209,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0324,,,,000002,*,,615902,93,,1986
86IN02001,1985028999,85,1,Y8999,,75,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,218802,93,,1986
86IN02002,1985029000,85,1,Y9000,,75,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,218802,93,,1986
86IN02003,1985029001,85,1,Y9001,,74,215,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,492702,93,,1986
86IN02004,1985029003,85,1,Y9003,,74,203,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,221402,93,,1986
86IN02005,1985029004,85,1,Y9004,,72,724,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,144102,93,,1986
86IN02006,1985029005,85,2,Y9005,,72,724,,2,1,6,1,,,,05,,,,,, 1,128,140,,142,30,,02,,,,,000002,4,,811901,,,1986
86IN02007,1985029006,85,1,Y9006,,73,213,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,693601,93,,1986
86IN02008,1985029007,85,2,Y9007,,73,213,,2,1,6,1,,,,05,,,,,, 1,92,128,,129,30,,02,,,,,000002,4,,693601,,,1986
86IN02009,1985029008,85,1,Y9008,,73,211,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 69802,93,,1986
86IN02010,1985029009,85,2,Y9009,,74,218,,2,1,6,1,,,,05,,,,,, 1,106,131,,136,30,,02,,,,,000002,4,,461402,,,1986
86IN02011,1985029011,85,2,Y9011,,74,202,,2,1,6,0,,,,05,,101,,,,,110,125,,,39,,02,,,,,000002,4,,123802,,,1986
86IN02012,1985029012,85,1,Y9012,,72,722,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,855101,93,,1986
86IN02013,1985029013,85,1,Y9013,,72,722,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,855101,93,,1986
86IN02014,1985029014,85,1,Y9014,,75,203,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,947601,93,,1986
86IN02015,1985029015,85,1,Y9015,,74,202,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,,797801,93,,1986
86IN02016,1985029016,85,2,Y9016,,72,722,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,308002,93,,1986
86IN02017,1985029017,85,1,Y9017,,75,216,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 73102,93,,1986
86IN02018,1985029018,85,2,Y9018,,73,210,,2,1,6,1,,,,05,,,,,, 1,86,0,,102,30,,02,,,,,000002,4,,928601,,,1986
86IN02019,1985029019,85,1,Y9019,,72,725,,2,,,0,,,,05,,,,,,,0,0,3,,30,,02,0324,,,,000002,*,,284502,93,,1986
86IN02020,1985029020,85,2,Y9020,,73,215,,2,,6,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 78702,93,,1986
86IN02021,1985029022,85,1,Y9022,,72,724,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0205,,,,000002,*,,215302,93,,1986
86IN02022,1985029023,85,1,Y9023,,72,725,,2,1,,1,,,,05,,,,,,,128,149,,,30,,02,,,,,000002,Y,247,613402,,,1986
86IN02023,1985029024,85,1,Y9024,,73,209,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,115702,93,,1986
86IN02024,1985029025,85,1,Y9025,,73,209,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,115702,93,,1986
86IN02025,1985029026,85,2,Y9026,,75,201,,2,1,6,1,,,,05,,,,,, 2,89,0,,128,30,,02,,,,,000002,4,,201902,,,1986
86IN02026,1985029027,85,1,Y9027,,75,201,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0303,,,,000002,*,,201902,93,,1986
86IN02027,1985029028,85,1,Y9028,,75,204,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,418302,93,,1986
86IN02028,1985029029,85,1,Y9029,,73,212,,2,1,,1,,,,05,,,,,,,126,152,,,30,,02,,,,,000002,Y,255,233102,,,1986
86IN02029,1985029030,85,2,Y9030,,73,212,,2,1,6,1,,,,05,,,,,, 1,92,112,,115,30,,02,,,,,000002,4,,233102,,,1986
86IN02030,1985029031,85,1,Y9031,,73,212,,2,,,1,,,,05,,,,,,,0,0,6,,30,,02,0117,,,,000002,*,,637001,56,,1986
86IN02031,1985029032,85,1,Y9032,,73,212,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,637001,93,,1986
86IN02032,1985029033,85,1,Y9033,,73,208,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,540101,93,,1986
86IN02033,1985029034,85,2,Y9034,,73,208,,2,4,6,1,,,,05,,,,,,,99,126,2,,30,,02,0918,,,,000002,4,,540101,92,,1986
86IN02034,1985029035,85,2,Y9035,,75,204,,2,1,6,1,,,,05,,,,,, 2,94,0,,113,30,,02,,,,,000002,4,,366602,,,1986
86IN02035,1985029036,85,1,Y9036,,73,214,,2,,,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,134202,93,,1986
86IN02036,1985029037,85,2,Y9037,,73,214,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,,134202,93,,1986
86IN02037,1985029038,85,1,Y9038,,75,210,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 46602,93,,1986
86IN02038,1985029039,85,1,Y9039,,75,210,,2,,,0,,,,05,,,,,,,0,0,3,,39,,02,0314,,,,000002,*,, 46602,93,,1986
86IN02039,1985029040,85,2,Y9040,,73,214,,2,,6,1,,,,05,,,,,,,0,0,3,,30,,02,0314,,,,000002,*,, 76902,93,,1986
