UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN02951,1959413940,59,2,G3940,4,70,712,41,1,08,,,2,,2,1,,089,,,89,116,,,088,,41,,110,3,,1743,4,   73,2,,1,,1960,1.0
60IN02952,1959413943,59,2,G3943,4,17,172,41,1,09,14,,2,,1,1,,088,,,88,123,,,104,,41,,118,4,,0556,4,   17,2,,1,,1960,1.0
60IN02953,1959413944,59,1,G3944,4,10,102,41,1,,11,1,2,,1,,,,,,131,172,,,,,41,,,,,1744,4,,6722,4,1,,1960,1.0
60IN02954,1959413949,59,2,G3949,4,15,152,41,1,09,11,,2,,1,1,,090,,,90,115,,,099,,41,,108,5,,1456,4,   03,4,,1,,1960,1.0
60IN02955,1959413950,59,2,G3950,4,15,152,41,1,09,11,,2,,1,1,,067,,,67,91,,,082,,41,,070,2,,1456,4,   15,21,,1,,1960,1.0
60IN02956,1959413952,59,1,G3952,4,71,712,41,1,,,5,2,,2,,,,,,125,155,,,,,41,,,,,1743,4,,9575,4,1,,1960,1.0
60IN02957,1959413953,59,2,G3953,4,07,071,41,1,08,28,,2,,1,1,,083,,,83,109,,,084,,41,,084,3,,1775,4,   07,21,,1,,1960,1.0
60IN02958,1959413955,59,1,G3955,4,71,732,41,2,,,3,2,,2,,,,,,123,155,,,,,41,,,,,1162,4,,9419,4,1,,1960,1.0
60IN02959,1959413958,59,1,G3958,4,18,182,41,1,,21,5,2,,1,,,,,,107,142,3,,,,41,0801,,,,1179,4,,1068,4,1,,1960,1.0
60IN02960,1959413959,59,1,G3959,4,16,162,41,,,19,3,2,,1,,,,,,,,7,,,,41,0520,,,,0663,4,,8879,4,1,,1960,1.0
