UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN02267,1989633979,K3979,63,89,2,68,1,06,632,278263,209963,,,,,,, 1,052,1,,1,137,145, 2,B,,,,,,614,4,,1,10,,1990
90IN02268,1989633980,K3980,63,89,1,60,1,06,602,273563,156763,,,,,,,,,1,,Y,167,214,,C,,,,,,,,,,10,,1990
90IN02269,1989033984,L3984,03,89,2,82,1,30,701,079503,908102,,,1,,,, 1,000,1,,2,132,154, 2,A,,,,,,327,4,,2,10,,1990
90IN02270,1989633984,K3984,63,89,2,63,1,06,632,278263,191963,,,,0,,0, 0,000,2,76,5,126,160, 1,A,,,92,0920,,,,,,10,,1990
90IN02271,1989633985,K3985,63,89,1,63,1,06,632,278263,191963,,,,,,,,,1,,Y,186,223,,C,,,,,,633,,,1,10,56S,1990
90IN02272,1989633986,K3986,63,89,2,61,1,06,611,351563,257463,,,,,,, 1,075,1,,2,117,140, 1,A,,,,,,633,3,,1,10,,1990
90IN02273,1989633987,K3987,63,89,2,61,1,06,611,351563,257463,,,,,,, 1,065,1,,2,136,140, 2,A,,,,,,633,4,,1,10,,1990
90IN02274,1989633988,K3988,63,89,1,60,1,06,604,272663,194963,,,,,,0,,,2,230,Y,162,205,,V,,,92,0920,,,,,,10,,1990
90IN02275,1987803988,X3988,80,87,1,97,1,97,197,103080,903797,,,,,,,,,1,,M,242,290,,,,,,,,197,,,2,30,,1990
90IN02276,1989633991,K3991,63,89,1,60,1,06,602,273563,195163,,,,,,,,,1,,*,0,0,,V,,,93,0212,,,,,,10,EQUIL.PROBS,1990
90IN02277,1989633992,K3992,63,89,2,61,1,06,613,328163,113763,,,,,,, 1,087,1,,P,120,147, 1,A,,,,,,601,3,,1,10,,1990
90IN02278,1989633993,K3993,63,89,2,60,1,06,614,364563,261963,,,,,,, 1,076,1,,P,119,127, 1,A,,,,,,612,1,,1,10,,1990
90IN02279,1989633994,K3994,63,89,1,68,1,06,602,273563,163663,,,,,,,,,1,,Y,185,220,,C,,,,,,603,,,1,10,,1990
90IN02280,1989633995,K3995,63,89,2,68,1,06,602,273563,163663,,,,,,, 2,079,1,,1,153,175, 2,A,,,,,,632,4,,1,10,,1990
90IN02281,1989033996,L3996,03,89,2,83,1,30,713,237003,339002,,,1,,,, 4,079,1,,1,113,141, 2,A,,,,,,334,3,,2,10,,1990
90IN02282,1989633996,K3996,63,89,1,63,1,06,631,267563,158263,,,,,,,,,3,,Y,184,209,,C,,,93,0814,,,,,,10,,1990
90IN02283,1989633999,K3999,63,89,2,60,1,06,601,285463,220363,,,,0,,0, 0,000,2,75,5,122,163, 1,A,,,92,0920,,,,,,10,,1990
90IN02284,1989034001,L4001,03,89,2,80,1,30,704,052303,084803,,,1,,,, 2,136,1,,2,129,163, 2,B,,,,,,302,3,,2,10,,1990
90IN02285,1989634001,K4001,63,89,1,60,1,06,601,285463,259963,,,,,,,,,3,,Y,159,194,,V,,,93,0814,,,,,,10,,1990
90IN02286,1989634004,K4004,63,89,2,61,1,06,613,328163,255263,,,,,,, 1,071,1,,1,144,147, 2,B,,,,,,633,3,,1,10,,1990
90IN02287,1989634008,K4008,63,89,2,60,1,06,602,273563,242763,,,,,,, 1,065,1,,P,117,124, 1,C,,,,,,633,3,,1,10,,1990
90IN02288,1989634009,K4009,63,89,1,60,1,06,602,273563,242763,,,,,,,,,3,,Y,180,222,,C,,,93,0806,,,,,,10,X,1990
90IN02289,1982194010,S4010,19,82,2,10,1,07,104,273219,817318,6,,,,,, 0,000,1,,5,164,0,,,,,,,,,,,F,80,,1990
90IN02290,1989634010,K4010,63,89,2,61,1,06,613,328163,017963,,,,,,, 1,076,1,,2,113,137, 2,A,,,,,,603,3,,1,10,,1990
90IN02291,1987804012,X4012,80,87,2,97,1,97,297,002297,459797,7,,,,,, 1,085,1,,B,199,212, 2,A,,,,,,197,4,3,2,30,,1990
90IN02292,1989634013,K4013,63,89,1,63,1,06,632,278263,250563,,,,,,,,,3,,Y,180,209,,V,,,93,0806,,,,,,10,,1990
90IN02293,1987804013,X4013,80,87,2,97,1,97,297,002297,459797,7,,,,,, 1,102,1,,B,206,207, 2,B,+,,,,,397,3,3,2,30,,1990
90IN02294,1989034014,L4014,03,89,2,80,1,30,712,250303,064703,,,1,,,, 1,000,1,,5,129,154, 1,B,,,,,,302,3,,2,10,,1990
90IN02295,1989634015,K4015,63,89,1,61,1,06,611,351563,200563,,,,,,,,,1,,Y,168,200,,C,+,,,,,,,,,10,,1990
90IN02296,1989034016,L4016,03,89,1,70,1,30,704,052303,697402,,,1,,,,,,3,,Y,138,162,,V,+,,93,0806,,,,,,10,L HOCK AB,1990
90IN02297,1989034017,L4017,03,89,2,82,1,30,P3,124403,191703,,,1,,,, 1,088,1,,1,131,143, 2,A,,,,,,328,4,,2,10,,1990
90IN02298,1989634018,K4018,63,89,1,61,1,06,633,249563,052263,,,,,,,,,3,,Y,149,188,,V,,,93,0814,,,,,,10,GDSMUTTON,1990
90IN02299,1989034018,L4018,03,89,2,82,1,30,714,198503,913502,,,1,,,, 2,134,1,,1,117,140, 2,A,,,,,,321,3,,2,10,,1990
90IN02300,1989634019,K4019,63,89,2,63,1,06,632,278263,270263,,,,,,, 2,047,1,,P,86,118, 1,A,,,,,,614,1,,1,10,,1990
90IN02301,1989634020,K4020,63,89,1,61,1,06,613,328163,099963,,,,,,,,,3,,Y,165,209,,C,,,93,0814,,,,,,10,FACE 5+,1990
90IN02302,1989634021,K4021,63,89,1,61,1,06,613,328163,099963,,,,,,,,,1,,*,0,0,,V,,,76,0403,,,,,,10,,1990
90IN02303,1989034023,L4023,03,89,2,80,1,30,711,199903,530802,,,1,0,0,0, 0,000,2,64,5,135,163, 1,B,,,92,0920,,,,,,10,,1990
90IN02304,1989634023,K4023,63,89,1,60,1,06,604,272663,125363,,,,,,,,,3,,Y,179,208,,V,,,93,0806,,,,,,10,COARSE,1990
90IN02305,1989034024,L4024,03,89,2,83,1,30,711,199903,530802,,,1,,,, 1,077,1,,2,122,128, 2,B,,,,,,331,4,,2,10,,1990
90IN02306,1989634026,K4026,63,89,1,60,1,06,603,296363,127163,,,,,,,,,3,,Y,158,162,,C,,,93,0806,,,,,,10,BUM.RF.FOOT,1990
90IN02307,1989034026,L4026,03,89,2,81,1,30,711,199903,907302,,,1,,,, 1,104,1,,2,117,133, 2,C,,,,,,314,3,,2,10,,1990
