UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00872,R4427,3.0,18,, 2,1,0,163,2,W,1,.,.,07,5,157,6,170
06BR00873,R4481,3.0,18,,25,1,0,183,1,W,1,.,.,07,7,171,6,179
06BR00874,R4484,3.0,18,,14,1,0,172,1,W,1,.,.,07,4,161,5,177
06BR00875,R4488,3.0,18,,17,1,7,155,2,W,1,.,.,07,6,153,6,161
06BR00876,R4492,3.0,18,VAGINAL TEAR,06,1,7,200,1,W,1,.,.,07,7,179,8,185
06BR00877,R4471,3.0,18,4TEATS, 7,1,0,180,1,W,1,.,.,07,7,164,8,173
06BR00878,R4475,3.0,18,NICE LAMB,23,1,7,166,1,W,1,.,.,07,5,161,5,169
06BR00879,R4515,3.0,18,,15,1,0,151,H,W,1,.,.,07,4,154,5,169
06BR00880,R4519,3.0,18,, 9,1,0,185,1,W,1,.,.,07,7,178,6,184
06BR00881,R4517,3.0,18,TB=choker,14,1,7,165,1,W,1,.,.,07,5,148,6,163
06BR00882,R4533,3.0,18,NICE LAMB,05,1,0,177,1,W,1,.,.,07,6,166,6,183
06BR00883,R4549,3.0,18,THIN, 2,1,0,176,1,W,1,.,.,07,7,164,7,172
06BR00884,R4551,3.0,18,LTS,03,1,0,183,1,W,1,.,.,07,5,181,6,181
06BR00885,R4554,3.0,18,THIN,08,1,0,170,1,W,1,.,.,07,5,159,6,166
06BR00886,R4555,3.0,18,,18,1,0,169,1,W,1,.,.,07,6,163,5,176
06BR00887,R4558,3.0,18,,24,1,0,160,1,W,1,.,.,07,6,151,6,156
06BR00888,R4559,3.0,18,,05,1,0,163,2,W,1,.,.,07,7,152,7,164
06BR00889,R4522,3.0,18,,25,1,0,189,1,W,1,.,.,07,5,182,6,187
06BR00890,R4588,3.0,18,,16,1,0,193,1,W,1,.,.,07,6,187,6,190
06BR00891,R4594,3.0,18,"BIG4HER,SORE", 5,1,0,161,2,W,1,.,.,07,7,151,6,167
06BR00892,R4592,3.0,18,SUCK1SIDE LT,26,1,0,170,1,W,1,.,.,07,6,165,6,180
06BR00893,R4571,3.0,18,, 9,1,7,167,1,W,1,.,.,07,6,161,6,169
06BR00894,R4570,3.0,18,THIN, 8,1,0,158,2,W,1,.,.,07,6,158,6,163
06BR00895,R4572,3.0,18,TAY,29,1,7,180,2,W,1,.,.,07,6,178,6,175
06BR00896,R4577,3.0,18,,09,1,0,175,2,W,1,.,.,07,5,187,6,188
06BR00897,R4615,3.0,18,PNEU., 8,1,0,183,1,W,1,.,.,07,6,176,6,183
06BR00898,R4612,3.0,18,,21,1,0,177,1,W,1,.,.,07,5,167,5,176
06BR00899,R4617,3.0,18,, 4,1,0,151,1,W,1,.,.,07,5,144,5,158
06BR00900,R4603,3.0,18,, 6,1,7,157,2,W,1,.,.,07,5,151,6,157
06BR00901,R4605,3.0,18,,28,1,0,185,2,W,1,.,.,07,6,188,6,203
06BR00902,R4606,3.0,18,,27,1,0,182,2,W,1,.,.,07,6,173,6,182
06BR00903,R4635,3.0,18,,11,1,7,173,2,W,1,.,.,07,6,163,7,173
06BR00904,R4642,3.0,18,,07,1,0,191,1,W,1,.,.,07,5,166,5,180
06BR00905,R4653,3.0,18,THIN,19,1,0,187,1,W,1,.,.,07,7,178,6,177
