UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00681,S1032,3.0,,.,53,2,0,143,1,132,1010,W,1,,07,160,1113,164,0108
19BR00682,S1033,3.0,,SM.BAG,58,2,0,134,2,136,1008,W,1,,07,142,1113,141,0108
19BR00683,S1038,3.0,,.,55,2,0,191,2,188,1008,W,1,,07,197,1113,194,0108
19BR00684,S1040,3.0,,.,52,2,0,197,2,186,1008,W,1,,07,209,1113,201,0108
19BR00685,S1047,3.0,,FEW.CHUNKS,56,2,0,209,2,196,1008,W,1,,07,204,1113,212,0108
19BR00686,S1050,3.0,,.,61,2,0,183,1,172,1010,W,1,,07,185,1113,193,0108
19BR00687,S1052,3.0,,.,57,2,0,179,2,174,1008,W,1,,07,180,1113,179,0108
19BR00688,S1055,3.0,,.,50,2,0,171,2,166,1008,W,1,,07,184,1113,179,0108
19BR00689,S1066,3.0,,.,43,2,0,155,1,143,1010,W,1,,07,156,1113,175,0108
19BR00690,S1067,3.0,,.,43,2,,174,2,153,1010,W,1,,07,169,1113,174,0108
19BR00691,S1068,3.0,,.,43,2,,191,2,180,1010,W,1,,07,180,1113,188,0108
19BR00692,S1070,3.0,,.,42,2,0,175,1,171,1008,W,1,,07,177,1113,185,0108
19BR00693,S1073,3.0,,LameHLegsTx,57,2,0,172,2,165,1008,W,1,,07,175,1113,187,0108
19BR00694,S1074,3.0,,.,49,2,0,184,1,174,1008,W,1,,07,183,1113,197,0108
19BR00695,S1092,3.0,,.,59,2,0,160,2,150,1010,W,1,,07,168,1113,169,0108
19BR00696,S1095,3.0,,LameRH/LHTx,41,2,0,189,2,186,1010,W,1,,07,202,1113,211,0108
19BR00697,S1096,3.0,,.,48,2,0,187,2,168,1008,W,1,,07,183,1113,189,0108
19BR00698,S1098,3.0,,LOW2?OKFORONE,49,2,,205,2,190,1010,W,1,,07,205,1113,211,0108
19BR00699,S1112,3.0,,.,46,2,0,165,1,162,1008,W,1,,07,169,1113,183,0108
19BR00700,S1127,2.0,,.,42,2,0,162,2,152,1008,W,1,,07,164,1113,171,0108
19BR00701,S1129,2.0,,1ST,64,2,0,157,2,158,1008,W,1,,07,164,1113,172,0108
19BR00702,S1134,2.0,,SICK?,53,2,,201,1,195,1008,W,1,,07,218,1113,224,0108
