UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,GET,WORK
98BR00233, 7256,1.0,00,,L-,3,7,123,N,*
98BR00234, 7252,1.0,00,,L-,3,7,131,N,*
98BR00235, 7224,1.0,00,,L-,3,7,124,N,*
98BR00236, 7226,1.0,00,,L-,3,7,128,N,*
98BR00237, 7283,1.0,00,,L-,3,7,114,N,*
98BR00238, 7295,1.0,00,,L-,3,7,130,N,*
98BR00239, 7298,1.0,00,NICE,L-,3,7,120,N,*
98BR00240, 7297,1.0,00,,L-,3,7,146,N,*
98BR00241, 7274,1.0,00,,L-,3,7,145,N,*
98BR00242,50132,3.0,00,,L-,3,7,175,N,*
98BR00243,50148,3.0,00,CHK? LAMB TAG,L-,3,7,163,N,*
98BR00244,50149,3.0,00,GRANNY,L-,3,7,159,N,*
98BR00245,50154,3.0,00,,L-,3,7,167,N,*
98BR00246,50159,3.0,00,,L-,3,7,177,N,*
98BR00247,50161,3.0,00,,L-,3,7,156,N,*
98BR00248,50167,3.0,00,,L-,3,7,143,N,*
98BR00249,50121,3.0,00,,L-,3,7,161,N,*
98BR00250,50120,3.0,00,,L-,3,7,162,N,*
98BR00251,50188,3.0,00,DYSTOCIA '96,L-,3,7,150,N,*
98BR00252,50175,3.0,00,,L-,3,7,164,N,*
98BR00253,50172,3.0,00,,L-,3,7,162,N,*
98BR00254,50013,3.0,00,,L-,3,7,136,N,*
98BR00255,50043,3.0,00,,L-,3,7,193,N,*
98BR00256,50051,3.0,00,,L-,3,7,153,N,*
98BR00257,50050,3.0,00,CHK? LAMB TAG,L-,3,7,157,N,*
98BR00258,50062,3.0,00,,L-,3,7,144,N,*
98BR00259,50068,3.0,00,,L-,3,7,152,N,*
98BR00260,50069,3.0,00,,L-,3,7,165,N,*
98BR00261,50025,3.0,00,,L-,3,7,156,N,*
98BR00262,50080,3.0,00,,L-,3,7,163,N,*
98BR00263,50086,3.0,00,,L-,3,7,168,N,W
98BR00264,50076,3.0,00,CHK? LAMB TAG,L-,3,7,176,N,*
98BR00265,50314,3.0,00,,L-,3,7,152,N,*
98BR00266,50330,3.0,00,,L-,3,7,154,N,*
98BR00267,50333,3.0,00,,L-,3,7,146,N,*
98BR00268,50336,3.0,00,? DAM,L-,3,7,176,N,*
98BR00269,50339,3.0,00,,L-,3,7,159,N,*
98BR00270,50340,3.0,00,? DAM,L-,3,7,167,N,*
98BR00271,50343,3.0,00,,L-,3,7,152,N,*
98BR00272,50347,3.0,00,,L-,3,7,149,N,*
98BR00273,50350,3.0,00,,L-,3,7,155,N,*
98BR00274,50325,3.0,00,?DAM FOR 6488,L-,3,7,160,N,*
98BR00275,50326,3.0,00,,L-,3,7,154,N,*
98BR00276,50329,3.0,00,,L-,3,7,148,N,*
98BR00277,50396,3.0,00,,L-,3,7,140,N,*
98BR00278,50373,3.0,00,,L-,3,7,151,N,*
98BR00279,50377,3.0,00,,L-,3,7,166,N,W
98BR00280,50433,3.0,00,,L-,3,7,156,N,*
98BR00281,50434,3.0,00,,L-,3,7,185,N,*
98BR00282,50432,3.0,00,,L-,3,7,157,N,*
98BR00283,50439,3.0,00,,L-,3,7,157,N,*
98BR00284,50445,3.0,00,,L-,3,7,153,N,*
98BR00285,50465,3.0,00,?DAM 20 GREEN,L-,3,7,134,N,*
98BR00286,50480,3.0,00,? DAM,L-,3,7,161,N,*
98BR00287,50483,3.0,00,,L-,3,7,161,N,W
98BR00288,50494,3.0,00,,L-,3,7,153,N,*
98BR00289,50492,3.0,00,ABS.SIDE 4-29,L-,3,7,209,N,*
98BR00290,50476,3.0,00,,L-,3,7,180,N,*
98BR00291,50500,3.0,00,,L-,3,7,183,N,W
98BR00292,50562,3.0,00,,L-,3,7,150,N,*
98BR00293,50574,3.0,00,,L-,3,7,142,N,*
98BR00294,50610,3.0,00,,L-,3,7,189,N,*
98BR00295,50612,3.0,00,WGT LOSS,L-,3,7,175,N,*
98BR00296,50696,3.0,00,,L-,3,7,152,N,*
98BR00297,50678,3.0,00,,L-,3,7,149,N,*
98BR00298,50215,3.0,00,,L-,3,7,163,N,*
98BR00299,50230,3.0,00,,L-,3,7,122,N,*
98BR00300,50252,3.0,00,,L-,3,7,166,N,*
98BR00301,50262,3.0,00,DYSTOCIA '96,L-,3,7,155,N,*
98BR00302,50221,3.0,00,,L-,3,7,154,N,*
98BR00303,50283,3.0,00,,L-,3,7,151,N,*
98BR00304,50286,3.0,00,,L-,3,7,163,N,*
98BR00305,50297,3.0,00,? DAM,L-,3,7,152,N,*
98BR00306,50276,3.0,00,stolen by1013,L-,3,7,140,N,*
98BR00307,50813,3.0,00,,L-,3,7,144,N,*
98BR00308,50852,3.0,00,,L-,3,7,169,N,*
98BR00309,50869,3.0,00,,L-,3,7,186,N,*
98BR00310,50784,3.0,00,,L-,3,7,167,N,W
98BR00311,50785,3.0,00,,L-,3,7,156,N,*
