UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR01374,S0808,4.0,12,SUCK1SIDE, 87,1,0,W
94BR01375,S0809,4.0,11,, 34,1,0,W
94BR01376,S0835,4.0,12,LTS 4TEATS, 80,1,0,W
94BR01377,S0837,4.0,11,, 31,1,0,W
94BR01378,S0844,4.0,13,AB R FLANK 94, 42,1,0,W
94BR01379,S0845,4.0,10,, 22,1,0,W
94BR01380,S0854,4.0,11,, 32,1,0,W
94BR01381,S0861,4.0,13,SUCK1SIDE, 44,1,0,W
94BR01382,S0860,4.0,13,, 43,1,0,W
94BR01383,S0866,4.0,12,VLTS, 81,1,0,W
94BR01384,S0868,4.0,13,FIBERBAG 94, 41,1,0,W
94BR01385,S0867,4.0,12,, 82,1,0,W
94BR01386,S0823,4.0,12,, 91,1,0,W
94BR01387,S0824,4.0,11,DYSTOCIA 94, 33,1,0,W
94BR01388,S0828,4.0,10,, 21,1,0,W
94BR01389,S0880,4.0,12,LTS, 83,1,0,W
94BR01390,S0883,4.0,13,DYSTOCIA 94, 43,1,0,W
94BR01391,S0888,4.0,11,L BLOODY MILK, 34,1,0,W
94BR01392,S0889,4.0,13,FLT'S, 44,1,0,W
94BR01393,S0890,4.0,13,, 42,1,0,W
94BR01394,S0892,4.0,10,, 24,1,0,W
94BR01395,S0870,4.0,11,, 33,1,0,W
94BR01396,S0875,4.0,13,, 42,1,0,W
94BR01397,S0877,4.0,10,SUCK1SIDE LT, 23,1,0,W
94BR01398,S0916,4.0,11,HEALTHY, 31,1,0,W
94BR01399,S0909,4.0,12,, 85,1,0,W
94BR01400,S0930,4.0,11,, 32,1,0,W
94BR01401,S0932,4.0,10,, 21,1,0,W
94BR01402,S0938,4.0,10,, 22,1,0,W
94BR01403,S0946,4.0,10,, 23,1,0,W
94BR01404,S0959,4.0,12,ENTR, 84,1,0,W
94BR01405,S0929,4.0,13,, 41,1,0,W
94BR01406,S0980,4.0,12,SW BAG, 86,1,0,W
94BR01407,S0715,4.0,12,, 82,1,0,W
94BR01408,S0712,4.0,13,, 43,1,0,W
94BR01409,S0703,4.0,10,TENDER, 23,1,0,W
94BR01410,S0705,4.0,11,SM BAG, 31,1,0,W
94BR01411,S0707,4.0,11,, 32,1,0,W
94BR01412,S0733,4.0,13,, 44,1,0,W
94BR01413,S0738,4.0,11,, 33,1,0,W
94BR01414,S0740,4.0,10,, 23,1,0,W
94BR01415,S0745,4.0,10,, 24,1,0,W
94BR01416,S0750,4.0,12,ENTR, 81,1,0,W
94BR01417,S0754,4.0,10,, 21,1,0,W
94BR01418,S0759,4.0,11,, 34,1,0,W
94BR01419,S0761,4.0,12,, 83,1,0,W
94BR01420,S0767,4.0,13,, 41,1,0,W
94BR01421,S0781,4.0,12,, 84,1,0,W
94BR01422,S0784,4.0,11,, 32,1,0,W
94BR01423,S0782,4.0,10,, 22,1,0,W
94BR01424,S0789,4.0,12,, 86,1,0,W
94BR01425,S0787,4.0,12,, 85,1,0,W
