UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
14BR00569,T2519,5.0,,ABSCESSRSDFAC,34,2,,197,2,W,1,,02,198,1112,193,0106
14BR00570,T2530,5.0,,,36,2,,180,1,W,1,,02,185,1112,190,0106
14BR00571,T2532,5.0,,,27,2,,166,1,W,1,,02,171,1112,187,0106
14BR00572,T2533,5.0,,,33,2,,222,2,W,1,,02,231,1112,227,0106
14BR00573,T2542,5.0,,,33,2,,176,2,W,1,,02,184,1112,188,0106
14BR00574,T2557,5.0,,,36,2,,178,2,W,1,,02,188,1112,189,0106
14BR00575,T2560,5.0,,,28,2,,186,2,W,1,,02,180,1112,188,0106
14BR00576,T2565,5.0,,LameRH,19,1,,144,1,W,1,,02,160,1107,160,0106
14BR00577,T2577,5.0,,BL.AROUND.EYE,32,2,,206,2,W,1,,02,196,1112,197,0106
14BR00578,T2578,5.0,,,35,2,,182,2,W,1,,02,180,1112,180,0106
14BR00579,T2586,5.0,,,25,1,,175,2,W,1,,02,174,1107,176,0106
14BR00580,T2593,5.0,,In w/ Bgrp 1,V1,5,,233,H,0,1,10,02,,,,
14BR00581,T2602,5.0,,Pot-Bellied,34,2,,167,2,W,1,,02,175,1112,180,0106
14BR00582,T2636,5.0,,LUMP.L.FLANK,36,2,,159,1,W,1,,02,166,1112,174,0106
14BR00583,T2642,5.0,,,28,2,,202,2,W,1,,02,194,1112,194,0106
14BR00584,T2649,5.0,,,31,2,,187,2,W,1,,02,188,1112,199,0106
14BR00585,T2662,5.0,,TerminalOnly,28,2,,201,H,W,1,,02,216,1112,207,0106
14BR00586,T2667,5.0,,LUMPMIDBAG,32,2,,163,2,W,1,,02,168,1112,168,0106
14BR00587,T2727,5.0,,LETHARGIC,35,2,,176,1,W,1,,02,185,1112,193,0106
14BR00588,T2751,5.0,,RT.UDDER SMAL,21,1,,211,2,W,1,,02,207,1107,215,0106
14BR00589,T2763,5.0,,,32,2,,204,1,W,1,,02,209,1112,205,0106
14BR00590,T2794,5.0,,SLS.SL.MORE,29,2,,163,2,W,1,,02,162,1112,161,0106
14BR00591,T2798,5.0,,LG.BAG,32,2,,216,2,W,1,,02,219,1112,218,0106
14BR00592,T2849,4.0,,.,28,2,0,168,2,W,1,,02,161,1112,162,0106
14BR00593,T2852,4.0,,4TEATS,33,2,0,164,1,W,1,,02,166,1112,160,0106
14BR00594,T2873,4.0,,TerminalOnly,34,2,0,174,1,W,1,,02,186,1112,189,0106
14BR00595,T2878,4.0,,LAMBPROCASDAB,35,2,0,170,D,W,1,,02,172,1112,165,0106
14BR00596,T2879,4.0,,LARGE,32,2,0,162,2,W,1,,02,161,1112,161,0106
14BR00597,T2885,4.0,,4TEATS,33,2,0,182,1,W,1,,02,194,1112,195,0106
14BR00598,T2971,4.0,,.,29,2,0,172,1,W,1,,02,177,1112,182,0106
14BR00599,T3034,4.0,,4TEATS,28,2,0,188,1,W,1,,02,185,1112,204,0106
14BR00600,T3053,4.0,,.,29,2,0,193,1,W,1,,02,196,1112,206,0106
14BR00601,T3142,4.0,,NICE LAMB,31,2,0,195,2,W,1,,02,194,1112,200,0106
14BR00602,T3146,4.0,,.,35,2,0,169,2,W,1,,02,173,1112,184,0106
