UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
23BR00277,L2558,3.0,A,SMBAG,27,1,,161,3.5,H,147,1010,W,1,,PC,174,1115,3.5,186,1228,4.0
23BR00278,L2564,3.0,A,40BLK,18,1,0,169,3.0,H,167,1010,W,1,,PC,182,1115,3.0,199,1228,4.0
23BR00279,L2565,3.0,A,20BRN,28,1,0,161,3.0,H,171,1010,W,1,,PC,180,1115,3.0,198,1228,3.5
23BR00280,L2566,3.0,A,10BLK,26,1,,185,3.5,H,180,1010,W,1,,PC,196,1115,3.5,207,1228,4.5
23BR00281,L2570,3.0,A,80BRN,22,1,0,163,3.5,H,149,1010,W,1,,PC,173,1115,3.0,189,1228,4.0
23BR00282,L2572,3.0,A,10BLK,25,1,0,167,3.0,H,171,1010,W,1,,PC,190,1115,3.5,204,1228,4.0
23BR00283,L2579,3.0,A,30BL,15,1,0,208,3.0,H,,,0,6,01,PC,,,,,,
23BR00284,L2582,3.0,A,SMBAG CHUNKY,16,1,0,179,3.5,H,171,1010,W,1,,PC,184,1115,3.5,195,1228,4.0
23BR00285,L2598,3.0,A,30BR,25,1,0,158,2.5,H,158,1010,W,1,,PC,177,1115,3.0,185,1228,4.0
23BR00286,L2602,3.0,A,Poss.Abort1-7,15,1,,167,3.5,H,164,1010,W,1,,PC,173,1115,3.5,189,1228,4.0
23BR00287,L2603,3.0,A,70TAN,22,1,0,164,2.5,H,164,1010,W,1,,PC,178,1115,3.5,194,1228,4.0
23BR00288,L2605,3.0,A,05BR,20,1,0,195,4.0,H,198,1011,W,1,,PC,209,1115,4.0,219,1228,4.5
23BR00289,L2607,3.0,A,10BL,17,1,0,167,3.0,H,165,1010,W,1,,PC,185,1115,4.0,207,1228,4.0
23BR00290,L2609,3.0,A,10BL,19,1,,149,3.0,H,149,1011,W,1,,PC,171,1115,4.0,193,1228,4.0
23BR00291,L2616,3.0,A,15GR.NICE,28,1,0,210,4.0,H,191,1010,W,1,,PC,211,1115,4.0,215,1228,4.0
23BR00292,L2620,3.0,A,05BR,24,1,0,190,4.0,H,176,1010,W,1,,PC,189,1115,4.0,212,1228,4.0
23BR00293,L2621,3.0,A,SMBAG,18,1,,161,2.5,H,166,1010,W,1,,PC,187,1115,3.5,199,1228,4.0
23BR00294,L2626,3.0,A,SMBAG,26,1,0,150,3.5,H,151,1010,W,1,,PC,160,1115,4.0,165,1228,4.0
23BR00295,L2627,3.0,A,1ST.40BR,27,1,0,212,3.5,H,197,1010,W,1,,PC,221,1115,4.0,226,1228,4.5
23BR00296,L2629,3.0,A,05BR,29,1,,160,3.0,H,156,1010,W,1,,PC,185,1115,3.0,215,1228,4.0
23BR00297,L2630,3.0,A,POSSMIXUPZ871,30,1,,177,3.0,H,172,1011,W,1,,PC,190,1115,3.5,210,1228,4.0
23BR00298,L2635,3.0,A,40BR,21,1,0,207,3.5,H,199,1010,W,1,,PC,217,1115,4.5,227,1228,4.0
23BR00299,L2636,3.0,A,25BR,23,1,0,184,3.5,H,178,1010,W,1,,PC,197,1115,4.0,208,1228,4.0
23BR00300,L2640,3.0,A,SMBAG,29,1,0,168,3.5,H,160,1010,W,1,,PC,178,1115,3.0,199,1228,4.0
23BR00301,L2648,3.0,A,15.LT.TAN,28,1,0,229,3.5,H,221,1010,W,1,,PC,230,1115,3.5,243,1228,4.0
23BR00302,L2654,3.0,A,50BL,27,1,0,205,3.5,H,198,1010,W,1,,PC,216,1115,3.5,240,1228,4.0
23BR00303,L2659,3.0,A,SMBAG,24,1,0,157,3.0,H,168,1011,W,1,,PC,174,1115,3.5,191,1228,4.0
23BR00304,L2660,3.0,A,SMBAG,26,1,0,206,4.0,D,199,1010,W,1,,PC,209,1115,4.5,223,1228,4.5
23BR00305,L2696,3.0,A,.,21,1,0,171,4.0,H,160,1010,W,1,,PC,178,1115,3.5,186,1228,4.0
23BR00306,L2698,3.0,A,15BL,25,1,0,189,3.5,H,169,1010,W,1,,PC,202,1115,4.0,213,1228,4.0
23BR00307,L2710,3.0,A,SMBAG,30,1,,174,3.5,H,172,1010,W,1,,PC,185,1115,3.0,194,1228,4.0
23BR00308,L2715,3.0,A,40BL,23,1,0,128,2.5,H,130,1010,W,1,,PC,151,1115,3.0,167,1228,4.0
23BR00309,L2723,3.0,A,05BL,15,1,0,166,3.0,H,180,1011,W,1,,PC,175,1115,3.0,199,1228,3.5
23BR00310,L2724,3.0,A,05BR,22,1,0,168,3.5,H,154,1010,W,1,,PC,180,1115,4.0,196,1228,4.0
23BR00311,L2735,3.0,A,60BL,20,1,0,248,4.0,D,241,1010,W,1,,PC,252,1115,4.0,261,1228,4.0
23BR00312,L2740,3.0,A,70BLK,16,1,0,217,4.0,H,211,1010,W,1,,PC,219,1115,4.0,232,1228,4.0
23BR00313,L2742,3.0,A,30BLK,17,1,0,179,3.5,H,184,1011,W,1,,PC,191,1115,4.0,208,1228,4.0
23BR00314,L2748,3.0,A,RSCHUNKY,19,1,0,180,3.5,H,183,1010,W,1,,PC,193,1115,3.5,205,1228,4.0
23BR00315,L2758,2.0,A,2ND,18,1,0,172,3.5,H,179,1011,W,1,,PC,194,1115,4.0,197,1228,4.0
