UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,PD,DISP,BLEED,STM
05BR01499,T9077,3.0,41,THIN + POOR,66,2,7,185,S,W,1,,.,02
05BR01500,T9311,3.0,42,RESP.DX,67,2,7,132,S,W,1,,.,02
05BR01501,T9314,3.0,41,,66,2,7,186,S,W,1,,.,02
05BR01502,T9317,3.0,42,,61,2,7,147,S,W,1,,.,02
05BR01503,T9331,3.0,42,,64,2,7,188,S,W,1,,.,02
05BR01504,T9340,3.0,41,MASTITIS 5/1/,Mkt,.,7,164,S,W,3,93,.,02
05BR01505,T9343,3.0,42,PNEU.,66,2,7,177,S,W,1,,.,02
05BR01506,T9362,3.0,41,,67,2,7,166,S,W,1,,.,02
05BR01507,T9367,3.0,00,"BLACK,4TEATS",BLK,1,1,154,1,W,1,,.,02
05BR01508,T9323,3.0,41,VLTS,62,2,7,166,S,W,1,,.,02
05BR01509,T9324,3.0,41,F2,63,2,7,193,S,W,1,,.,02
05BR01510,T9325,3.0,41,SPG >B1!,65,2,7,175,S,W,1,,.,02
05BR01511,T9376,3.0,41,ENTR,61,2,7,200,S,W,1,,.,02
05BR01512,T9379,3.0,41,FOOT PROB?,63,2,7,171,S,W,1,,.,02
05BR01513,T9408,3.0,48,,62,2,7,183,S,W,1,,.,02
05BR01514,T9440,2.0,ID,ENTR,51,2,I,214,1,W,1,,.,02
05BR01515,T9445,2.0,ID,BARREN 2,Mkt,.,I,221,5,W,3,93,.,02
05BR01516,T9450,2.0,ID,NICE,53,2,I,181,2,W,1,,.,02
05BR01517,T9459,2.0,ID,,51,2,I,184,2,W,1,,.,02
05BR01518,T9457,2.0,ID,Foot Abscess!,52,2,I,190,1,W,1,,.,02
05BR01519,T9464,2.0,ID,,51,2,I,197,2,W,1,,.,02
05BR01520,T9492,2.0,ID,,53,2,I,182,1,W,1,,.,02
05BR01521,T9499,2.0,48,,65,2,0,162,2,W,1,,.,02
05BR01522,T9500,2.0,ID,NICE,52,2,I,228,2,W,1,,.,02
05BR01523,T9503,2.0,ID,BIG4HER,52,2,I,168,5,W,1,,.,02
05BR01524,T9506,2.0,ID,ENTR,53,2,I,185,2,W,1,,.,02
05BR01525,T9534,2.0,48,,64,2,0,163,1,W,1,,.,02
05BR01526,T9540,2.0,48,,61,2,0,182,2,W,1,,.,02
05BR01527,T9548,2.0,48,SPOILED BAG,Mkt,.,0,214,2,W,3,93,.,02
05BR01528,T9557,2.0,ID,"RP, METRITIS",51,2,I,185,1,W,1,,.,02
05BR01529,T9564,2.0,ID,4TEATS,52,2,I,200,H,W,1,,.,02
05BR01530,T9565,2.0,ID,"11 BAG, U",Mkt,.,2,208,5,W,3,93,.,02
05BR01531,T9521,2.0,48,NICE,67,2,0,194,2,W,1,,.,02
05BR01532,T9523,2.0,ID,,51,2,I,171,1,W,1,,.,02
05BR01533,T9525,2.0,ID,"RP, METRITIS",Mkt,.,I,197,1,W,3,93,.,02
05BR01534,T9528,2.0,ID,,51,2,I,168,1,W,1,,.,02
05BR01535,T9587,2.0,ID,PNEU.,52,2,I,172,2,W,1,,.,02
05BR01536,T9596,2.0,48,4TEATS,63,2,0,163,2,W,1,,.,02
05BR01537,T9592,2.0,ID,,52,2,I,188,1,W,1,,.,02
05BR01538,T9570,2.0,ID,,51,2,I,198,1,W,1,,.,02
05BR01539,T9601,2.0,48,NICE,66,2,0,175,2,W,1,,.,02
05BR01540,T9604,2.0,ID,BIG4HER,52,2,I,179,2,W,1,,.,02
05BR01541,T9638,2.0,ID,,51,2,I,205,5,W,1,,.,02
05BR01542,T9653,2.0,ID,RP,52,2,I,234,2,W,1,,.,02
05BR01543,T9667,2.0,48,RP,65,2,0,184,1,W,1,,.,02
05BR01544,T9621,2.0,48,,62,2,0,155,2,W,1,,.,02
05BR01545,T9680,2.0,48,TX.R.EYE 6-27,64,2,0,199,2,W,1,,.,02
05BR01546,T9694,2.0,ID,LTEAT CUT+FIX,51,2,I,192,1,W,1,,.,02
05BR01547,T9244,3.0,41,LOW PROD.,Mkt,.,7,197,S,W,3,93,.,02
05BR01548,T9259,3.0,ID,X 12 BAG,d.1,3,I,186,1,W,U,93,.,02
05BR01549,T9266,3.0,00,BLACK EWE,BLK,1,1,174,1,W,1,,.,02
05BR01550,T9262,3.0,41,4TEATS,61,2,7,178,S,W,1,,.,02
05BR01551,T9267,3.0,48,THIN + POOR,62,2,7,161,S,W,1,,.,02
05BR01552,T9224,3.0,41,THIN,67,2,7,173,S,W,1,,.,02
05BR01553,T9283,3.0,41,LUNGER OUT,XXX,.,7,127,S,W,3,76,.,02
05BR01554,T9291,3.0,41,NICE,65,2,7,177,S,W,1,,.,02
05BR01555,T9292,3.0,42,4TEATS,64,2,7,155,S,W,1,,.,02
