UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00214,T2149,,4TEATS,,1,,88,T3,,,96,,1,02,
08EW00215,H4367,,.,,1,,113,e18,,,111,,1,30,
08EW00216,H4192,,E LT EYE,,1,,106,e23,,,107,,1,30,
08EW00217,R7411,,.,,1,,96,e14,,,95,,1,07,
08EW00218,T2148,,.,,1,,86,T1,,,96,,1,02,
08EW00219,T2211,,.,,1,,84,T1,,,87,,1,02,
08EW00220,K4172,,.,,1,,97,e12,,,108,,1,06,
08EW00221,R7175,,.,,1,,100,e16,,,95,,1,07,
08EW00222,X6166,,.,,1,,83,e4,,,88,,3,T3,
08EW00223,H4347,,.,,1,,88,e22,,,82,,1,30,
08EW00224,T2175,,.,,1,,78,T3,,,105,,1,02,
08EW00225,T2251,,.,,1,,89,T1,,,91,,1,02,
08EW00226,X5865,,4TEATS,,1,,102,e4,,,86,,3,T3,
08EW00227,H4395,,.,,1,,79,e23,,,71,,1,30,
08EW00228,K4365,,.,,1,,78,e13,,,86,,1,06,
08EW00229,X5951,,4TEATS,,1,,94,e6,,,106,,5,SC,
08EW00230,H4308,,.,,1,,100,e17,,,111,,1,30,
08EW00231,T2153,,.,,1,,115,T3,,,113,,1,02,
08EW00232,H4166,,.,,1,,90,e24,,,96,,1,30,
08EW00233,K4154,,4TEATS,,1,,115,e13,,,114,,1,06,
08EW00234,H4283,,.,,1,,82,e17,,,74,,1,30,
08EW00235,K4215,,.,,1,,95,e13,,,111,,1,06,
08EW00236,T2234,,.,,1,,78,T1,,,87,,1,02,
08EW00237,T2218,,.,,1,,112,T1,,,115,,1,02,
08EW00238,X5851,,.,,1,,86,e2,,,87,,5,S3,
08EW00239,K4355,,.,,1,,84,e12,,,90,,1,06,
08EW00240,X6827,,E BOTH EYES,,1,,81,e4,,,64,,1,T3,
08EW00241,T1890,,4TEATS,,1,,84,T1,,,86,,1,02,
08EW00242,X6034,,.,,1,,98,21,,,104,,9,00,
08EW00243,K4393,,.,,1,,100,e3,,,96,,1,06,
08EW00244,X6028,,ENTROPION,,1,,103,e2,,,111,,4,C3,
08EW00245,T2250,,.,,1,,86,T3,,,89,,1,02,
08EW00246,K4176,,.,,1,,120,e13,,,127,,1,06,
08EW00247,T2156,,.,,1,,111,T1,,,118,,1,02,
08EW00248,H4297,,4TEATS,,1,,91,e24,,,89,,1,30,
08EW00249,K4191,,.,,1,,95,e12,,,96,,1,06,
08EW00250,X5723,,BLK.LT.SIDE,,1,,83,e4,,,83,,2,T3,
08EW00251,R7190,,ENTROPION,,1,,88,e14,,,98,,1,07,
08EW00252,H4257,,.,,1,,104,e18,,,107,,1,30,
08EW00253,T1931,,4TEATS,,1,,93,T1,,,99,,1,02,
08EW00254,H4330,,4TEATS,,1,,97,e23,,,109,,1,30,
08EW00255,H3869,,.,,1,,87,e23,,,86,,1,30,
08EW00256,R7133,,.,,1,,100,e14,,,104,,1,07,
08EW00257,X5836,,4TEATS,,1,,99,e13,,,75,,1,06,
08EW00258,T2168,,.,,1,,81,T1,,,92,,1,02,
08EW00259,R7145,,.,,1,,90,e16,,,91,,1,07,
08EW00260,R7229,,4TEATS,,1,,106,e14,,,110,,1,07,
08EW00261,X6888,,.,,1,,98,,,,,,1,T3,
08EW00262,X6318,,.,,1,,73,e2,,,71,,5,S3,
08EW00263,T2060,,.,,1,,86,T2,,,88,,1,02,
08EW00264,T1978,,4 H,,1,,86,T3,,,93,,1,02,
08EW00265,R7351,,BREATHING,,1,,96,e14,,,100,,1,07,
08EW00266,X6915,,.,,1,,102,e4,,,108,,2,T3,
08EW00267,X6794,,.,,1,,89,e21,,,80,,2,TR,
08EW00268,H4490,,.,,1,,69,e24,,,77,,1,30,
08EW00269,K4266,,NICE,,1,,96,e13,,,99,,1,06,
08EW00270,H4515,,.,,1,,89,e17,,,104,,1,30,
08EW00271,X7120,,.,,1,,97,e8,,,117,,5,S3,
08EW00272,T1981,,4TEATS,,1,,88,T2,,,95,,1,02,
08EW00273,H4520,,4TEATS,,1,,80,e19,,,71,,1,30,
08EW00274,X5970,,ENTROPION,,1,,65,e9,,,81,,1,TC,
08EW00275,T1861,,.,,1,,100,T3,,,107,,1,02,
08EW00276,H4539,,HAIRY,,1,,71,e18,,,82,,1,30,
08EW00277,X6542,,ENTROPION,,1,,90,e11,,,90,,1,TC,
08EW00278,H4494,,E RT EYE,,1,,86,e22,,,66,,1,30,
08EW00279,H4498,,.,,1,,57,e18,,,61,,1,30,
08EW00280,H4015,,.,,1,,86,e19,,,61,,1,30,
08EW00281,H3993,,.,,1,,114,e17,,,127,,1,30,
08EW00282,T2085,,.,,1,,77,T2,,,81,,1,02,
08EW00283,R7354,,.,,1,,86,e15,,,93,,1,07,
08EW00284,T2335,,.,,1,,79,T2,,,80,,1,02,
08EW00285,H3898,,.,,1,,91,e23,,,89,,1,30,
08EW00286,H4449,,CHEWED TAIL,,1,,86,e18,,,104,,1,30,
08EW00287,T2061,,.,,1,,96,T2,,,107,,1,02,
08EW00288,H4135,,.,,1,,92,e22,,,93,,1,30,
08EW00289,H4052,,.,,1,,91,e19,,,91,,1,30,
08EW00290,X6208,,ENTROPION,,1,,92,e6,,,88,,5,SC,
08EW00291,T1996,,.,,1,,104,T2,,,96,,1,02,
08EW00292,K4377,,4TEATS,,1,,105,e3,,,95,,1,06,
08EW00293,H3879,,.,,1,,83,e17,,,97,,1,30,
08EW00294,R7275,,BLK SPOT R.F.,,1,,98,e16,,,105,,2,07,
08EW00295,R7253,,.,,1,,75,e15,,,83,,1,07,
08EW00296,R7321,,BRN TIP EARS,,1,,102,e16,,,108,,1,07,
08EW00297,T2043,,.,,1,,82,T3,,,90,,1,02,
08EW00298,X6134,,.,,1,,106,e4,,,108,,1,T3,
08EW00299,H4441,,.,,1,,66,e18,,,61,,1,30,
08EW00300,T1954,,E,,1,,114,T2,,,113,,1,02,
08EW00301,T2122,,.,,1,,86,T2,,,90,,1,02,
08EW00302,T2027,,E H,,1,,105,T1,,,119,,1,02,
08EW00303,T1977,,HAIRY,,1,,82,T3,,,86,,1,02,
08EW00304,X6378,,4TEATS,,1,,94,e7,,,96,,5,SC,
08EW00305,R7429,,.,,1,,90,e15,,,64,,1,07,
08EW00306,X6669,,ENTROPION,,1,,91,e4,,,106,,1,T3,
08EW00307,T2101,,E RT EYE,,1,,106,T1,,,117,,1,02,
08EW00308,T2071,,.,,1,,82,T1,,,84,,1,02,
08EW00309,X6289,,4TEATS,,1,,124,e6,,,131,,5,SC,
08EW00310,X6560,,.,,1,,122,e6,,,133,,5,SC,
08EW00311,H4037,,ENTROPION,,1,,76,e17,,,72,,1,30,
08EW00312,R7267,,.,,1,,113,e15,,,118,,1,07,
08EW00313,T2104,,.,,1,,87,T1,,,92,,1,02,
08EW00314,R7432,,.,,1,,86,e16,,,87,,2,07,
08EW00315,H3803,,.,,1,,95,e19,,,82,,1,30,
08EW00316,T2317,,.,,1,,110,T1,,,115,,1,02,
08EW00317,X6805,,BRN.LEG,,1,,71,e9,,,67,,2,TC,
08EW00318,X6873,,BRN.EARS,,1,,104,e4,,,97,,3,T3,
08EW00319,X6606,,E 4,,1,,99,e3,,,93,,1,06,
08EW00320,T2129,,HAIRY,,1,,104,T3,,,112,,1,02,
08EW00321,T2096,,.,,1,,81,T1,,,76,,1,02,
