UID,ETAG,LINE,RMK,IDX,PD,PTRT,CUWT,BPEN,BRAND,NOV02,DEC14,DEC28
99EW00035,91054,88,,82,1,,69,L-6,Blue,0,90,105
99EW00036,91055,00,,95,1,,80,L-2,Blue,0,100,106
99EW00037,91058,00,,109,1,,101,L-3,Blue,0,119,131
99EW00038,91061,00,,96,1,,76,L-3,Blue,0,100,121
99EW00039,91063,00,,94,1,,70,L-2,Blue,0,85,98
99EW00040,91027,68,,84,1,,72,L-0,Blue,0,95,111
99EW00041,91020,00,,101,1,,79,L-1,Blue,0,95,114
99EW00042,91081,00,,101,1,,79,L-1,Blue,0,93,104
99EW00043,91084,88,,88,1,,80,L-6,Blue,0,100,115
99EW00044,91089,88,,109,1,,78,L-6,Blue,0,98,113
99EW00045,91090,88,,114,1,,87,L-5,Blue,0,107,118
99EW00046,91097,00,,106,1,,80,L-3,Blue,0,98,115
99EW00047,91071,00,,93,1,,78,L-3,Blue,0,99,125
99EW00048,91075,00,,100,1,,72,L-1,Blue,0,84,97
99EW00049,91072,00,,85,1,,84,L-3,Blue,0,105,114
99EW00050,91077,00,H3,97,1,,87,L-2,Blue,0,106,117
99EW00051,91313,68,,88,1,,73,L-4,Blue,0,90,106
99EW00052,91314,68,,90,1,,76,L-4,Blue,0,92,108
99EW00053,91315,68,BRN.EARS,103,1,,78,L-0,Blue,0,101,109
99EW00054,91318,00,,99,1,,80,L-1,Blue,0,89,110
99EW00055,91307,00,,83,1,,66,L-2,Blue,0,86,94
99EW00056,91334,00,,100,1,,67,L-1,Blue,0,90,101
99EW00057,91330,00,,105,1,,70,L-3,Blue,0,90,100
99EW00058,91344,00,,84,1,,74,L-2,Blue,0,76,93
99EW00059,91349,00,,103,1,,87,L-3,Blue,0,99,113
99EW00060,91354,00,,94,1,,73,L-1,Blue,0,85,91
99EW00061,91358,00,,130,1,,87,L-2,Blue,0,100,119
99EW00062,91364,00,BLACK EWE,,1,,65,L-0,Blue,0,91,108
99EW00063,91362,00,,103,1,,85,L-2,Blue,0,91,107
99EW00064,91392,68,,96,1,,89,L-4,Blue,0,107,119
99EW00065,91379,00,,83,1,,80,L-1,Blue,0,94,111
99EW00066,91414,68,,77,1,,62,L-4,Blue,0,76,96
99EW00067,91417,00,,91,1,,70,L-3,Blue,0,90,100
99EW00068,91405,68,,103,1,,87,L-0,Blue,0,105,124
99EW00069,91432,00,BF,,1,,97,L-0,Blue,0,114,129
99EW00070,91445,00,BF,,1,,70,L-0,Blue,0,83,88
99EW00071,91453,00,BF,,1,,65,L-0,Blue,0,81,92
99EW00072,91454,00,BF,,1,,77,L-0,Blue,0,90,101
99EW00073,91458,00,BF,,1,,76,L-0,Blue,0,98,112
99EW00074,91457,00,BF,,1,,80,L-0,Blue,0,104,112
99EW00075,91421,00,NICE,100,1,,87,L-3,Blue,0,104,114
99EW00076,91426,00,BF,,1,,86,L-0,Blue,0,106,120
99EW00077,91428,00,BF,,1,,71,L-0,Blue,0,94,103
99EW00078,91429,00,BF,,1,,76,L-0,Blue,0,94,99
99EW00079,91420,00,BF,,1,,104,L-0,Blue,0,121,139
99EW00080,91483,00,BF,,1,,69,L-0,Blue,0,89,98
99EW00081,91489,00,BF,,1,,75,L-0,Blue,0,94,104
99EW00082,91219,88,,119,1,,65,L-5,Blue,0,89,110
99EW00083,91201,00,,88,1,,67,L-1,Blue,0,87,103
99EW00084,91208,88,,78,1,,81,L-6,Blue,0,100,109
99EW00085,91232,00,,99,1,,65,L-3,Blue,0,86,102
99EW00086,91244,68,,93,1,,69,L-0,Blue,0,89,103
99EW00087,91240,00,,85,1,,69,L-3,Blue,0,88,97
99EW00088,91251,68,,120,1,,97,L-4,Blue,0,113,135
99EW00089,91257,00,,97,1,,66,L-1,Blue,0,83,95
99EW00090,91265,00,,105,1,,87,L-3,Blue,0,106,118
99EW00091,91268,88,,104,1,,90,L-6,Blue,0,111,124
99EW00092,91267,68,,104,1,,96,L-4,Blue,0,112,128
99EW00093,91281,68,,118,1,,86,L-4,Blue,0,108,126
99EW00094,91295,00,,101,1,,72,L-2,Blue,0,89,99
99EW00095,91298,00,,104,1,,70,L-1,Blue,0,82,98
99EW00096,91271,00,BLACK EWE,,1,,90,L-0,Blue,0,110,117
99EW00097,91273,00,,87,1,,72,L-3,Blue,0,83,95
99EW00098,91274,00,,91,1,,75,L-2,Blue,0,99,106
99EW00099,91276,00,,107,1,,100,L-3,Blue,0,115,134
99EW00100,91278,00,WITH LIM'S,96,1,,95,L-3,Blue,0,110,120
99EW00101,91270,00,,109,1,,69,L-1,Blue,0,89,101
99EW00102,90111,00,BLK.HEAD,,1,,92,L-0,Blue,0,116,121
99EW00103,90114,00,SAVE DxC,0,1,,83,L-0,Blue,103,112,121
99EW00104,90116,00,BLK.HEAD,,1,,76,L-0,Blue,0,96,98
99EW00105,90112,00,WHITE,,1,,77,L-0,Blue,0,88,98
99EW00106,90101,00,WHITE,,1,,83,L-0,Blue,0,109,119
99EW00107,90104,00,BLK.HEAD,,1,,92,L-0,Blue,0,119,129
99EW00108,90102,88,,77,1,,82,L-5,Blue,0,102,118
99EW00109,90109,00,BLK.HEAD,,1,,90,L-0,Blue,0,107,115
99EW00110,90107,00,BLACK 1/2D,,1,,77,L-0,Blue,0,97,111
99EW00111,90135,00,BLK.HEAD,,1,,116,L-0,Blue,0,134,145
99EW00112,90136,00,BLK.HEAD,,1,,100,L-0,Blue,0,118,123
99EW00113,90132,00,PINTO,,1,,120,L-0,Blue,0,140,153
99EW00114,90144,00,BLK.HEAD,,1,,107,L-0,Blue,0,124,135
99EW00115,90146,00,"BRN.LEGS,NOSE",,1,,103,L-0,Blue,0,117,120
99EW00116,90149,00,BRN.EYE,,1,,74,L-0,Blue,0,83,94
99EW00117,90156,00,BLK.HEAD,,1,,93,L-0,Blue,0,93,100
99EW00118,90158,00,BLACK 3/4D,,1,,106,L-0,Blue,0,127,142
99EW00119,90159,00,,87,1,,81,L-1,Blue,0,96,108
99EW00120,90165,00,BLACK 1/2D,,1,,107,L-0,Blue,0,130,134
99EW00121,90162,00,PINTO,,1,,91,L-0,Blue,0,110,122
99EW00122,90121,88,,91,1,,92,L-5,Blue,0,110,131
99EW00123,90123,00,BLK.HEAD,,1,,95,L-0,Blue,0,114,124
99EW00124,90124,00,BRN.FEET,,1,,95,L-0,Blue,0,94,107
99EW00125,90128,00,BLACK 1/2D,,1,,104,L-0,Blue,0,115,122
99EW00126,90127,00,BLK.HEAD,,1,,102,L-0,Blue,0,122,122
99EW00127,90181,00,HAIRY,,1,,89,L-0,Blue,0,110,127
99EW00128,90187,00,,95,1,,73,L-3,Blue,0,87,95
99EW00129,90191,00,,93,1,,79,L-1,Blue,0,97,113
99EW00130,90194,00,PINTO,,1,,79,L-0,Blue,0,96,107
99EW00131,90179,00,,82,1,,77,L-2,Blue,0,94,111
99EW00132,90170,00,BLK.HEAD,,1,,72,L-0,Blue,0,90,100
99EW00133,90100,00,WHITE,,1,,73,L-0,Blue,0,98,111
99EW00134,90015,88,HAIRY ok,84,1,,94,L-6,Blue,0,117,132
99EW00135,90018,00,,96,1,,96,L-1,Blue,0,110,134
99EW00136,90035,88,,71,1,,76,L-6,Blue,0,94,106
99EW00137,90041,88,,79,1,,88,L-5,Blue,0,107,114
99EW00138,90044,88,,79,1,,85,L-6,Blue,0,108,123
99EW00139,90046,88,,90,1,,99,L-5,Blue,0,109,131
99EW00140,90051,68,4TEATS,90,1,,99,L-0,Blue,0,123,139
99EW00141,90053,88,TRT R EYE,77,1,,88,L-5,Blue,0,101,108
99EW00142,90056,00,BLACK ewe,0,1,,77,e.7,Purple,92,92,0
99EW00143,90052,00,,90,1,,86,L-1,Blue,0,97,117
99EW00144,90059,88,,86,1,,91,L-5,Blue,0,107,121
99EW00145,90057,00,BLACK ewe,0,1,,86,e.9,Purple,108,112,0
99EW00146,90061,68,,94,1,,101,L-0,Blue,0,118,135
99EW00147,90065,00,BLK.HEAD,,1,,91,L-0,Blue,0,102,109
99EW00148,90062,00,WHITE,,1,,62,L-0,Blue,0,78,85
99EW00149,90022,88,,84,1,,96,L-5,Blue,0,115,131
99EW00150,90029,68,,88,1,,98,L-0,Blue,0,121,134
99EW00151,90081,00,BLK.HEAD,,1,,84,L-0,Blue,0,107,112
99EW00152,90085,88,,112,1,,74,L-6,Blue,0,93,108
99EW00153,90086,68,,97,1,,105,L-0,Blue,0,129,146
99EW00154,90082,00,PINTO,,1,,93,L-0,Blue,0,107,121
99EW00155,90089,00,"ENTR,WHITE",,1,,96,L-0,Blue,0,117,121
99EW00156,90080,00,BLK.HEAD,,1,,95,L-0,Blue,0,116,112
99EW00157,90093,00,BLK.HEAD,,1,,94,L-0,Blue,0,111,110
99EW00158,90096,00,,93,1,,83,L-3,Blue,0,107,127
99EW00159,90098,00,WHITE,,1,,63,L-0,Blue,0,82,90
99EW00160,90071,88,4TEATS,90,1,,92,L-5,Blue,0,107,129
99EW00161,90074,00,WHITE,,1,,93,L-0,Blue,0,111,123
99EW00162,90072,00,BLACK 1/2D,,1,,102,L-0,Blue,0,115,125
99EW00163,90078,00,BLK.HEAD,,1,,105,L-0,Blue,0,123,127
99EW00164,90077,68,4TEATS,83,1,,92,L-0,Blue,0,108,119
99EW00165,90311,00,,87,1,,82,L-1,Blue,0,105,117
99EW00166,90312,00,,96,1,,95,L-3,Blue,0,110,137
99EW00167,90319,00,,89,1,,99,L-2,Blue,0,105,118
99EW00168,90317,00,4TEATS,108,1,,79,L-1,Blue,0,98,113
99EW00169,90310,00,,90,1,,85,L-2,Blue,0,103,117
99EW00170,90308,00,,101,1,,97,L-1,Blue,0,117,134
99EW00171,90333,88,4TEATS,88,1,,89,L-6,Blue,0,110,119
99EW00172,90335,00,4TEATS,101,1,,90,L-2,Blue,0,107,118
99EW00173,90337,00,,90,1,,77,L-3,Blue,0,92,102
99EW00174,90342,00,,101,1,,107,L-1,Blue,0,129,142
99EW00175,90347,00,,78,1,,79,L-2,Blue,0,97,107
99EW00176,90351,00,,105,1,,95,L-3,Blue,0,102,117
99EW00177,90365,00,,91,1,,70,L-2,Blue,0,93,102
99EW00178,90362,00,,99,1,,75,L-1,Blue,0,100,113
99EW00179,90369,00,,103,1,,81,L-3,Blue,0,99,114
99EW00180,90326,00,,91,1,,83,L-3,Blue,0,99,109
99EW00181,90329,00,,65,1,,82,L-1,Blue,0,99,106
99EW00182,90327,00,,105,1,,80,L-3,Blue,0,96,103
99EW00183,90380,68,,90,1,,86,L-0,Blue,0,105,120
99EW00184,90386,00,,103,1,,97,L-3,Blue,0,109,123
99EW00185,90388,00,,102,1,,90,L-3,Blue,0,108,131
99EW00186,90396,68,,88,1,,85,L-0,Blue,0,101,120
99EW00187,90392,00,,86,1,,76,L-3,Blue,0,88,99
99EW00188,90397,68,BLK.R.SHOU. <,96,1,,121,L-4,Blue,0,144,160
99EW00189,90373,00,4TEATS,103,1,,83,L-2,Blue,0,108,113
99EW00190,90375,88,,91,1,,96,L-6,Blue,0,107,124
99EW00191,90372,00,,104,1,,91,L-2,Blue,0,94,108
99EW00192,90370,00,,109,1,,96,L-1,Blue,0,117,138
99EW00193,90300,00,,92,1,,74,L-3,Blue,0,92,104
99EW00194,90415,68,,79,1,,80,L-0,Blue,0,102,114
99EW00195,90417,68,,92,1,,86,L-0,Blue,0,105,129
99EW00196,90421,68,Tagged 6/4/99,114,1,,94,L-0,Blue,0,114,126
99EW00197,90424,00,Tagged 6/4/99,95,1,,69,L-1,Blue,0,92,112
99EW00198,90516,88,,105,1,,76,L-6,Blue,0,89,106
99EW00199,90518,88,,82,1,,86,L-5,Blue,0,101,123
99EW00200,90519,00,,109,1,,97,L-2,Blue,0,104,111
99EW00201,90532,00,,92,1,,69,L-1,Blue,0,84,101
99EW00202,90541,88,,106,1,,92,L-5,Blue,0,98,120
99EW00203,90545,88,,96,1,,92,L-6,Blue,0,109,120
99EW00204,90552,00,,86,1,,79,L-2,Blue,0,94,100
99EW00205,90558,00,,84,1,,73,L-2,Blue,0,87,100
99EW00206,90567,88,,111,1,,79,L-6,Blue,0,98,114
99EW00207,90528,88,,109,1,,68,L-6,Blue,0,85,102
99EW00208,90589,88,,108,1,,94,L-6,Blue,0,103,125
99EW00209,90597,88,,98,1,,92,L-6,Blue,0,110,123
99EW00210,90576,00,,96,1,,90,L-2,Blue,0,110,118
99EW00211,90606,00,,77,1,,84,L-2,Blue,0,100,116
99EW00212,90631,68,,112,1,,98,L-4,Blue,0,122,137
99EW00213,90638,68,,95,1,,101,L-4,Blue,0,116,132
99EW00214,90642,00,,92,1,,83,L-2,Blue,0,95,110
99EW00215,90650,68,,108,1,,105,L-4,Blue,0,130,148
99EW00216,90626,88,,90,1,,76,L-6,Blue,0,95,100
99EW00217,90627,88,DEAD 10/15,94,1,,68,L-6,Blue,0,0,0
99EW00218,90684,88,,98,1,,74,L-5,Blue,0,91,107
99EW00219,90685,88,,92,1,,70,L-6,Blue,0,88,103
99EW00220,90687,88,,102,1,,96,L-6,Blue,0,111,131
99EW00221,90694,88,,111,1,,67,L-5,Blue,0,87,106
99EW00222,90679,88,,91,1,,88,L-5,Blue,0,100,112
99EW00223,90214,00,,83,1,,75,L-2,Blue,0,94,109
99EW00224,90216,00,,87,1,,68,L-3,Blue,0,85,94
99EW00225,90212,00,,94,1,,87,L-1,Blue,0,105,112
99EW00226,90218,00,,104,1,,92,L-1,Blue,0,107,124
