UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV04,DEC14
94EW00046,A1082,81,,106,1,107,8,,112,119
94EW00047,A1088,ch,,105,1,79,JIM,,82,0
94EW00048,A1089,81,,111,1,91,8,,90,99
94EW00049,A1090,81,,110,1,82,7,,91,93
94EW00050,A1096,ch,3TEATS,99,1,85,JIM,,88,0
94EW00051,A1099,ch,,102,1,77,JIM,,83,0
94EW00052,A1097,ch,,98,1,72,JIM,,79,0
94EW00053,A1073,81,,113,1,78,7,,81,82
94EW00054,A1074,81,,123,1,99,8,,99,101
94EW00055,A1075,81,,117,1,89,7,,93,96
94EW00056,A1078,ch,,92,1,67,JIM,,71,0
94EW00057,A1079,ch,,107,1,88,JIM,,83,0
94EW00058,A1311,ch,,99,1,82,JIM,,83,0
94EW00059,A1314,ch,,92,1,74,JIM,,79,0
94EW00060,A1315,ch,ENTR,91,1,77,JIM,,78,0
94EW00061,A1301,73,,98,1,74,-FL,,79,0
94EW00062,A1304,ch,,94,1,85,JIM,,93,0
94EW00063,A1331,82,,100,1,83,8,,89,99
94EW00064,A1338,ch,ORPHAN,,1,,JIM,,71,0
94EW00065,A1337,ch,,82,1,84,JIM,,97,0
94EW00066,A1345,ch,,124,1,93,JIM,,107,0
94EW00067,A1346,ch,,119,1,89,JIM,,92,0
94EW00068,A1347,ch,,112,1,97,JIM,,101,0
94EW00069,A1351,73,HAIRY,104,1,98,-FL,,103,0
94EW00070,A1358,82,,109,1,77,7,,90,94
94EW00071,A1365,82,4TEATS,105,1,89,7,,93,96
94EW00072,A1362,ch,,97,1,80,JIM,,84,0
94EW00073,A1367,81,,116,1,89,8,,91,93
94EW00074,A1326,82,,105,1,96,7,,100,99
94EW00075,A1327,82,MSG 11-04-94,98,7,72,8,,0,0
94EW00076,A1383,81,,110,1,85,7,,89,95
94EW00077,A1397,81,,106,1,87,8,,91,94
94EW00078,A1374,73,ENTR,103,1,83,-FL,,88,0
94EW00079,A1418,73,4TEATS,95,1,60,-FL,,65,0
94EW00080,A1417,73,,94,1,61,-FL,,65,0
94EW00081,A1404,81,4TEATS,107,1,97,8,,107,118
94EW00082,A1408,82,,106,1,85,8,,85,91
94EW00083,A1439,82,,92,1,94,8,,102,109
94EW00084,A1441,73,,100,1,73,-FL,,83,0
94EW00085,A1440,73,,96,1,66,-FL,,68,0
94EW00086,A1443,73,,95,1,82,-FL,,88,0
94EW00087,A1449,82,4TEATS,99,1,105,8,,120,129
94EW00088,A1451,82,,103,1,89,8,,86,93
94EW00089,A1452,82,,109,1,91,7,,100,104
94EW00090,A1462,73,,92,1,60,-FL,,68,0
94EW00091,A1469,82,,91,1,72,7,,81,83
94EW00092,A1428,82,4TEATS,109,1,90,7,,94,101
