UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
22EW00562,X0216,,.,1,101,e3,W,124,1021,134,1129,,,,2-,,Preg,,5,C3
22EW00563,X0218,,.,1,85,e4,W,99,1021,121,1129,,,,2-,,Preg,,5,SC
22EW00564,X0219,A,.,1,133,e5,W,155,1021,184,1129,,,,1,,Preg,,6,97
22EW00565,X0230,A,.,1,109,e6,W,140,1021,150,1129,,,,,,Open,,5,00
22EW00566,X0234,A,.,1,108,e1,W,128,1021,123,1129,,,,2-,,Preg,,5,C3
22EW00567,X0235,A,.,1,106,e2,W,128,1021,128,1129,,,,2+,,Preg,,5,C3
22EW00568,X0241,,1ST,1,96,e3,W,102,1021,118,1129,,,,2,,Preg,,1,00
22EW00569,X0243,,.,1,96,e4,W,113,1021,127,1129,,,,3,,Preg,,9,BL
22EW00570,X0246,A,.,1,111,e5,W,130,1021,139,1129,,,,,,Open,,6,97
22EW00571,X0255,A,.,1,107,e6,W,123,1021,151,1129,,,,1,,Preg,,6,97
22EW00572,X0256,A,.,1,105,e1,W,128,1021,130,1129,,,,,,Open,,6,97
22EW00573,X0266,A,.,1,128,e2,W,145,1021,133,1129,,,,1,,Preg,,6,97
22EW00574,X0267,,.,1,90,e3,W,123,1021,124,1129,,,,2,,Preg,,5,80
22EW00575,X0275,A,2ND.2@ONCE,1,112,e4,W,127,1021,143,1129,,,,1-,,Preg,,6,97
22EW00576,X0286,,.,1,113,e5,W,129,1021,149,1129,,,,2+,,Preg,,5,00
22EW00577,X0289,,.,1,90,e6,W,101,1021,114,1129,,,,3,,Preg,,2,02
22EW00578,X0291,,HAIRY,1,110,e1,W,128,1021,144,1129,,,,3+,,Preg,,5,LR
22EW00579,X0294,,HAIRY,1,118,e2,W,136,1021,139,1129,,,,2+,,Preg,,5,00
22EW00580,X0301,,.,1,110,e3,W,127,1021,135,1129,,,,2-,,Preg,,5,LR
22EW00581,X0309,A,1ST,1,100,e4,W,122,1021,138,1129,,,,2-,,Preg,,5,00
22EW00582,X0311,,HAIRY,1,112,e5,W,121,1021,134,1129,,,,1-,,Preg,,5,00
22EW00583,X0327,,.,1,110,e6,W,133,1021,146,1129,,,,3,,Preg,,1,LT
22EW00584,X0338,,.,1,100,e1,W,116,1021,130,1129,,,,3,,Preg,,5,10
22EW00585,X0341,,.,1,90,e2,W,120,1021,133,1129,,,,3+,,Preg,,5,80
22EW00586,X0347,A,2ND,1,118,e3,W,131,1021,139,1129,,,,1,,Preg,,6,97
22EW00587,X0361,,.,1,111,e4,W,123,1021,140,1129,,,,1,,Preg,,5,00
22EW00588,X0364,A,.,1,110,e5,W,140,1021,155,1129,,,,1,,Preg,,5,00
22EW00589,X0369,,.,1,87,e6,W,100,1021,110,1129,,,,2,,Preg,,5,10
22EW00590,X0379,,.,1,97,e1,W,111,1021,118,1129,,,,2+,,Preg,,5,00
22EW00591,X0381,,.,1,110,e2,W,128,1021,136,1129,,,,1-,,Preg,,5,00
22EW00592,X0382,,.,1,96,e3,W,109,1021,110,1129,,,,3,,Preg,,5,10
22EW00593,X0385,,.,1,108,e4,W,124,1021,145,1129,,,,2-,,Preg,,1,LT
22EW00594,X0386,,.,1,124,e5,W,156,1021,171,1129,,,,2-,,Preg,,5,00
22EW00595,X0399,,.,1,110,e6,W,136,1021,139,1129,,,,1,,Preg,,5,00
22EW00596,X0402,,.,1,119,e1,W,128,1021,123,1129,,,,2,,Preg,,5,00
22EW00597,X0408,,.,1,98,e2,W,129,1021,129,1129,,,,,,Open,,5,00
22EW00598,X0409,,.,1,101,e3,W,122,1021,130,1129,,,,,,Open,,5,80
22EW00599,X0413,,.,1,90,e4,W,112,1021,123,1129,,,,2,,Preg,,5,10
22EW00600,X0420,,2ND,1,94,e5,0,,,,,,,,,,,,1,02
22EW00601,X0425,A,REJECTED,1,109,e6,W,121,1021,142,1129,,,,2,,Preg,,5,00
22EW00602,X0428,,.,1,96,e1,W,114,1021,120,1129,,,,2,,Preg,,2,LR
22EW00603,X0439,,.,1,121,e2,W,139,1021,145,1129,,,,1-,,Preg,,5,00
22EW00604,X0444,,.,1,107,e3,W,125,1021,130,1129,,,,2+,,Preg,,7,LP
22EW00605,X0447,,.,1,110,e4,W,128,1021,142,1129,,,,3,,Preg,,2,LT
22EW00606,X0448,A,.,1,107,e5,W,130,1021,147,1129,,,,2+,,Preg,,5,00
22EW00607,X0449,,.,1,96,e6,W,107,1021,131,1129,,,,3+,,Preg,,5,00
22EW00608,X0452,A,.,1,95,e1,W,113,1021,117,1129,,,,,,Open,,5,00
22EW00609,X0454,,.,1,112,e2,W,132,1021,138,1129,,,,2-,,Preg,,5,SC
22EW00610,X0458,,.,1,112,e3,W,112,1021,138,1129,,,,2,,Preg,,5,20
22EW00611,X0459,,.,1,106,e4,W,121,1021,132,1129,,,,,,Preg,,5,00
22EW00612,X0462,,HAIRY,1,98,e5,W,119,1021,133,1129,,,,3,,Preg,,5,LT
22EW00613,X0477,,.,1,91,e6,W,108,1021,130,1129,,,,2-,,Preg,,5,10
22EW00614,X0479,,.,1,90,e1,W,114,1021,129,1129,,,,,,Open,,7,00
22EW00615,X0493,,.,1,94,e2,W,117,1021,119,1129,,,,2+,,Preg,,3,LR
22EW00616,X0496,,.,1,99,e3,W,124,1021,122,1129,,,,3+,,Preg,,1,LR
22EW00617,X0497,,.,1,108,e4,W,116,1021,127,1129,,,,3,,Preg,,1,LT
22EW00618,X0498,,.,1,87,e5,W,96,1021,101,1129,,,,4+,,Preg,,1,02
22EW00619,X0502,,1ST,1,102,e6,W,117,1021,140,1129,,,,3,,Preg,,3,LR
22EW00620,X0503,,2ND,1,106,e1,W,128,1021,138,1129,,,,3,,Preg,,1,LR
22EW00621,X0512,,.,1,98,e2,W,116,1021,127,1129,,,,3,,Preg,,1,LT
22EW00622,X0529,,.,1,87,e3,W,101,1021,110,1129,,,,3+,,Preg,,5,10
22EW00623,X0532,,.,1,98,e4,W,123,1021,134,1129,,,,2-,,Preg,,5,20
22EW00624,X0533,,.,1,94,e5,W,105,1021,124,1129,,,,3+,,Preg,,7,LR
22EW00625,X0543,,.,1,114,e6,W,139,1021,147,1129,,,,2,,Preg,,1,00
22EW00626,X0544,,.,1,99,e1,W,123,1021,129,1129,,,,3+,,Preg,,5,10
22EW00627,X0558,,.,1,95,e2,W,113,1021,124,1129,,,,2,,Preg,,5,00
22EW00628,X0562,,1ST,1,112,e3,W,133,1021,143,1129,,,,3,,Preg,,7,LP
22EW00629,X0563,,FaceScoreMiss,1,99,e4,W,117,1021,139,1129,,,,2-,,Preg,,1,LP
22EW00630,X0568,,.,1,101,e5,W,122,1021,134,1129,,,,2,,Preg,,7,LP
22EW00631,Y0159,,.,1,90,e6,W,103,1021,109,1129,,,,1,,Preg,,8,Kt
22EW00632,Y0168,,BRSPOTNECK,1,74,e1,W,72,1021,79,1129,,,,1,,Preg,,3,Kt
22EW00633,Y0169,,.,1,75,e2,W,89,1021,85,1129,,,,1,,Preg,,1,Kt
