UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,OCT31,DEC11
95EW00178,A2292,81,,105,1,100,e.7,blue,99,105
95EW00179,A2299,ch,3TEATS,109,1,81,j.3,blue,91,0
95EW00180,A2271,73,R.EYE TRT,101,1,81,-fl,blue,95,0
95EW00181,A2270,ch,,102,1,80,j.5,blue,93,0
95EW00182,A2273,73,3TEATS,101,1,77,-fl,blue,90,0
95EW00183,A2275,81,,114,1,87,e.7,blue,103,118
95EW00184,A2277,ch,,101,1,84,j.1,blue,91,0
95EW00185,A2000,82,LF LAME,100,1,97,e.8,blue,103,113
95EW00186,K8111,60,,101,1,129,e.4,blue,145,162
95EW00187,K8118,61,,103,1,100,e.4,blue,112,127
95EW00188,K8117,61,BLK R EYE,101,1,101,e.3,blue,114,116
95EW00189,K8107,62,,99,1,90,e.4,blue,90,95
95EW00190,K8134,62,4TEATS,109,1,107,e.3,blue,117,131
95EW00191,K8156,60,HAIRY check,105,1,102,e.4,blue,119,126
95EW00192,K8157,00,HOMOZYGOUS CC,,1,99,e.9,LARF,110,119
95EW00193,K8161,60,4TEATS,113,1,116,e.3,blue,118,128
95EW00194,K8123,62,,104,1,96,e.4,blue,111,125
95EW00195,K8122,62,ENTR,113,1,109,e.3,blue,121,126
95EW00196,K8127,60,4TEATS,92,1,112,e.3,blue,128,149
95EW00197,K8181,61,4TEATS,99,1,96,e.3,blue,98,100
95EW00198,K8189,62,,99,1,93,973,blue,105,114
95EW00199,K8190,62,,100,1,96,e.4,blue,109,129
95EW00200,K8193,60,4TEATS,99,1,108,e.4,blue,122,136
95EW00201,K8198,62,4TEATS,108,1,94,e.3,blue,102,111
95EW00202,K8010,61,"4TEATS,URI",105,1,115,e.4,blue,128,130
95EW00203,K8013,61,ENTR,105,1,118,e.3,blue,139,152
95EW00204,K8003,60,,96,1,105,e.4,blue,112,116
95EW00205,K8006,61,4TEATS,98,1,120,e.4,blue,132,136
95EW00206,K8009,61,4TEATS,95,1,99,e.3,blue,104,127
95EW00207,K8034,60,HAIRY,104,1,100,e.3,blue,109,110
95EW00208,K8053,60,ENTR,105,1,113,e.4,blue,124,128
95EW00209,K8054,60,4TEATS,102,1,111,e.3,blue,116,117
95EW00210,K8060,61,BRN NOSE,103,1,114,e.4,blue,124,132
95EW00211,K8064,60,4TEATS,106,1,99,e.4,blue,112,118
95EW00212,K8062,62,HAIRY,85,1,91,e.4,blue,103,105
95EW00213,K8067,62,,103,1,85,e.3,blue,85,89
95EW00214,K8025,00,out of sale95,0,2,114,e.3,blue,115,120
95EW00215,K8081,60,4TEATS,107,1,111,e.4,blue,128,145
95EW00216,K8084,61,4TEATS,93,1,106,e.4,blue,103,97
95EW00217,K8089,61,,123,1,108,e.3,blue,114,115
95EW00218,K8087,60,4TEATS,108,1,100,e.3,blue,109,111
95EW00219,K8099,61,,98,1,110,e.4,blue,123,130
95EW00220,K8076,61,,89,1,94,e.3,blue,99,107
95EW00221,K8078,60,"ENTR,L,SCOURS",118,1,103,e.3,blue,108,112
95EW00222,K8312,62,,84,1,79,e.3,blue,95,96
95EW00223,K8318,60,,103,1,101,e.3,blue,109,115
95EW00224,K8305,61,,107,1,86,e.4,blue,102,114
95EW00225,K8306,61,4TEATS,109,1,111,e.3,blue,117,133
95EW00226,K8302,60,"4TEAT,TOE ABS",112,1,117,e.4,blue,126,137
95EW00227,K8337,61,,108,1,104,e.3,blue,122,149
95EW00228,K8347,61,4TEATS,109,1,111,e.4,blue,113,125
95EW00229,K8357,60,,100,1,112,e.4,blue,119,132
95EW00230,K8361,61,,110,1,99,e.4,blue,117,126
95EW00231,K8360,61,,112,1,98,e.3,blue,111,108
