UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,OCT31,DEC14,IDZ65,PREG
01EW00110,A8493,83,,105,1,none,100,e14,purple,105,117,0,1
01EW00111,A8497,83,PNEU,102,1,none,80,e11,purple,87,101,0,1
01EW00112,A8498,84,BUSH,101,1,none,84,e63,purple,81,89,0,1
01EW00113,A8499,84,,101,1,none,80,e63,purple,75,82,0,1
01EW00114,A8500,84,,106,1,none,102,e65,purple,101,102,0,1
01EW00115,A8505,84,,104,1,none,99,e62,purple,89,102,0,1
01EW00116,A8507,84,,102,1,none,92,e62,purple,98,106,0,1
01EW00117,A8511,81,,98,1,none,85,e12,purple,80,86,0,1
01EW00118,A8514,81,,99,1,none,84,e13,purple,82,98,0,1
01EW00119,A8515,81,4TEATS,107,1,none,108,e14,purple,115,139,0,1
01EW00120,A8520,00,,0,1,none,91,e66,purple,97,106,0,1
01EW00121,A8521,00,,0,1,none,89,e62,purple,93,96,0,0
01EW00122,A8522,83,,90,1,none,85,e12,purple,88,100,0,1
01EW00123,A8524,00,,0,1,none,96,e63,purple,103,118,0,1
01EW00124,A8526,84,,111,1,none,105,e62,purple,103,111,0,1
01EW00125,A8528,81,4TEATS,82,1,none,94,e11,purple,100,114,0,1
01EW00126,A8530,84,,105,1,none,103,e62,purple,106,111,0,1
01EW00127,A8531,84,,106,1,none,111,e65,purple,121,135,0,1
01EW00128,A8532,84,,103,1,none,102,e63,purple,107,120,0,1
01EW00129,A8538,81,,106,1,none,94,e12,purple,93,110,0,1
01EW00130,A8539,81,,106,1,none,103,e13,purple,99,106,0,1
01EW00131,A8543,84,,116,1,none,103,e62,purple,109,120,0,1
01EW00132,A8546,81,,107,1,none,87,e14,purple,88,98,0,1
01EW00133,A8548,00,4TEATS,0,1,none,79,e64,purple,91,105,0,1
01EW00134,A8551,00,4TEATS,0,1,none,101,e65,purple,101,106,0,1
01EW00135,A8556,84,,97,1,none,83,e62,purple,73,81,0,1
01EW00136,A8559,84,,97,1,none,82,e64,purple,88,96,0,1
01EW00137,A8564,00,NICE,0,1,none,89,e66,purple,94,103,0,1
01EW00138,A8578,84,,120,1,none,100,e62,purple,102,113,0,1
01EW00139,A8580,83,,111,1,none,103,e13,purple,101,118,0,1
01EW00140,A8586,83,,99,1,none,88,e14,purple,94,102,0,1
01EW00141,A8589,00,"BRN.EARS,EYES",0,1,none,101,e62,purple,100,113,0,1
01EW00142,A8595,84,,90,1,none,90,e65,purple,95,103,0,1
01EW00143,A8597,84,,86,1,none,93,e65,purple,92,99,0,1
01EW00144,A8599,84,,97,1,none,91,e65,purple,95,101,0,1
01EW00145,A8600,84,,99,1,none,97,e65,purple,87,100,0,1
01EW00146,A8605,83,,100,1,none,78,e11,purple,71,86,0,0
01EW00147,A8609,84,HAIRY,80,1,none,75,e64,purple,75,80,0,1
01EW00148,A8616,81,,104,1,none,92,e11,purple,92,106,0,1
01EW00149,A8622,83,,101,1,none,86,e12,purple,90,104,0,1
01EW00150,A8623,83,,100,1,none,86,e13,purple,89,100,0,1
01EW00151,A8631,81,,113,1,none,105,e12,purple,108,122,0,1
01EW00152,A8642,83,,105,1,none,105,e14,purple,108,122,0,1
01EW00153,A8643,84,BLK.LR.LEG,105,1,none,88,e65,purple,77,80,0,0
01EW00154,A8649,84,,108,1,none,98,e64,purple,88,99,0,1
01EW00155,A8652,82,,71,1,none,75,e14,purple,72,80,0,1
01EW00156,A8655,83,,95,1,none,76,e11,purple,72,89,0,1
01EW00157,A8658,82,,102,1,none,105,e11,purple,98,110,0,1
01EW00158,A8659,82,,86,1,none,69,e12,purple,72,76,0,1
01EW00159,A8660,81,BUSH,98,1,none,98,e13,purple,94,105,0,1
01EW00160,A8662,82,,98,1,none,78,e13,purple,83,94,0,1
01EW00161,A8667,00,HAIRY,0,1,none,79,e63,purple,74,85,0,1
01EW00162,A8668,84,,88,1,none,81,e64,purple,76,83,0,1
01EW00163,A8670,83,,101,1,none,108,e12,purple,104,114,0,1
01EW00164,A8671,83,HAIRY,98,1,none,86,e13,purple,96,116,0,1
01EW00165,A8673,83,,103,1,none,97,e14,purple,104,110,0,1
01EW00166,A8677,84,WEAK,85,1,none,83,e65,purple,88,97,0,1
01EW00167,A8678,84,,98,1,none,81,e63,purple,80,85,0,1
01EW00168,A8679,84,,96,1,none,75,e63,purple,81,89,0,1
01EW00169,A8680,84,,91,1,none,86,e63,purple,84,87,0,1
01EW00170,A8682,83,,88,1,none,84,e11,purple,88,98,0,1
01EW00171,A8684,84,,82,1,none,80,e65,purple,76,83,0,1
01EW00172,A8685,84,,88,1,none,92,e65,purple,92,112,0,1
01EW00173,A8688,81,4TEATS,96,1,none,77,e14,purple,75,88,0,1
01EW00174,A8691,84,,106,1,none,88,e62,purple,90,98,0,1
01EW00175,A8692,84,,112,1,none,97,e62,purple,104,109,0,1
01EW00176,A8694,84,BRN.RF.FOOT,103,1,none,97,e66,purple,104,124,0,1
01EW00177,A8695,84,,102,1,none,92,e66,purple,85,96,0,1
01EW00178,A8696,82,TINY,94,1,none,77,e14,purple,89,99,0,1
01EW00179,A8699,83,NICE,92,1,none,84,e12,purple,90,108,0,0
01EW00180,A8702,81,,95,1,none,86,e11,purple,81,88,0,1
01EW00181,A8704,82,,99,1,none,105,e11,purple,102,114,0,1
01EW00182,A8713,81,,115,1,none,85,e12,purple,98,115,0,1
01EW00183,A8714,81,,116,1,none,97,e13,purple,103,123,0,1
01EW00184,A8716,83,,86,1,none,82,e13,purple,79,86,0,1
01EW00185,A8718,82,,94,1,none,75,e12,purple,81,92,0,1
01EW00186,A8722,81,,110,1,none,91,e14,purple,89,101,0,1
01EW00187,A8726,81,,101,1,none,98,e11,purple,90,98,0,0
01EW00188,A8730,84,,96,1,none,77,e66,purple,81,87,0,1
01EW00189,A8731,84,,102,1,none,85,e66,purple,96,113,0,1
01EW00190,A8738,82,4TEATS,114,1,none,85,e13,purple,86,92,0,1
