UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDAR,CLR,STM
20EW00587,Z7789,,.,1,119,e4,W,122,1015,138,1120,,,,1,1,Preg,,6,97
20EW00588,Z7794,,2ND,1,113,e5,W,140,1015,154,1120,,,,1-,1,Preg,,5,80
20EW00589,Z7796,A,.,1,116,e6,W,124,1015,145,1120,,,,1-,1,Preg,,6,97
20EW00590,Z7798,A,.,1,99,e1,W,101,1015,117,1120,,,,1-,1,Preg,,6,97
20EW00591,Z7800,,.,1,85,e2,W,92,1015,105,1120,,,,3,1,Preg,,1,07
20EW00592,Z7802,,.,1,89,e3,W,103,1015,112,1120,,,,3,1,Preg,,1,07
20EW00593,Z7805,,.,1,113,e4,W,122,1015,141,1120,,,,,,Open,2789,5,00
20EW00594,Z7816,,.,1,83,e5,W,94,1015,103,1120,,,,3,,Preg,,1,07
20EW00595,Z7817,,.,1,92,e6,W,100,1015,118,1120,,,,3,1,Preg,,1,07
20EW00596,Z7822,A,.,1,87,e1,W,97,1015,112,1120,,,,,,Open,2847,6,97
20EW00597,Z7828,A,.,1,92,e2,W,107,1015,121,1120,,,,1,1,Preg,,6,97
20EW00598,Z7832,,NICE LAMB,1,129,e3,W,141,1015,155,1120,,,,,,Open,2849,6,97
20EW00599,Z7838,,.,1,113,e4,W,128,1015,139,1120,,,,2+,1,Preg,,1,TC
20EW00600,Z7840,,.,1,105,e5,W,116,1015,131,1120,,,,3+,1,Preg,,1,07
20EW00601,Z7844,,.,1,90,e6,W,107,1015,121,1120,,,,1-,1,Preg,,6,97
20EW00602,Z7849,,.,1,109,e1,W,123,1015,131,1120,,,,2+,,Preg,,5,00
20EW00603,Z7850,,.,1,105,e2,W,120,1015,129,1120,,,,2+,1,Preg,,1,TC
20EW00604,Z7855,,.,1,106,e3,W,123,1015,142,1120,,,,1-,1,Preg,,6,97
20EW00605,Z7856,,.,1,98,e4,W,105,1015,121,1120,,,,2+,1,Preg,,5,SY
20EW00606,Z7857,,.,1,99,e5,W,106,1015,123,1120,,,,2-,1,Preg,,5,SY
20EW00607,Z7858,,.,1,89,e6,W,98,1015,107,1120,,,,1-,1,Preg,,5,SY
20EW00608,Z7872,A,.,1,87,e1,W,110,1015,118,1120,,,,1-,1,Preg,,6,97
