UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
88WN03084, 88806141,88,80,X6141,2,55,55,  9,2,1,4,2,1.0,1,1,9,100,118,5,62,55,414, 8, 3,10, 7, 42,,5,7,3,1,1,137,227,1103,93,,235,,0000,19,4380,80,,56,467,46,9,
88WN03085, 88806143,88,80,X6143,3,67,56,671,3,2,8,5,6.0,6,4,3,100,124,23,113,77,530, 8, 2, 8, 7, 57,,5,6,1,1,1,169,208,1101,97,,253,,3742,80,3242,94,,75,592,65,7,
88WN03086, 88806144,88,80,X6144,2,67,56,671,3,2,8,5,6.0,6,4,3,100,124,19,110,77,532,10, 2, 9, 6, 61,,6,7,3,1,1,152,208,1101,15,,267,,3742,80,3242,94,,75,574,65,6,76
88WN03087, 88806145,88,80,X6145,3,54,54,  9,2,1,3,2,1.0,1,1,3,100,124,7,65,78,577, 6, 4, 9, 7, 34,,4,5,1,1,1,144,227,1225,93,,,,0000,19,4810,80,,76,507,14,3,87
88WN03088, 88806146,88,80,X6146,3,54,54,  9,2,1,3,2,1.0,1,1,3,100,124,18,92,93,676, 8, 3, 7, 5, 47,,4,5,1,1,4,158,227,1225,93,,,,0000,19,4810,80,,90,618,14,3,106
88WN03089, 88806147,88,80,X6147,2,67,56,674,1,1,1,1,2.0,2,2,3,100,124,4,95,79,560, 6, 2, 8, 6, 58,,5,6,1,1,1,162,193,1092,,,,,3780,80,1013,80,,77,517,67,1,87
88WN03090, 88806149,88,80,X6149,2,59,59,  9,2,1,3,2,1.0,1,1,3,100,124,19,49,54,396, 8, 3,10, 8, 36,,5,6,1,1,1,120,198,1082,92,,266,,0000,19,3629,80,,52,398,65,2,66
88WN03091, 88806150,88,80,X6150,1,65,56,632,3,2,8,5,3.0,3,3,3,100,124,11,90,74,524,10, 2,10, 7, 41,205,4,5,1,1,1,134,240,1296,93,,,,2343,63,9926,94,,72,514,64,3,79
88WN03092, 88806151,88,80,X6151,1,65,56,632,3,2,8,5,3.0,3,3,3,100,124,12,102,72,498,11, 3, 9, 7, 44,181,5,6,1,1,1,125,240,1296,93,,,,2343,63,9926,94,,70,490,64,3,81
88WN03093, 88806152,88,80,X6152,3,65,56,632,3,1,7,2,3.0,3,3,6,100,118,12,90,78,585,,,,,,,,,,1,,0,240,1296,93,,,,2343,63,9926,94,,79,453,64,3,98
88WN03094, 88806153,88,80,X6153,2,67,56,671,1,1,1,1,2.0,2,2,3,100,124,22,101,87,620, 8, 2, 8, 5, 44,,4,5,2,1,1,152,176,1081,,,,,3742,80,0942,80,,85,604,65,1,94
