UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TRT,BAND
63WN01091,63,1,8020,4,72,852,5051,4,41,,5,3,79,139,1,2,,1,64,04,03,10,10,036,17,2,2,1,,1,41,6526,41,393,39,,71,3,3,,155,94,,4,3,5,2,,1
63WN01092,63,1,8021,4,72,872,3021,4,41,,1,5,79,139,1,1,,1,104,09,03,07,07,059,40,4,4,1,,1,41,6189,41,640,64,,71,3,0,,164,150,,4,4,1,1,,1
63WN01093,63,1,8024,4,18,182,3985,4,41,20,1,4,79,139,1,2,,1,103,08,04,09,07,051,39,3,3,1,,1,41,5274,41,663,66,15,18,1,3,,162,108,,4,4,1,1,,1
63WN01094,63,2,8025,4,04,042,4291,4,41,43,5,4,79,139,1,1,,1,51,14,03,09,12,046,40,3,4,2,,1,41,5849,41,318,31,32,04,1,8,3,114,68,,4,4,5,2,,1
63WN01095,63,2,8026,4,04,042,4291,4,41,43,5,4,79,139,1,1,,1,56,12,03,09,10,051,8,4,4,1,,1,41,5849,41,353,35,32,04,1,3,2,126,69,,4,4,5,2,,1
63WN01096,63,2,8027,4,18,182,3235,4,41,15,5,5,79,139,1,1,,1,88,09,03,07,06,050,16,3,4,2,,1,41,5274,41,555,55,10,18,1,5,,158,109,,4,4,5,2,,1
63WN01097,63,1,8028,4,18,182,3235,4,41,15,5,5,79,139,1,6,,1,82,10,03,08,08,053,29,4,5,2,,1,41,5274,41,514,51,10,18,1,4,3,150,106,,4,4,5,2,,1
63WN01098,63,1,8029,4,17,172,2948,4,41,17,1,5,79,139,1,1,,4,103,08,03,07,06,056,15,3,3,1,,1,41,5306,41,652,65,21,17,1,2,,164,124,,6,4,1,1,,1
63WN01099,63,1,8030,4,18,182,1658,4,41,26,1,6,79,139,1,1,,1,88,09,03,06,05,060,4,3,4,2,,1,41,5274,41,543,54,25,18,1,3,3,145,125,,4,4,1,1,,1
63WN01100,63,1,8032,4,70,712,5967,4,41,,1,2,79,139,1,1,,1,89,11,03,08,08,054,33,3,3,1,,1,41,6164,41,548,54,,70,2,8,3,146,128,,4,2,1,1,,1
63WN01101,63,2,8033,4,03,032,6073,4,41,35,1,2,79,139,1,1,,1,74,07,03,08,08,051,2,4,5,2,,1,41,6603,41,481,48,23,03,1,1,,157,72,,4,2,1,1,,1
63WN01102,63,1,8034,4,10,102,3670,4,41,14,5,4,79,139,1,2,,2,93,06,03,08,09,049,40,3,4,2,,1,41,3944,41,590,59,10,10,1,0,,181,110,,5,4,5,2,,1
63WN01103,63,1,8035,4,10,102,3670,4,41,14,5,4,79,139,1,1,,2,92,09,03,08,07,054,4,3,4,2,,1,41,3944,41,578,57,10,10,1,8,,162,116,,5,4,5,2,,1
63WN01104,63,2,8036,4,11,112,5995,4,41,19,3,2,79,139,3,1,,2,88,09,03,08,08,048,30,2,3,2,,1,41,6599,41,558,55,16,11,1,8,,160,104,,5,2,3,3,,1
63WN01105,63,2,8038,4,70,722,5789,4,41,,1,2,81,141,1,1,,1,94,08,03,06,07,054,2,3,3,1,,1,41,4975,41,572,57,,70,2,2,,169,134,,4,2,1,1,,4
63WN01106,63,2,8039,4,10,102,6611,4,41,23,1,2,79,139,1,1,,1,90,08,03,06,05,060,40,4,5,2,,1,41,3944,41,583,58,13,10,1,3,3,166,90,,4,2,1,1,,1
63WN01107,63,1,8040,4,07,072,3953,4,41,31,5,4,79,139,1,2,,1,83,08,03,09,08,049,36,3,4,2,,1,41,6782,41,518,51,28,07,1,8,,161,110,,4,4,5,2,,1
63WN01108,63,2,8041,4,07,072,3953,4,41,31,5,4,79,139,1,1,,1,70,09,03,08,08,050,15,3,4,2,,1,41,6782,41,432,43,28,07,1,2,2,147,100,,4,4,5,2,,1
