UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
73WN02782,73909216,73,2,9216,9,98,19,1195,42,4,,5,7,53,113,1,1,55,1,68,06,03,08,07,036,1,3,4,2,,2,90,0062,95,527,52,,78,8,7,2,156,84,,,5,2,
73WN02783,73909217,73,2,9217,9,97,02,5589,18,1,,5,2,54,114,1,1,51,1,59,09,03,08,10,036,2,5,6,2,,8,90,0009,95,435,43,,78,8,5,3,147,94,,,2,2,
73WN02784,73909218,73,1,9218,9,97,02,5589,18,1,,5,2,54,114,2,6,51,1,61,06,03,11,12,034,3,4,5,2,,8,90,0009,95,456,45,,78,8,6,3,163,90,,3,2,2,
73WN02785,73909220,73,2,9220,9,97,07,5386,18,1,,1,2,54,114,1,1,51,1,74,06,03,08,08,041,23,3,4,2,,8,90,0014,95,553,55,,78,8,3,3,,110,,,2,1,
73WN02786,73909221,73,2,9221,9,97,04,4129,18,1,,1,3,53,113,1,1,51,1,63,03,03,10,10,036,16,2,3,2,,8,90,0011,95,460,46,,77,8,0,2,165,110,,,3,1,
73WN02787,73909222,73,1,9222,9,97,06,3753,18,1,,5,4,54,114,1,7,51,2,83,06,03,10,10,040,3,3,4,2,,8,90,0013,95,609,60,,77,8,9,3,179,136,,6,4,2,
73WN02788,73909223,73,1,9223,9,97,06,3753,18,1,,5,4,54,114,1,7,51,1,52,05,03,12,11,034,13,3,4,2,,8,90,0013,95,365,36,,77,8,5,3,152,104,,3,4,2,
73WN02789,73909224,73,2,9224,9,97,16,3471,18,1,,1,4,54,114,1,1,54,1,78,04,03,07,06,037,10,3,5,3,,8,90,0046,95,600,60,,78,8,0,3,166,96,,,4,1,
73WN02790,73909226,73,2,9226,9,97,03,3573,18,1,,3,4,54,114,1,1,51,1,66,04,03,09,08,040,24,4,5,2,,8,90,0010,95,495,49,,77,8,5,3,172,96,,,4,3,
73WN02791,73909227,73,2,9227,9,98,22,5269,42,4,,5,3,54,114,1,1,55,2,62,04,03,09,08,050,24,4,4,1,,2,90,0065,95,442,44,,77,8,2,3,179,116,,,3,2,
