UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
01WN01639,101112903,01,R2903,11,2,10,07,23,5,1,1,4.0,4,4,1,106,218,112,11,13.8,64,85,0.636,90,1,1,,,0,M,.,e.2,4TEATS,R0529,11,S8896,10,10,1,,0,1,1,103,1.61,96.1,1,99,0,,0,0,,,0.027,0.0,,,,,,0.0873,Wool
01WN01640,101112904,01,R2904,11,1,12,43,89,8,2,2,4.0,4,4,1,106,218,112,15,13.8,55,75,0.546,79,1,1,6,,0,C,.,,H6,R0886,11,S8469,10,12,3,93,243,5,4,102,1.74,122.1,3,81,0,,0,0,,,0.033,0.0,,,,,,0.0513,X
01WN01641,101112905,01,R2905,11,1,12,43,89,8,2,2,4.0,4,4,1,106,218,112,1,11.4,53,71,0.532,75,1,1,,,0,C,.,,,R0886,11,S8469,10,12,3,93,243,5,6,99,1.74,122.1,3,69,0,,0,0,,,0.033,0.0,,,,,,0.0513,X
01WN01642,101112906,01,R2906,11,3,11,07,14,9,3,1,3.0,3,3,8,106,,,0,8.6,0,0,,0,1,1,,,0,R,.,,,R0248,11,S9099,10,11,7,97,249,6,2,0,2.01,119.6,7,0,0,,0,0,,,0.08,0.0,,,,,,0.0,
01WN01643,101112907,01,R2907,11,1,11,07,14,9,3,2,3.0,3,3,1,106,218,112,18,12.5,64,87,0.665,92,1,1,,,0,R,.,,,R0248,11,S9099,10,11,3,93,243,8,3,107,2.01,119.6,3,101,0,,0,0,,,0.08,0.0,,,,,,0.0,X
01WN01644,101112908,01,R2908,11,2,11,07,14,9,3,2,3.0,3,3,1,106,218,112,18,9.1,49,70,0.544,74,1,1,,,0,R,27,,,R0248,11,S9099,10,11,2,92,263,8,7,98,2.01,119.6,2,83,86,,0,0,,,0.08,0.0,,,,,,0.0,Sale
01WN01645,101112910,01,R2910,11,2,11,07,11,8,2,1,5.0,5,4,1,106,218,112,16,10.5,64,84,0.656,89,1,1,,,0,R,.,e.3,.124 inbr,R0831,11,S7157,10,11,1,,0,3,2,108,1.72,112.7,1,98,0,,0,0,,,0.124,0.0,,,,,,0.2481,Sage
01WN01646,101112911,01,R2911,11,1,13,07,31,8,2,1,3.0,3,3,1,106,218,112,16,12.0,54,74,0.554,78,1,1,,,0,F,.,,,R0127,11,S9124,10,13,3,93,243,3,2,90,1.72,98.2,3,84,0,,0,0,,,0.026,0.0,,,,,,0.0,X
01WN01647,101112912,01,R2912,11,2,13,07,31,8,2,1,3.0,3,3,8,106,,,0,9.4,0,0,,0,1,1,,,0,F,.,,X,R0127,11,S9124,10,13,3,93,262,4,2,0,1.72,98.2,3,49,0,,0,0,,,0.026,0.0,,,,,,0.0,Wool
01WN01648,101112913,01,R2913,11,3,12,07,87,9,3,1,6.0,6,4,8,107,,,0,9.2,0,0,,0,1,1,,,0,C,.,,,R0532,11,S5524,10,12,3,93,262,6,2,0,2.24,123.0,3,45,0,,0,0,,,0.029,0.0,,,,,,0.0213,
