UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN03277, 83944904,83,94,4904,1,65,56,631,3,1,7,2, 40,4,4,1,96,131,12,94,99,684, 6, 3, 8, 7, 52,296,6,7,1,1,2,173,258,1319,93,,  0,,9531,62,7483,93,8,91,597,64,3,109,0,
83WN03278, 83944905,83,94,4905,1,16,51,163,2,2,5,5, 40,4,4,1,96,131,1,94,79,531, 5, 3,10, 8, 51,262,6,7,2,1,6,164,195,1173,93,,  0,,3592,94,7948,93,8,73,481,14,3,93,0,
83WN03279, 83944906,83,94,4906,1,16,51,163,2,2,5,5, 40,4,4,1,96,131,17,95,83,561, 3, 3, 9, 8, 58,282,6,7,1,1,1,184,195,1173,93,,  0,,3592,94,7948,93,8,77,519,14,3,95,0,
83WN03280, 83944907,83,94,4907,3,46,52,462,1,1,1,1, 20,2,2,1,96,131,4,94,97,669, 5, 3, 9, 7, 49,  0,3,6,2,1,1,178,193,976,93,,  0,,4153,94,0939,94,8,90,620,46,3,0,0,
83WN03281, 83944908,83,94,4908,1,14,51,001,2,1,3,2, 60,6,4,2,96,133,22,100,102,692, 5, 3, 7, 6, 49,290,5,7,2,1,2,180,160,1038,93,,  0,,4514,95,0586,19,8,93,622,11,3,109,0,
83WN03282, 83944909,83,94,4909,1,14,51,001,2,1,4,2, 60,6,4,9,96,128,23,93,77,529, 7, 3,10, 9, 33,235,5,7,3,1,2,0,160,1038,01,,290,,4514,95,0586,19,8,73,501,11,6,71,0,
83WN03283, 83944910,83,94,4910,1,47,55,472,3,2,8,5, 50,5,4,2,96,133,18,102,81,532, 7, 3, 9, 9, 45,231,5,7,2,1,1,158,198,966,93,,  0,,4256,94,5773,93,8,74,502,47,3,85,0,
83WN03284, 83944911,83,94,4911,2,47,55,472,3,1,6,2, 50,5,4,9,96,128,25,62,64,452, 7, 4, 9, 8, 42,  0,5,7,1,1,1,0,198,966,92,,  0,,4256,94,5773,93,8,60,489,47,2,67,71,079
83WN03285, 83944912,83,94,4912,1,47,55,472,3,1,7,2, 50,5,4,1,96,131,18,91,102,709, 5, 3, 7, 7, 48,310,6,7,1,1,1,179,198,966,93,,  0,,4256,94,5773,93,8,94,625,47,3,106,0,
83WN03286, 83944914,83,94,4914,2,30,30,,2,2,5,5, 10,1,1,2,96,133,18,63,57,381, 5, 3,10, 8, 54,  0,6,8,1,1,1,152,197,1140,92,,  0,,0000,02,3110,02,4,52,437,70,2,61,68,030
