UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
11WN00137,2011829912,11,X9912,82,1,,C3,2,8,2,2,4.0,4,4,1,77,199,122,0,12.4,,83,0.579,82,2,1,,,0,.,Mat,,NICE LAMB,X7486,82,K4060,64,6M,3,93,230,5,5,,,,,95,,,0.0,,,0
11WN00138,2011829913,11,X9913,82,1,,C3,2,8,2,2,4.0,4,4,1,77,199,122,0,14.4,,92,0.636,91,2,1,,,0,.,Mat,,NICE LAMB,X7486,82,K4060,64,6M,1,,0,5,4,,,,,105,,,0.0,,,0
11WN00139,2011453587,11,T3587,45,2,,02,33,5,1,1,3.0,3,3,1,77,199,122,0,12.3,,61,0.399,60,1,1,,,7,.,.,,.,T2482,45,T1919,45,48,1,,0,1,1,,,,,85,,,0.047,,,0
11WN00140,2011700297,11,L0297,70,2,,PC,3,8,2,1,4.0,4,4,1,77,199,122,0,13.3,,99,0.702,98,5,1,,,0,.,STC,e13,4T.NICE,X7894,82,X4847,82,00,1,,0,3,2,,,,,122,,,0.0,,,0
11WN00141,2011829914,11,X9914,82,2,,SC,23,5,1,1,3.0,3,3,1,77,199,122,0,14.9,,73,0.476,72,5,6,,,0,.,Mat,,Jaw 6 Cull,X5140,82,K4191,64,6M,3,93,272,1,1,,,,,98,,,0.0,,,0
11WN00142,2011453591,11,T3591,45,3,,02,29,8,2,1,3.0,3,3,1,77,199,122,0,11.1,,72,0.499,71,1,1,,,7,.,.,,.,T1926,45,T2153,45,48,3,93,272,3,2,,,,,84,,,0.024,,,0
11WN00143,2011829915,11,X9915,82,2,,CM,8,5,1,1,2.0,2,2,1,77,199,122,0,13.8,,83,0.567,82,1,1,,,0,.,.,e6,NICE LAMB,X7419,82,K4482,64,.,1,,0,1,1,,,,,109,,,0.025,,,0
11WN00144,2011829917,11,X9917,82,2,,CM,7,8,2,1,6.0,6,4,1,77,199,122,0,8.5,,56,0.389,55,1,1,,,0,.,Ter,e6,.,X7321,82,K3387,64,6T,1,,0,3,2,,,,,78,,,0.011,,,0
11WN00145,2011700299,11,L0299,70,1,,PC,13,8,2,2,3.0,3,3,1,77,199,122,0,8.6,,79,0.577,78,5,1,,,0,.,STx,,4TEATS,X7353,82,X6520,82,99,3,93,230,5,5,,,,,87,,,0.006,,,0
11WN00146,2011700300,11,L0300,70,1,,PC,13,8,2,2,3.0,3,3,1,77,199,122,0,9.3,,75,0.539,74,5,1,,,0,.,STx,,.,X7353,82,X6520,82,99,3,93,230,5,5,,,,,84,,,0.006,,,0
