UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
53WN00757,53,1,7136,3,70,740,5500,3,17,,1,6,78,138,1,5,07,1,82,09,03,08,08,035,14,2,2,1,37,2,3,,513,04, 5,17,1,1,,2,5,1,141,112,,3,10,0,4
53WN00758,53,1,7137,3,70,740,6804,3,17,,1,2,77,137,1,4,07,1,61,09,03,07,13,042,9,2,2,1,25,3,3,,369,05, 3,17,1,1,,2,1,1,144,104,,3,10,0,2
53WN00759,53,1,7138,3,71,720,6101,3,17,,1,4,77,137,1,7,07,1,87,12,03,07,08,041,11,2,2,1,25,1,2,,565,05, 5,17,1,1,,2,3,1,135,96,,1,,0,4
53WN00760,53,1,7139,3,71,730,6755,3,17,,5,2,77,137,1,4,09,1,69,10,03,10,12,025,13,2,2,1,39,2,2,,436,05, 4,17,5,2,,2,2,1,142,92,,1,,0,2
53WN00761,53,2,7140,3,71,730,6755,3,17,,5,2,77,137,1,1,06,1,61,08,03,10,13,033,12,1,1,1,30,2,2,1,377,05, 3,17,5,2,,2,,1,156,94,,1,,0,2
53WN00762,53,1,7141,3,62,581,6496,3,17,,1,3,77,137,1,7,07,1,106,14,03,07,08,037,10,2,2,1,26,2,2,,693,05,,17,1,1,,5,4,1,142,110,,3,10,0,3
53WN00763,53,2,7142,3,65,611,6807,3,17,,1,2,76,136,1,3,06,1,90,10,05,05,06,037,12,2,2,1,30,2,2,1,588,06,,17,1,1,,5,,1,142,100,,1,,0,2
53WN00764,53,2,7143,3,65,651,6621,3,17,,1,2,76,136,1,1,09,1,77,09,03,06,08,033,12,1,2,2,29,2,3,1,491,06,,17,1,1,,5,,1,144,102,,1,,0,2
53WN00765,53,2,7144,3,65,641,6759,3,17,,1,2,76,136,1,1,05,1,78,10,05,07,06,036,12,2,2,1,30,3,3,1,496,06,,17,1,1,,5,,1,130,106,,1,,0,2
53WN00766,53,2,7145,3,62,691,6259,3,17,,1,3,76,136,1,1,05,1,92,09,05,06,06,038,11,2,2,1,25,3,4,1,585,06,,17,1,1,,5,,1,144,124,,1,,0,3
53WN00767,53,2,7146,3,71,720,6530,3,17,,1,2,75,135,1,3,05,1,79,09,05,06,07,037,12,2,3,2,26,2,2,1,508,07, 5,17,1,1,,2,,1,139,104,,1,,0,2
53WN00768,53,1,7147,3,70,710,5674,3,17,,3,5,75,135,1,7,07,2,108,12,03,07,06,037,12,2,2,1,37,2,3,,733,07, 7,17,3,3,,2,5,1,154,90,,3,10,0,4
53WN00769,53,2,7148,3,65,611,6677,3,17,,1,2,75,135,1,3,06,1,63,12,03,06,09,034,13,2,2,1,25,2,3,1,399,07,,17,1,1,,5,,1,119,92,,1,,0,2
53WN00770,53,2,7149,3,70,710,6747,3,17,,1,2,75,135,1,4,08,1,87,09,03,05,07,039,12,2,2,1,24,2,3,2,563,07, 5,17,1,1,,2,,1,156,110,,1,,0,2
53WN00771,53,1,7150,3,65,601,6597,3,17,,1,2,75,135,1,7,07,1,76,09,03,07,09,042,13,2,2,1,30,5,2,,484,07,,17,1,1,,5,1,1,149,106,,3,10,0,2
53WN00772,53,2,7151,3,63,640,9943,2,13,,1,4,75,135,1,1,05,1,75,13,03,07,06,037,12,2,2,1,22,2,2,,486,07,03,17,1,1,,6,,1,114,94,,2,10,0,4
53WN00773,53,1,7152,3,62,581,5779,3,17,,1,5,75,135,1,5,07,1,92,14,03,06,07,033,12,2,3,2,26,2,2,,593,07,,17,1,1,,5,3,1,123,120,,3,10,0,4
