UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00057,104050817,04,H0817,05,1,83,30,04P,8,2,2,2.0,2,2,1,91,216,125,3,7.6,0,93,0.683,90,1,1,,,0,W,.,,,A9232,04,A9091,04,84,1,04,254,5,6,104,2.07,142.8,1,103,,,0.053,
04WN00058,104050821,04,H0821,05,2,82,30,16P,9,3,2,3.0,3,3,1,91,216,125,6,8.1,0,70,0.495,68,1,1,,,0,C,  3,,PNEU.,A9442,04,A8326,04,84,2,92,267,8,5,98,2.31,141.4,2,81,83,,0.047,
04WN00059,104050822,04,H0822,05,2,82,30,16P,9,3,2,3.0,3,3,1,91,216,125,3,7.8,0,66,0.466,64,1,1,,,0,C,  3,,,A9442,04,A8326,04,84,2,92,267,8,5,96,2.31,141.4,2,79,81,,0.047,
04WN00060,104050823,04,H0823,05,3,88,30,e10,5,1,1,1.0,1,1,1,91,216,125,2,11.0,0,94,0.664,91,1,1,,,0,M,.,,PNEU.,A9588,04,H0643,05,88,3,93,275,1,1,0,2.12,129.2,3,101,,,0.049,
04WN00061,104050824,04,H0824,05,2,82,30,14P,8,2,2,2.0,2,2,1,91,216,125,4,7.7,0,77,0.554,74,1,1,,,0,C,.,e12,,A9963,04,A9899,04,81,1,,,5,5,99,2.07,136.8,1,92,94,,0.067,
04WN00062,104050825,04,H0825,05,2,82,30,14P,8,2,2,2.0,2,2,1,91,216,125,16,9.0,0,77,0.544,74,1,1,,,0,C,.,e11,,A9963,04,A9899,04,81,1,,,5,5,99,2.07,136.8,1,92,93,,0.067,
04WN00063,104050826,04,H0826,05,3,83,30,02P,5,1,1,2.0,2,2,1,91,216,125,2,10.6,0,101,0.723,97,1,1,,,0,W,.,,,A8647,04,A9458,04,84,3,93,275,1,1,0,2.07,121.8,3,114,,,0.047,
04WN00064,104050827,04,H0827,05,2,83,30,01P,9,3,2,2.0,2,2,1,91,216,125,23,8.1,0,74,0.527,71,1,1,,,0,W,  1,,,A7284,04,A9597,04,81,2,92,267,8,4,101,2.41,144.7,2,90,90,,0.063,
04WN00065,104050828,04,H0828,05,1,83,30,01P,9,3,2,2.0,2,2,1,91,216,125,19,6.5,0,80,0.588,77,1,1,,,0,W,.,,,A7284,04,A9597,04,81,3,93,259,8,6,99,2.41,144.7,3,98,,,0.063,
04WN00066,104050830,04,H0830,05,1,83,30,02P,8,2,2,2.0,2,2,1,91,216,125,21,11.1,0,71,0.479,69,1,1,,,0,W,.,,,A8647,04,P0247,05,83,3,93,259,5,5,99,2.24,153.7,3,94,,,0.033,
04WN00067,104050831,04,H0831,05,1,83,30,02P,8,2,2,2.0,2,2,1,91,216,125,7,11.3,0,103,0.734,99,1,1,,,0,W,.,,,A8647,04,P0247,05,83,1,04,254,5,5,113,2.24,153.7,1,120,,,0.033,
04WN00068,104050833,04,H0833,05,2,83,30,04P,8,2,1,3.0,3,3,1,91,216,125,17,8.9,0,78,0.553,75,1,1,,,0,W,.,e11,,A9232,04,A8394,04,82,1,,,3,2,93,2.03,122.0,1,91,90,,0.047,
04WN00069,104050834,04,H0834,05,2,82,30,23P,8,2,2,2.0,2,2,1,91,216,125,3,9.5,0,83,0.588,80,1,1,,,0,C,.,e11,,A9122,04,P0151,05,81,1,,,5,5,102,2.07,137.3,1,96,94,,0.058,
04WN00070,104050835,04,H0835,05,1,82,30,23P,8,2,2,2.0,2,2,1,91,216,125,6,9.4,0,84,0.597,81,1,1,,,0,C,.,,PNEU.,A9122,04,P0151,05,81,3,04,254,5,5,97,2.07,137.3,3,103,,,0.058,
04WN00071,104050838,04,H0838,05,2,83,30,01P,9,3,2,5.5,5,4,1,91,216,125,1,9.5,0,88,0.628,85,1,1,,,0,W,.,,X,A7284,04,A5836,04,73,3,93,275,8,5,108,2.48,144.4,3,102,,,0.037,
04WN00072,104050839,04,H0839,05,3,83,30,01P,9,3,2,5.5,5,4,1,91,216,125,22,10.3,0,87,0.614,84,1,1,,,0,W,.,,HAIRY,A7284,04,A5836,04,73,3,93,275,8,5,0,2.48,144.4,3,108,,,0.037,
04WN00073,104050840,04,H0840,05,2,83,30,01P,9,3,1,5.5,5,4,1,91,216,125,12,8.9,0,72,0.505,69,1,1,,,0,W,  6,,,A7284,04,A5836,04,73,2,92,267,7,2,100,2.48,144.4,2,87,86,,0.037,
04WN00074,104050841,04,H0841,05,1,83,30,02P,8,2,2,5.0,5,4,1,91,216,125,12,10.5,0,87,0.612,84,1,1,,,0,W,.,,"HAIRY, X",A8647,04,A6498,04,82,3,93,259,5,4,96,1.93,132.0,3,92,,,0.053,
04WN00075,104050842,04,H0842,05,2,83,30,02P,8,2,2,5.0,5,4,1,91,216,125,5,8.5,0,71,0.5,69,1,1,,,0,W,  5,,,A8647,04,A6498,04,82,2,92,267,5,6,94,1.93,132.0,2,83,85,,0.053,
