UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4953,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM_25,TBRE,CTBR,C79,C80
58WN00759,58,2,9204,3,65,550,7437,3,17,,4,5,81,141,1,3,04,2,75,10,03,07,08,044,11,2,2,1,,4377,1,,475,47,17,62,5,5,1,136,80,,,4,3,3,0,
58WN00760,58,1,9205,3,65,550,7437,3,17,,3,5,81,141,1,7,09,1,81,12,04,09,08,039,13,2,2,1,,4377,1,,511,51,17,62,5,1,1,121,90,,3,4,3,3,0,
58WN00761,58,2,9206,3,70,710,8746,3,17,,1,2,80,140,1,1,07,1,74,09,04,08,10,038,10,2,2,1,,7166,3,,467,46,17,70,2,7,1,140,86,,,2,1,1,0,
58WN00762,58,2,9208,3,70,730,7598,3,17,,1,4,80,140,1,3,09,2,85,10,04,09,08,038,16,2,2,1,,8959,3,,550,55,17,70,2,0,1,136,80,,,4,1,1,0,
58WN00763,58,1,9209,3,70,720,8498,3,17,,1,2,80,140,1,4,08,4,82,09,03,09,10,036,16,1,2,2,,8431,3,,521,52,17,70,2,1,1,146,90,,,2,1,1,0,
58WN00764,58,1,9210,3,72,825,8519,3,17,,1,2,80,140,1,5,10,1,83,12,03,10,10,035,12,1,2,2,,8603,3,,521,52,17,72,3,1,1,132,100,,,2,1,1,0,
58WN00765,58,2,9211,3,70,740,8480,3,17,,5,2,80,140,1,1,08,1,62,09,03,10,09,049,4,3,4,2,,8936,3,,387,38,17,70,2,7,1,147,78,,,2,5,2,0,
58WN00766,58,1,9212,3,70,740,8480,3,17,,5,2,80,140,2,2,09,2,63,10,03,12,10,037,13,2,2,1,,8936,3,,400,40,17,70,2,0,1,133,70,,3,2,5,2,0,
58WN00767,58,1,9213,3,66,580,7551,3,17,,5,4,80,140,1,7,07,1,78,11,03,08,09,036,13,2,2,1,,4645,1,,480,48,17,65,5,0,1,135,108,,3,4,5,2,0,
58WN00768,58,1,9214,3,66,580,7551,3,17,,5,4,80,140,1,4,08,4,72,11,03,09,09,044,14,3,4,2,,4645,1,,450,45,17,65,5,0,1,135,90,,3,4,5,2,0,
58WN00769,58,1,9215,3,70,710,8154,3,17,,5,3,80,140,1,4,10,1,67,10,03,09,10,038,16,2,2,1,,7166,3,,427,42,17,70,2,7,1,133,72,,3,3,5,2,0,
58WN00770,58,1,9216,3,70,710,8154,3,17,,5,3,80,140,1,4,09,3,56,08,03,11,11,035,16,2,2,1,,7166,3,,346,34,17,70,2,6,1,133,76,,3,3,5,2,0,
58WN00771,58,1,9217,3,70,710,8631,3,17,,1,2,80,140,1,3,08,2,69,09,03,09,11,044,14,2,3,2,,7166,3,,413,41,17,70,2,3,1,142,112,,3,2,1,1,0,
58WN00772,58,1,9218,3,72,825,6928,3,17,,5,6,80,140,1,2,08,6,51,10,03,12,11,029,11,1,2,2,,8603,3,,311,31,17,71,3,1,1,114,74,,,4,5,2,0,
58WN00773,58,2,9219,3,72,825,6928,3,17,,5,6,80,140,1,1,06,1,47,09,03,13,13,032,13,2,3,2,,8603,3,,283,28,17,71,3,3,1,127,74,,,4,5,2,0,
58WN00774,58,1,9220,3,72,885,7879,3,17,,5,4,80,140,1,7,09,4,58,11,04,13,11,033,14,1,2,2,,8636,3,,360,36,17,71,3,0,1,115,76,,,4,5,2,0,
58WN00775,58,2,9221,3,72,885,7879,3,17,,5,4,80,140,1,4,09,1,72,11,04,09,09,038,16,2,2,1,,8636,3,,446,44,17,71,3,6,1,131,96,,,4,5,2,0,
58WN00776,58,1,9222,3,70,710,7129,3,17,,5,6,80,140,1,4,11,2,70,09,03,10,09,034,16,2,2,1,,7166,3,,423,42,17,70,2,3,1,136,108,,3,4,5,2,0,
58WN00777,58,1,9223,3,70,710,7129,3,17,,5,6,80,140,1,2,10,1,71,10,03,11,11,031,14,1,2,2,,7166,3,,436,43,17,70,2,6,1,135,100,,6,4,5,2,0,
58WN00778,58,1,9224,3,72,875,7655,3,17,,1,4,80,140,1,5,08,2,87,09,04,08,10,039,13,2,2,1,,8441,3,,527,52,17,71,3,7,1,145,132,,,4,1,1,0,
58WN00779,58,2,9225,3,70,720,8261,3,17,,1,3,80,140,1,1,09,2,84,09,03,08,07,041,14,2,2,1,,8431,3,,530,53,17,70,2,0,1,143,98,,,3,1,1,0,
58WN00780,58,1,9226,3,70,730,6934,3,17,,1,6,80,140,1,4,07,1,92,10,04,09,10,036,14,2,2,1,,8959,3,,563,56,17,70,2,3,1,143,132,,,4,1,1,0,
58WN00781,58,2,9227,3,72,845,7465,3,17,,1,5,80,140,1,3,06,1,79,11,03,06,07,050,11,2,3,2,,8719,3,,483,48,17,71,3,3,1,134,114,,,4,1,1,0,
58WN00782,58,1,9228,3,70,730,8679,3,17,,1,2,80,140,1,4,06,2,82,09,04,09,09,032,12,2,2,1,,8959,3,,516,51,17,70,2,6,1,137,98,,3,2,1,1,0,
58WN00783,58,2,9229,3,72,909,8629,3,17,,1,2,79,139,1,3,07,2,66,10,03,09,09,047,13,2,3,2,,8324,3,,404,40,17,72,3,4,1,135,98,,,2,1,1,0,
58WN00784,58,1,9230,3,70,710,7823,3,17,,1,4,79,139,1,5,05,1,78,11,06,07,09,038,12,2,2,1,,7166,3,,472,47,17,70,2,2,1,116,124,,3,4,1,1,0,
58WN00785,58,2,9231,3,72,855,7523,3,17,,3,5,79,139,1,3,09,2,92,10,03,07,09,037,16,2,2,1,,8370,3,,581,58,17,71,3,1,1,152,112,,,4,3,3,0,
58WN00786,58,1,9232,3,72,855,7523,3,17,,4,5,79,139,1,7,09,4,99,09,04,08,09,031,18,2,2,1,,8370,3,,639,63,17,71,3,9,1,152,102,,,4,3,3,0,
58WN00787,58,2,9233,3,72,835,7660,3,17,,1,4,79,139,1,1,09,2,85,09,03,08,09,043,14,4,4,1,,8576,3,,525,52,17,71,3,5,1,151,120,,,4,1,1,0,
58WN00788,58,2,9234,3,66,700,7925,3,17,,1,4,79,139,1,1,04,2,93,10,03,08,08,043,13,2,2,1,,3083,2,,586,58,17,65,5,6,1,152,116,,,4,1,1,0,
58WN00789,58,1,9236,3,70,740,7701,3,17,,3,4,79,139,1,7,06,4,85,11,03,08,09,038,16,2,2,1,,8936,3,,544,54,17,70,2,4,1,136,94,,3,4,3,3,0,
58WN00790,58,1,9237,3,72,845,7146,3,17,,3,5,79,139,1,2,09,2,69,13,03,08,09,043,11,2,2,1,,8719,3,,414,41,17,71,3,4,1,114,114,,,4,3,3,0,
58WN00791,58,2,9238,3,65,640,7814,3,17,,1,4,79,139,1,1,05,1,79,12,04,08,06,042,14,2,2,1,,3387,2,,495,49,17,62,5,5,1,118,102,,2,4,1,1,0,
58WN00792,58,2,9239,3,72,959,7816,3,17,,1,4,79,139,1,1,07,1,95,10,12,08,07,041,11,2,2,1,,8757,3,,591,59,17,71,3,1,1,117,128,,,4,1,1,0,
