UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00192,79192345,79,2,2345,19,1,11,112,0356,,1,3,3,68,128,1,3,,3,83,11,03,08,07,042,10,4,5,144,9,19,1172,19,545,827,6,3,141,132,,3,1,,1,1
79WN00193,79192346,79,1,2346,19,1,10,103,7977,188,5,6,6,67,127,1,1,,1,78,09,03,09,08,042,15,3,4,155,9,18,0435,19,522,923,2,2,152,117,,4,5,,2,2
79WN00194,79192347,79,1,2347,19,1,10,103,7977,178,5,6,6,67,127,1,7,,1,70,08,03,10,09,043,7,4,4,155,9,18,0435,19,456,923,2,2,152,121,93,4,5,,2,2
79WN00195,79192348,79,1,2348,19,1,13,132,0150,131,5,3,3,67,127,1,3,,3,67,06,03,11,11,030,3,5,5,161,9,19,1178,19,435,926,6,2,158,118,93,3,5,,2,2
79WN00196,79192349,79,1,2349,19,1,13,132,0150,194,5,3,3,67,127,1,4,,4,76,08,03,09,07,042,3,3,5,161,9,19,1178,19,507,926,6,2,155,116,,3,5,,2,2
79WN00197,79192350,79,2,2350,19,1,10,102,7948,,5,6,6,67,127,1,1,,1,51,05,03,12,10,034,13,3,4,155,9,18,0464,19,346,826,2,2,144,70,92,4,7,,2,2
79WN00198,79192351,79,2,2351,19,1,10,102,7948,,5,6,6,67,127,1,1,,2,53,10,03,11,10,033,13,3,4,155,9,18,0464,19,339,826,2,2,123,99,92,4,3,,2,2
79WN00199,79192352,79,2,2352,19,1,13,134,8366,,1,5,5,67,127,1,1,,2,77,08,03,08,07,041,18,1,3,144,9,18,1188,19,508,695,6,2,141,125,,4,1,,1,1
79WN00200,79192355,79,1,2355,19,1,13,133,0151,163,5,3,3,66,126,1,4,,2,68,08,03,10,09,036,6,2,3,161,9,19,1149,19,463,755,6,2,148,96,,3,5,,2,2
79WN00201,79192356,79,1,2356,19,1,13,133,0151,189,5,3,3,66,126,1,2,,1,67,07,03,10,09,034,17,2,4,161,9,19,1149,19,448,755,6,2,152,105,,3,5,,2,2
79WN00202,79192357,79,1,2357,19,1,13,134,5581,129,5,8,8,66,126,1,3,,2,60,08,03,11,11,034,4,2,3,188,9,18,1188,19,405,1079,6,2,154,90,93,5,6,,2,2
79WN00203,79192358,79,2,2358,19,1,13,134,5581,,5,8,8,66,126,1,1,,2,61,08,03,11,08,032,16,2,3,188,9,18,1188,19,394,1079,6,2,127,113,92,5,4,,2,2
79WN00204,79192359,79,2,2359,19,1,10,104,0807,,5,2,2,66,126,1,1,,1,64,05,03,09,09,035,14,3,4,164,9,19,0421,19,440,890,2,2,155,86,,2,5,,2,2
79WN00205,79192360,79,1,2360,19,1,10,104,0807,120,5,2,2,66,126,1,1,,3,51,08,03,11,09,032,9,3,5,164,9,19,0421,19,344,890,2,2,127,77,,2,5,,2,2
79WN00206,79192361,79,2,2361,19,1,13,134,1081,,1,2,2,66,126,1,1,,1,71,09,03,09,08,042,12,3,4,154,9,19,1188,19,469,810,6,2,135,119,,2,1,,1,1
79WN00207,79192362,79,1,2362,19,1,10,102,1064,115,1,2,2,66,126,1,1,,2,67,07,03,11,09,053,13,3,4,154,9,19,0464,19,461,786,2,2,146,89,93,2,1,,1,1
79WN00208,79192366,79,1,2366,19,1,10,102,9633,197,3,3,3,66,126,1,2,,2,88,05,03,08,07,044,16,3,5,178,9,18,0464,19,617,864,2,2,172,102,,3,2,,2,1
