UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,TAIL1,TAIL2,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
03WN02156,103819342,03,Z9342,81,2,00,30,-3-,9,3,2,5.0,5,4,2,100,225,125,13,8.3,38,56,0.382,54,1,1,,,0,X,.,,PINK,A0000,04, 8202,00,88,3,93,260,8,7,69,1.94,80.6,3,62,,,0,0,,0.0,,,,,,,,JxP
03WN02157,103819343,03,Z9343,81,2,00,01,-1-,5,1,1,2.0,2,2,2,100,225,125,4,12.8,73,91,0.626,88,1,1,,,0,X,.,e.0,,T8164,44,R2208,11,12,1,,,1,1,106,1.69,105.2,1,91,,,17,26,,0.0,,,,,,,,JxR
03WN02158,103819344,03,Z9344,81,2,00,01,-1-,8,2,2,3.0,3,3,2,100,225,125,4,11.8,56,74,0.498,72,1,1,,,0,X,.,e.1,,T7925,44,R2032,11,12,1,,,5,5,94,1.88,115.1,1,76,,,17,28,,0.0,,,,,,,,JxR
03WN02159,103819345,03,Z9345,81,2,00,01,-1-,8,2,2,3.0,3,3,2,100,225,125,3,12.5,59,83,0.564,80,1,1,,,0,X,.,e.2,,T8164,44,R2032,11,12,1,,,5,5,101,1.88,115.1,1,84,,,19,31,,0.0,,,,,,,,JxR
03WN02160,103819346,03,Z9346,81,2,97,97,973,5,1,1,1.0,1,1,B,100,219,119,1,11.8,0,93,0.682,94,6,1,,,0,.,.,974,,Z7153,81,Z7814,81,97,1,,,1,1,96,1.79,118.0,1,97,,,18,25,,0.098,,,,,,,,Suff
03WN02161,103819347,03,Z9347,81,2,00,32,-1-,8,2,2,2.0,2,2,2,100,225,125,2,10.9,54,79,0.545,76,1,1,,,0,X, 19,,,T8164,44,A8532,04,84,2,92,261,5,3,98,2.11,117.0,2,78,90,,20,27,,0.0,,,,,,,,JxP
03WN02162,103819348,03,Z9348,81,3,00,32,-1-,8,2,2,2.0,2,2,2,100,225,125,1,7.2,42,71,0.51,68,1,1,,,0,X,.,,,T8164,44,A8532,04,84,3,93,260,5,7,0,2.11,117.0,3,78,,,14,27,,0.0,,,,,,,,W.
03WN02163,103819350,03,Z9350,81,2,00,31,-4-,8,2,2,3.0,3,3,2,100,225,125,13,12.7,60,82,0.554,79,1,1,,,2,X,Ana,e.0,,A7553,04,01422,00,18,1,,,5,5,101,1.73,119.8,1,95,,,19,30,,0.0,,,,,,,,JxR
03WN02164,103819351,03,Z9351,81,3,00,31,-4-,8,2,2,3.0,3,3,2,100,225,125,13,11.3,66,86,0.598,83,1,1,,,2,X,Ana,,,A7553,04,01422,00,18,3,93,280,5,5,0,1.73,119.8,M,93,,,18,29,,0.0,,,,,,,,HLi
03WN02165,103819352,03,Z9352,81,3,00,33,-3-,5,1,1,2.0,2,2,2,100,225,125,1,14.2,76,108,0.75,104,1,1,,,7,X,.,,MSG d246,A7198,04,K1944,64,68,7,97,246,1,1,0,1.69,116.6,3,0,,,19,27,,0.0,,,,,,,,W.
03WN02166,103819353,03,Z9353,81,3,00,32,-2-,8,2,2,3.0,3,3,2,100,225,125,12,8.3,63,89,0.646,86,1,1,,,0,X,.,,,T7305,44,A7866,04,81,3,93,260,5,5,0,2.02,104.9,3,100,,,16,27,,0.001,,,,,,,,W.
03WN02167,103819354,03,Z9354,81,3,00,32,-2-,8,2,2,3.0,3,3,2,100,225,125,5,9.3,56,83,0.59,80,1,1,,,0,X,.,,,T7305,44,A7866,04,81,3,93,260,5,5,0,2.02,104.9,3,88,,,18,27,,0.001,,,,,,,,W.
03WN02168,103819355,03,Z9355,81,3,00,02,-2-,5,1,1,7.0,7,5,2,100,225,125,13,15.8,62,91,0.602,88,1,1,,,2,X,.,,NICE,T8203,44,T5261,44,42,3,93,260,1,1,0,1.56,104.6,3,93,,,21,27,,0.018,,,,,,,,W.
03WN02169,103819356,03,Z9356,81,3,00,01,-1-,5,1,1,3.0,3,3,2,100,225,125,1,16.4,72,103,0.693,100,1,1,,,0,X,.,,NICE,T7925,44,R1474,11,11,3,93,260,1,1,0,1.59,104.0,3,110,,,18,30,,0.0,,,,,,,,W.
03WN02170,103819357,03,Z9357,81,2,00,33,51N,8,2,2,2.0,2,2,3,100,219,119,2,10.0,83,96,0.723,97,1,1,,,0,N,.,e.1,,K0000,64,A8600,04,84,1,,,5,5,0,1.94,131.8,1,116,,,18,0,,0.0,,,,,,,,CxP
03WN02171,103819358,03,Z9358,81,3,00,33,51N,8,2,2,2.0,2,2,3,100,219,119,3,10.4,88,102,0.77,103,1,1,,,0,N,.,,,K0000,64,A8600,04,84,3,93,260,5,5,0,1.94,131.8,3,110,,,15,0,,0.0,,,,,,,,W.
03WN02172,103819359,03,Z9359,81,3,00,32,-5-,8,2,1,2.0,2,2,2,100,225,125,14,8.3,57,83,0.598,80,1,1,,,0,X,.,,,T7866,44,A8475,04,84,3,93,260,3,2,0,2.11,101.8,3,89,,,0,0,,0.0,,,,,,,,W.
03WN02173,103819361,03,Z9361,81,3,00,32,-3-,8,2,2,7.0,7,5,2,100,225,125,7,11.3,58,79,0.542,76,1,1,,,2,X,.,,,A7198,04,T5270,44,42,3,93,260,5,5,0,1.83,114.8,3,85,,,16,27,,0.0,,,,,,,,W.
03WN02174,103819362,03,Z9362,81,3,00,32,-3-,8,2,2,7.0,7,5,2,100,225,125,8,12.8,57,82,0.554,79,1,1,,,2,X,.,,,A7198,04,T5270,44,42,3,93,260,5,5,0,1.83,114.8,3,88,,,20,28,,0.0,,,,,,,,W.
03WN02175,103819363,03,Z9363,81,3,00,31,-3-,8,2,2,2.0,2,2,2,100,225,125,3,10.3,53,78,0.542,75,1,1,,,0,X,.,,,A7198,04,R2254,11,11,3,93,260,5,5,0,1.84,102.6,3,79,,,15,27,,0.0,,,,,,,,W.
03WN02176,103819364,03,Z9364,81,3,00,31,-3-,8,2,2,2.0,2,2,2,100,225,125,13,10.3,58,76,0.526,73,1,1,,,0,X,.,,,A7198,04,R2254,11,11,3,93,260,5,5,0,1.84,102.6,3,88,,,17,27,,0.0,,,,,,,,W.
03WN02177,103819365,03,Z9365,81,3,00,31,-1-,8,2,2,2.0,2,2,2,100,225,125,10,9.2,48,72,0.502,69,1,1,,,0,X,.,,,A7977,04,R2816,11,12,3,93,260,5,6,0,1.86,112.6,3,84,,,17,28,,0.001,,,,,,,,W.
03WN02178,103819366,03,Z9366,81,3,00,01,-1-,8,2,2,2.0,2,2,2,100,225,125,13,11.2,48,74,0.502,71,1,1,,,0,X,.,,STINKY 6-27,T7925,44,R2816,11,12,3,93,260,5,4,0,1.86,112.6,3,81,,,16,26,,0.0,,,,,,,,W.
03WN02179,103819367,03,Z9367,81,3,00,80,52N,8,2,2,2.0,2,2,3,100,219,119,2,12.2,62,90,0.654,89,5,1,,,0,N,X,,,Z0000,81,A8756,04,82,3,93,260,5,4,0,1.94,128.1,T,111,,,0,0,,0.0,,,,,,,,SxP
03WN02180,103819368,03,Z9368,81,2,00,80,52N,8,2,2,2.0,2,2,3,100,219,119,3,9.4,75,85,0.635,86,5,1,,,0,N,.,e.8,,Z0000,81,A8756,04,82,1,,,5,6,0,1.94,128.1,1,97,,,0,0,,0.0,,,,,,,,SxP
03WN02181,103819369,03,Z9369,81,2,00,31,-3-,8,2,2,3.0,3,3,2,100,225,125,4,10.0,68,86,0.608,83,1,1,,,2,X,.,e.1,,A8075,04,00197,00,18,1,,,5,5,102,1.59,107.6,1,89,,,18,27,,0.0,,,,,,,,JxR
03WN02182,103819370,03,Z9370,81,3,00,31,-3-,8,2,2,3.0,3,3,2,100,225,125,4,9.3,62,82,0.582,79,1,1,,,2,X,.,,,A8075,04,00197,00,18,3,93,260,5,5,0,1.59,107.6,3,90,,,20,32,,0.0,,,,,,,,W.
03WN02183,103819371,03,Z9371,81,1,97,97,972,5,1,1,2.0,2,2,B,100,219,119,1,15.8,0,142,1.061,143,6,1,,,0,.,.,,LAME LF 8/7,Z6098,81,Z7099,81,97,1,,,1,1,122,1.72,118.4,1,138,,,20,29,,0.057,,,,,,,,
03WN02184,103819372,03,Z9372,81,3,00,31,-3-,5,1,1,2.0,2,2,2,100,225,125,13,10.8,70,87,0.61,84,2,1,,,0,X,.,,"BLK.DOT,RUMP",A8075,04,R2475,11,13,3,93,260,1,1,0,1.67,105.1,3,96,,,18,26,,0.0,,,,,,,,W.
03WN02185,103819373,03,Z9373,81,2,00,01,-2-,8,2,2,4.0,4,4,2,100,225,125,7,10.7,62,84,0.586,81,1,1,,,2,X,.,e.2,,T7305,44,90239,09,18,1,,,5,5,102,1.8,113.7,1,87,,,19,28,,0.0,,,,,,,,JxR
03WN02186,103819374,03,Z9374,81,2,00,01,-2-,8,2,2,4.0,4,4,2,100,225,125,7,9.9,48,72,0.497,70,1,1,,,2,X,.,e.0,,T7305,44,90239,09,18,1,,,5,5,92,1.8,113.7,1,81,,,19,29,,0.0,,,,,,,,JxR
03WN02187,103819375,03,Z9375,81,1,97,97,971,8,2,2,3.0,3,3,B,100,219,119,2,11.1,0,99,0.739,100,6,1,,,0,.,.,,,00093,00,Z6073,81,97,1,,,5,5,97,1.84,134.8,1,109,,,17,30,,0.0,,,,,,,,
03WN02188,103819376,03,Z9376,81,1,97,97,971,8,2,2,3.0,3,3,B,100,219,119,2,12.9,0,103,0.757,104,6,1,,,0,.,.,,,00093,00,Z6073,81,97,3,93,258,5,5,100,1.84,134.8,3,109,,,17,32,,0.0,,,,,,,,
