UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW
95WN02476, 95445082,95,T5082,44,1,42,02,812,8,2,2,3.0,3,3,2,116,221,105,3,8.5,33,64,0.529,72,1,1,,,2,C,CLO,,T3888,44,T3354,44,42,3,93,240,5,5,93,1.41,92.9,3,99,,2.286
95WN02477, 95445083,95,T5083,44,1,42,02,812,8,2,2,3.0,3,3,2,116,221,105,16,9.4,39,56,0.444,63,1,1,,,2,C,CLO,4TEATS,T3888,44,T3354,44,42,3,93,240,5,5,88,1.41,92.9,3,62,,2.286
95WN02478, 95445084,95,T5084,44,3,48,02,e.6,5,1,1,1.0,1,1,2,117,221,104,15,13.2,55,80,0.642,90,1,1,,,2,M,,4TEATS,T3941,44,T4336,44,41,Z,93,258,1,1,110,1.41,93.4,Z,94,,23.263
95WN02479, 95445085,95,T5085,44,2,42,02,812,5,1,1,2.0,2,2,2,117,221,104,16,10.0,42,61,0.49,69,1,1,,,2,C,e.5,4TEATS,T3888,44,T3928,44,42,1,,0,1,1,87,1.24,72.4,1,72,,-2.225
95WN02480, 95445086,95,T5086,44,2,48,02,e.5,5,1,1,1.0,1,1,2,117,221,104,17,9.5,41,58,0.466,65,1,1,,,2,C, 34,,T4006,44,T4292,44,42,2,92,264,1,1,94,1.41,88.4,2,73,,12.666
95WN02481, 95445087,95,T5087,44,2,48,02,e.5,6,2,1,1.0,1,1,2,117,221,104,13,5.8,42,62,0.54,71,1,1,,,2,M, 33,WEAK,T4006,44,T4263,44,41,2,92,264,3,2,99,1.51,89.6,2,76,,23.212
95WN02482, 95445088,95,T5088,44,2,ch,01,  2,5,1,1,8.0,8,5,H,117,226,109,2,15.3,56,85,0.639,92,1,2,,,2,h,j.0,BIG,S1048,10,T8943,43,48,1,,0,1,1,98,1.25,84.8,1,85,,0.0
95WN02483, 95445089,95,T5089,44,2,42,02,862,5,1,1,5.0,5,4,2,117,221,104,18,12.5,57,77,0.62,87,1,2,,,2,C,e.6,,T3959,44,T1474,44,42,1,,0,1,1,104,1.34,80.8,1,93,,3.191
95WN02484, 95445090,95,T5090,44,2,48,02,e.5,5,1,1,1.0,1,1,2,117,221,104,15,11.6,50,81,0.667,92,1,2,,,2,M, 30,,T4006,44,T4366,44,41,2,92,264,1,1,115,1.41,93.8,2,93,,20.156
95WN02485, 95445092,95,T5092,44,2,42,02,872,8,2,1,2.0,2,2,2,117,221,104,1,10.4,34,57,0.448,64,1,1,,,2,C,CLO,"DEAD,PILEUP",T3964,44,T4023,44,42,6,46,212,3,2,83,1.4,71.3,6,,,-2.855
95WN02486, 95445094,95,T5094,44,3,48,02,e.5,5,1,1,1.0,1,1,2,118,221,103,8,11.7,50,86,0.721,98,1,1,,,2,M,,,T4006,44,T4459,44,41,3,93,268,1,1,115,1.41,95.0,3,93,,25.611
