UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
10PE00229,10,05,H5782,00,00712,05,H4093,30,2010055782,2007000712,2008054093
10PE00230,10,05,H5783,00,00712,05,H4093,30,2010055783,2007000712,2008054093
10PE00231,10,05,H5784,05,H3779,05,H0987,30,2010055784,2008053779,2004050987
10PE00232,10,05,H5785,05,H3779,05,H0987,30,2010055785,2008053779,2004050987
10PE00233,10,05,H5786,05,H4164,05,H4383,30,2010055786,2008054164,2008054383
10PE00234,10,05,H5787,05,H4164,05,H4383,30,2010055787,2008054164,2008054383
10PE00235,10,05,H5788,05,H4337,05,H5114,30,2010055788,2008054337,2009055114
10PE00236,10,05,H5789,05,H4337,05,H5114,30,2010055789,2008054337,2009055114
10PE00237,10,05,H5790,00,07142,05,H4512,30,2010055790,2007007142,2008054512
10PE00238,10,05,H5791,00,07142,05,H4512,30,2010055791,2007007142,2008054512
10PE00239,10,05,H5792,00,07142,05,H1342,30,2010055792,2007007142,2004051342
10PE00240,10,05,H5793,00,07142,05,H1342,30,2010055793,2007007142,2004051342
10PE00241,10,05,H5794,05,H3921,05,H5430,30,2010055794,2008053921,2009055430
10PE00242,10,05,H5795,05,H3921,05,H5430,30,2010055795,2008053921,2009055430
10PE00243,10,05,H5796,00,07142,05,H4499,30,2010055796,2007007142,2008054499
10PE00244,10,05,H5797,00,07142,05,H4499,30,2010055797,2007007142,2008054499
10PE00245,10,05,H5798,00,00101,05,H2687,30,2010055798,2008000101,2006052687
10PE00246,10,05,H5799,00,00101,05,H2687,30,2010055799,2008000101,2006052687
10PE00247,10,05,H5800,00,00101,05,H2687,30,2010055800,2008000101,2006052687
10PE00248,10,05,H5801,05,H4386,05,H3087,30,2010055801,2008054386,2007053087
10PE00249,10,05,H5802,05,H4386,05,H3087,30,2010055802,2008054386,2007053087
10PE00250,10,05,H5803,00,00420,05,H3458,30,2010055803,2008000420,2007053458
10PE00251,10,05,H5804,00,00420,05,H3458,30,2010055804,2008000420,2007053458
10PE00252,10,05,H5805,00,00420,05,H3458,30,2010055805,2008000420,2007053458
10PE00253,10,05,H5806,00,00647,05,H0495,30,2010055806,2007000647,2003050495
10PE00254,10,05,H5807,00,00647,05,H0495,30,2010055807,2007000647,2003050495
10PE00255,10,05,H5808,00,00647,05,H0495,30,2010055808,2007000647,2003050495
10PE00256,10,05,H5809,00,00706,05,H0896,30,2010055809,2007000706,2004050896
10PE00257,10,05,H5810,00,00706,05,H0896,30,2010055810,2007000706,2004050896
10PE00258,10,05,H5811,00,00706,05,H0896,30,2010055811,2007000706,2004050896
10PE00259,10,05,H5812,00,00965,05,H3528,30,2010055812,2008000965,2007053528
10PE00260,10,05,H5813,00,00965,05,H3528,30,2010055813,2008000965,2007053528
10PE00261,10,05,H5814,05,H4386,05,H4486,30,2010055814,2008054386,2008054486
10PE00262,10,05,H5815,05,H4386,05,H4486,30,2010055815,2008054386,2008054486
10PE00263,10,05,H5816,05,H4164,04,H4017,30,2010055816,2008054164,2008054017
10PE00264,10,05,H5817,05,H4164,04,H4017,30,2010055817,2008054164,2008054017
10PE00265,10,05,H5818,05,H4186,05,H1903,30,2010055818,2008054186,2005051903
10PE00266,10,05,H5819,05,H4186,05,H1903,30,2010055819,2008054186,2005051903
10PE00267,10,05,H5820,05,H4186,05,H1903,30,2010055820,2008054186,2005051903
10PE00268,10,05,H5821,05,H3545,05,H3153,30,2010055821,2007053545,2007053153
10PE00269,10,05,H5822,05,H3545,05,H3153,30,2010055822,2007053545,2007053153
10PE00270,10,05,H5823,05,H3545,05,H3153,30,2010055823,2007053545,2007053153
10PE00271,10,05,H5824,00,00965,05,H3033,30,2010055824,2008000965,2007053033
10PE00272,10,05,H5825,00,00965,05,H3033,30,2010055825,2008000965,2007053033
10PE00273,10,05,H5826,00,00965,05,H3033,30,2010055826,2008000965,2007053033
10PE00274,10,05,H5827,00,00965,05,H2018,30,2010055827,2008000965,2005052018
10PE00275,10,05,H5828,00,00965,05,H2018,30,2010055828,2008000965,2005052018
10PE00276,10,05,H5829,05,H4164,05,H2404,30,2010055829,2008054164,2006052404
10PE00277,10,05,H5830,05,H4164,05,H2404,30,2010055830,2008054164,2006052404
10PE00278,10,05,H5831,05,H4357,05,H5392,30,2010055831,2008054357,2009055392
10PE00279,10,05,H5832,05,H4357,05,H5392,30,2010055832,2008054357,2009055392
10PE00280,10,05,H5833,05,H3872,05,H4248,30,2010055833,2008053872,2008054248
10PE00281,10,05,H5834,05,H3872,05,H4248,30,2010055834,2008053872,2008054248
10PE00282,10,05,H5835,00,H9057,05,H3493,30,2010055835,2008009057,2007053493
10PE00283,10,05,H5836,00,H9057,05,H3493,30,2010055836,2008009057,2007053493
10PE00284,10,05,H5837,05,H3545,05,H3518,30,2010055837,2007053545,2007053518
10PE00285,10,05,H5838,05,H3545,05,H3518,30,2010055838,2007053545,2007053518
10PE00286,10,05,H5839,05,H4386,05,H4560,30,2010055839,2008054386,2008054560
10PE00287,10,05,H5840,05,H4386,05,H4560,30,2010055840,2008054386,2008054560
10PE00288,10,05,H5841,05,H4386,05,H4560,30,2010055841,2008054386,2008054560
10PE00289,10,05,H5842,05,H4337,05,H4655,30,2010055842,2008054337,2009054655
10PE00290,10,05,H5843,05,H3858,05,H3658,30,2010055843,2008053858,2007053658
10PE00291,10,05,H5844,05,H3858,05,H3658,30,2010055844,2008053858,2007053658
10PE00292,10,05,H5845,05,H3858,05,H2462,30,2010055845,2008053858,2006052462
10PE00293,10,05,H5846,05,H3858,05,H2462,30,2010055846,2008053858,2006052462
