UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
02SH00179,1998640283,2,2002-03-04,63,1,64,K0283,8.2,54,7,COARSE,05,4.0,156,2002-05-09,1,0,02
02SH00180,2000641495,2,2002-03-04,63,1,64,K1495,8.2,60,4,,05,2.0,132,2002-05-01,2,0,02
02SH00181,1996107154,2,2002-03-04,63,1,10,S7154,8.8,62,3,,43,6.0,175,2002-05-24,3,0,02
02SH00182,2000111769,2,2002-03-04,63,1,11,R1769,9.6,62,3,,07,2.0,162,2002-05-09,1,71,02
02SH00183,1996638721,2,2002-03-04,63,1,63,K8721,9.4,58,5,,06,6.0,169,2002-04-25,1,0,02
02SH00184,2000641515,2,2002-03-04,63,1,64,K1515,9.2,60,4,,05,2.0,147,2002-05-01,1,0,02
02SH00185,2000641444,2,2002-03-04,63,1,64,K1444,7.8,58,5,,06,2.0,147,2002-04-25,2,0,02
02SH00186,1998109350,2,2002-03-04,63,1,10,S9350,9.8,60,4,,43,4.0,0,,*,0,02
02SH00187,1995106183,2,2002-03-04,63,1,10,S6183,10.0,58,5,,07,7.0,162,2002-05-24,3,0,02
02SH00188,1998446446,2,2002-03-04,63,1,44,T6446,7.6,62,3,,02,4.0,140,2002-05-01,1,0,02
02SH00189,1999110211,2,2002-03-04,63,1,11,R0211,8.6,62,3,,43,3.0,140,2002-04-25,2,0,02
02SH00190,1999110050,2,2002-03-04,63,1,11,R0050,8.4,62,3,,43,3.0,149,2002-04-25,1,0,02
02SH00191,2000111843,2,2002-03-04,63,1,11,R1843,11.4,60,4,,43,2.0,148,2002-05-30,5,89,02
02SH00192,1998109377,2,2002-03-04,63,1,10,S9377,10.0,62,3,,07,4.0,131,2002-04-25,1,0,02
02SH00193,1997107950,2,2002-03-04,63,1,10,S7950,8.6,62,3,,07,5.0,168,2002-05-01,2,0,02
02SH00194,1997446003,2,2002-03-04,63,1,44,T6003,6.8,60,4,,02,5.0,180,2002-05-30,5,0,02
02SH00195,2000641122,2,2002-03-04,63,1,64,K1122,9.8,60,4,,06,2.0,219,2002-05-30,5,0,02
02SH00196,1999110255,2,2002-03-04,63,1,11,R0255,9.6,58,5,,43,3.0,133,2002-04-25,2,0,02
02SH00197,1997107785,2,2002-03-04,63,1,10,S7785,9.2,62,3,,42,5.0,152,2002-05-09,1,0,02
02SH00198,2000111366,2,2002-03-04,63,1,11,R1366,8.0,60,4,,43,2.0,153,2002-04-25,1,81,02
02SH00199,1996107379,2,2002-03-04,63,1,10,S7379,9.8,60,4,,42,6.0,142,2002-05-01,1,0,02
02SH00200,1995106339,2,2002-03-04,63,1,10,S6339,10.0,62,3,,07,7.0,153,2002-05-01,1,0,02
02SH00201,1998109016,2,2002-03-04,63,1,10,S9016,8.0,62,3,,07,4.0,151,2002-04-25,1,0,02
02SH00202,1998109613,2,2002-03-04,63,1,10,S9613,8.6,62,3,,07,4.0,153,2002-05-01,2,0,02
02SH00203,1997108478,2,2002-03-04,63,1,10,S8478,9.8,62,3,,42,5.0,156,2002-04-25,2,0,02
02SH00204,2000111461,2,2002-03-04,63,1,11,R1461,12.0,60,4,,43,2.0,150,2002-04-25,2,89,02
02SH00205,1999110744,2,2002-03-04,63,1,11,R0744,6.2,62,3,,07,3.0,155,2002-04-25,1,0,02
02SH00206,1996106648,2,2002-03-04,63,1,10,S6648,9.6,60,4,,43,6.0,173,2002-04-25,1,0,02
02SH00207,1996106931,2,2002-03-04,63,1,10,S6931,9.0,62,3,,43,6.0,137,2002-05-01,1,0,02
02SH00208,2000111437,2,2002-03-04,63,1,11,R1437,9.2,62,3,,07,2.0,127,2002-05-07,3,76,02
02SH00209,1999110227,2,2002-03-04,63,1,11,R0227,8.8,58,5,,07,3.0,139,2002-05-07,3,0,02
02SH00210,2000447760,2,2002-03-04,63,1,44,T7760,9.2,58,5,,02,2.0,159,2002-04-25,1,94,02
02SH00211,1999110680,2,2002-03-04,63,1,11,R0680,9.6,60,4,,07,3.0,148,2002-05-01,2,0,02
02SH00212,1996106604,2,2002-03-04,63,1,10,S6604,9.0,62,3,,07,6.0,168,2002-05-01,2,0,02
02SH00213,2000641320,2,2002-03-04,63,1,64,K1320,8.4,60,4,,06,2.0,155,2002-05-07,3,0,02
02SH00214,1999640712,2,2002-03-04,63,1,64,K0712,8.8,58,5,,06,3.0,162,2002-04-25,2,0,02
02SH00215,1999090835,2,2002-03-04,63,1,09,90835,10.2,60,4,,06,3.0,176,2002-05-09,1,0,02
02SH00216,1998109634,2,2002-03-04,63,1,10,S9634,9.0,60,4,,42,4.0,145,2002-05-09,1,0,02
02SH00217,2000641503,2,2002-03-04,63,1,64,K1503,8.8,58,5,,05,2.0,154,2002-04-25,2,0,02
02SH00218,1999110621,2,2002-03-04,63,1,11,R0621,10.8,62,3,,07,3.0,134,2002-05-01,1,0,02
02SH00219,1998109193,2,2002-03-04,63,1,10,S9193,9.2,60,4,,43,4.0,175,2002-04-25,2,0,02
02SH00220,2000112079,2,2002-03-04,63,1,11,R2079,11.4,60,4,,07,2.0,133,2002-04-25,2,82,02
02SH00221,1999110763,2,2002-03-04,63,1,11,R0763,9.2,60,4,,43,3.0,132,2002-05-01,2,0,02
02SH00222,1999109980,2,2002-03-04,63,1,10,S9980,9.0,60,4,,07,3.0,161,2002-05-01,1,0,02
02SH00223,2000111186,2,2002-03-04,63,1,11,R1186,11.2,58,5,R1189?,07,2.0,139,2002-04-25,2,80,02
02SH00224,1997639321,2,2002-03-04,63,1,63,K9321,8.6,58,5,,05,5.0,150,2002-05-07,3,0,02
02SH00225,1999640852,2,2002-03-04,63,1,64,K0852,10.0,56,6,,06,3.0,170,2002-05-01,2,0,02
02SH00226,2000000211,2,2002-03-04,63,1,00,00211,9.0,62,3,,07,2.0,163,2002-05-30,5,0,02
02SH00227,1997108512,2,2002-03-04,63,1,10,S8512,8.4,62,3,,43,5.0,120,2002-05-01,2,0,02
