UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH01228,S3309,2022-02-11,42,68.5,151,,80,8.0
22SH01229,S3310,2022-02-10,41,66.5,146,,70,7.0
22SH01230,S3314,2022-02-11,42,77.0,169,,100,10.0
22SH01231,S3330,2022-02-10,41,58.0,128,,60,6.0
22SH01232,S3331,2022-02-10,41,70.5,155,,70,7.0
22SH01233,S3332,2022-02-10,41,71.5,157,,70,7.0
22SH01234,S3333,2022-02-10,41,59.5,131,,70,7.0
22SH01235,S3341,2022-02-10,41,54.5,120,,70,7.0
22SH01236,S3344,2022-02-10,41,66.5,146,,80,8.0
22SH01237,S3350,2022-02-10,41,69.0,152,,80,8.0
22SH01238,S3351,2022-02-11,42,65.0,143,,70,7.0
22SH01239,S3359,2022-02-10,41,68.5,151,,40,4.0
22SH01240,S3360,2022-02-11,42,84.5,186,,60,6.0
22SH01241,S3365,2022-02-10,41,61.5,135,,50,5.0
22SH01242,S3366,2022-02-10,41,62.5,138,,70,7.0
22SH01243,S3368,2022-02-10,41,69.0,152,,70,7.0
22SH01244,S3378,2022-02-11,42,67.0,147,,70,7.0
22SH01245,S3382,2022-02-10,41,65.5,144,,60,6.0
22SH01246,S3389,2022-02-10,41,63.0,139,,60,6.0
22SH01247,S3392,2022-02-10,41,64.0,141,,80,8.0
22SH01248,S3394,2022-02-11,42,82.0,180,,90,9.0
22SH01249,S3400,2022-02-10,41,66.5,146,,60,6.0
22SH01250,S3403,2022-02-10,41,62.0,136,,60,6.0
22SH01251,S3404,2022-02-10,41,68.5,151,,60,6.0
22SH01252,S3407,2022-02-10,41,66.5,146,,70,7.0
22SH01253,S3411,2022-02-10,41,58.0,128,,80,8.0
22SH01254,S3412,2022-02-10,41,68.5,151,,90,9.0
22SH01255,S3414,2022-02-11,42,69.5,153,,80,8.0
22SH01256,S3415,2022-02-10,41,75.5,166,,80,8.0
22SH01257,S3420,2022-02-10,41,67.5,149,,90,9.0
22SH01258,S3423,2022-02-11,42,71.0,156,,90,9.0
22SH01259,S3427,2022-02-10,41,54.0,119,,70,7.0
22SH01260,S3430,2022-02-10,41,58.5,129,,50,5.0
22SH01261,S3432,2022-02-11,42,75.5,166,,90,9.0
22SH01262,S3434,2022-02-10,41,67.5,149,,80,8.0
22SH01263,S3435,2022-02-10,41,72.0,158,,90,9.0
22SH01264,S3436,2022-02-11,42,63.0,139,,70,7.0
22SH01265,S3437,2022-02-10,41,55.0,121,,50,5.0
22SH01266,S3439,2022-02-10,41,51.5,113,,70,7.0
22SH01267,S3440,2022-02-10,41,70.0,154,,70,7.0
22SH01268,S3445,2022-02-10,41,51.0,112,,70,7.0
22SH01269,S3456,2022-02-10,41,73.5,162,,60,6.0
22SH01270,S3466,2022-02-10,41,75.5,166,,80,8.0
22SH01271,S3468,2022-02-10,41,64.0,141,,50,5.0
22SH01272,S3470,2022-02-11,42,72.0,158,,60,6.0
22SH01273,S3471,2022-02-10,41,78.5,173,,80,8.0
22SH01274,S3480,2022-02-10,41,66.5,146,,80,8.0
22SH01275,S3482,2022-02-10,41,57.0,125,,70,7.0
22SH01276,S3485,2022-02-10,41,66.0,145,,60,6.0
22SH01277,S3487,2022-02-10,41,61.0,134,,70,7.0
22SH01278,S3495,2022-02-10,41,72.5,160,,50,5.0
22SH01279,S3504,2022-02-10,41,62.0,136,,80,8.0
22SH01280,S3505,2022-02-10,41,58.0,128,,70,7.0
22SH01281,S3513,2022-02-10,41,68.0,150,,60,6.0
22SH01282,S3517,2022-02-10,41,63.0,139,,60,6.0
22SH01283,S3519,2022-02-10,41,61.5,135,,70,7.0
22SH01284,S3521,2022-02-11,42,77.0,169,,100,10.0
22SH01285,S3522,2022-02-10,41,72.5,160,,90,9.0
