UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00133,A0720,2021-02-11,62,135,70,7.0,YA
21SH00134,A0731,2021-02-11,68,149,70,7.0,YA
21SH00135,A0732,2021-02-11,72,158,60,6.0,YA
21SH00136,A0733,2021-02-11,65,143,60,6.0,YA
21SH00137,A0737,2021-02-11,75,165,70,7.0,YA
21SH00138,A0739,2021-02-11,66,144,50,5.0,YA
21SH00139,A0741,2021-02-11,92,202,80,8.0,YA
21SH00140,A0745,2021-02-11,66,144,70,7.0,YA
21SH00141,A0746,2021-02-11,70,154,70,7.0,YA
21SH00142,A0752,2021-02-11,78,171,70,7.0,YA
21SH00143,A0760,2021-02-11,86,189,60,6.0,YA
21SH00144,A0761,2021-02-11,64,141,60,6.0,YA
21SH00145,A0766,2021-02-11,76,166,80,8.0,YA
21SH00146,A0769,2021-02-11,55,121,80,8.0,YA
21SH00147,A0771,2021-02-11,75,165,70,7.0,YA
21SH00148,A0772,2021-02-11,65,142,70,7.0,YA
21SH00149,A0773,2021-02-11,70,153,80,8.0,YA
21SH00150,A0781,2021-02-11,64,140,60,6.0,YA
21SH00151,A0782,2021-02-11,67,147,70,7.0,YA
21SH00152,A0784,2021-02-11,57,124,50,5.0,YA
21SH00153,A0786,2021-02-11,73,161,80,8.0,YA
21SH00154,A0791,2021-02-11,72,158,50,5.0,YA
21SH00155,A0792,2021-02-11,86,189,70,7.0,YA
21SH00156,A0799,2021-02-11,84,185,80,8.0,YA
21SH00157,A0803,2021-02-11,78,171,70,7.0,YA
21SH00158,A0808,2021-02-11,58,128,50,5.0,YA
21SH00159,A0809,2021-02-11,78,171,60,6.0,YA
21SH00160,A0810,2021-02-11,80,176,70,7.0,YA
21SH00161,A0812,2021-02-11,67,147,70,7.0,YA
21SH00162,A0813,2021-02-11,70,154,70,7.0,YA
21SH00163,A0816,2021-02-11,68,149,80,8.0,YAA
21SH00164,A0818,2021-02-11,77,168,70,7.0,YAA
21SH00165,A0819,2021-02-11,79,173,60,6.0,YA
21SH00166,A0821,2021-02-11,87,190,80,8.0,YA
21SH00167,A0825,2021-02-11,76,167,60,6.0,YA
21SH00168,A0826,2021-02-11,74,163,60,6.0,YA
21SH00169,A0828,2021-02-11,58,128,70,7.0,YA
21SH00170,A0829,2021-02-11,45,98,60,6.0,YA
21SH00171,A0832,2021-02-11,70,154,70,7.0,YA
21SH00172,A0837,2021-02-11,58,127,50,5.0,YA
21SH00173,A0838,2021-02-11,77,168,60,6.0,YA
21SH00174,A0843,2021-02-11,77,168,40,4.0,YA
21SH00175,A0844,2021-02-11,78,171,80,8.0,YA
21SH00176,A0850,2021-02-11,71,155,60,6.0,YA
21SH00177,A0851,2021-02-11,83,182,80,8.0,YA
21SH00178,A0853,2021-02-11,74,163,50,5.0,YA
21SH00179,A0857,2021-02-11,65,143,60,6.0,YA
21SH00180,A0859,2021-02-11,70,154,50,5.0,YA
21SH00181,A0860,2021-02-11,61,133,60,6.0,YA
21SH00182,A0861,2021-02-11,65,142,40,4.0,YA
21SH00183,A0866,2021-02-11,69,151,50,5.0,YAA
21SH00184,A0871,2021-02-11,55,120,70,7.0,YA
21SH00185,A0885,2021-02-11,73,160,60,6.0,YA
21SH00186,A0891,2021-02-11,65,142,50,5.0,YA
21SH00187,A0896,2021-02-11,72,157,80,8.0,YA
21SH00188,A0899,2021-02-11,61,134,80,8.0,YA
21SH00189,A0901,2021-02-12,59,130,70,7.0,BL
21SH00190,A0904,2021-02-11,77,168,60,6.0,YAA
21SH00191,A0905,2021-02-11,59,129,40,4.0,YA
21SH00192,A0907,2021-02-11,69,151,70,7.0,YA
