UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH01191,R9695,2,0,7.4,74,,50,07,Pregnant EL,0,
14SH01192,L1309,2,0,5.4,54,,50,PC,Pregnant EL,0,
14SH01193,T4951,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01194,R9735,2,0,8.2,82,,50,07,Pregnant EL,0,
14SH01195,Z1747,2,0,9.0,90,,50,CM,CM  Pregnant EL,0,
14SH01196,R9673,2,0,6.4,64,,50,07,Pregnant EL,0,
14SH01197,H8162,2,0,5.6,56,,50,30,Pregnant EL,0,
14SH01198,H8248,2,0,5.0,50,,50,30,Pregnant EL,0,
14SH01199,R9881,2,0,6.8,68,,50,07,Pregnant EL,0,
14SH01200,R9846,2,0,8.6,86,,50,07,Pregnant EL,0,
14SH01201,L1418,2,0,5.0,50,,50,PC,Pregnant EL,0,
14SH01202,H8120,2,0,5.8,58,,50,30,Pregnant EL,0,
14SH01203,T5189,2,0,6.4,64,,50,02,Pregnant EL,0,
14SH01204,T5020,2,0,9.2,92,,50,02,Pregnant EL,0,
14SH01205,T4909,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01206,R9942,2,0,7.4,74,,50,07,Pregnant EL,0,
14SH01207,R9579,2,0,7.4,74,,50,07,Pregnant EL,0,
14SH01208,T4915,2,0,7.8,78,,50,02,Pregnant EL,0,
14SH01209,R9795,2,0,6.0,60,,50,07,Pregnant EL,0,
14SH01210,R9576,2,0,6.8,68,,50,07,Pregnant EL,0,
14SH01211,Z1746,2,0,7.6,76,,50,TC,TC  Pregnant EL,0,
14SH01212,R9607,2,0,7.6,76,,50,07,Pregnant EL,0,
14SH01213,Z1604,2,0,5.6,56,,50,CM,CM  Pregnant EL,0,
14SH01214,R9592,2,0,8.0,80,,50,07,Pregnant EL,0,
14SH01215,T4880,2,0,8.2,82,,50,02,Pregnant EL,0,
14SH01216,R9585,2,0,7.6,76,,50,07,Pregnant EL,0,
14SH01217,T5044,2,0,7.8,78,,50,02,Pregnant EL,0,
14SH01218,T4849,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01219,R9578,2,0,6.6,66,,50,07,Pregnant EL,0,
14SH01220,H8262,2,0,3.8,38,,50,30,Pregnant EL,0,
14SH01221,R9570,2,0,8.8,88,,50,07,Pregnant EL,0,
14SH01222,T4708,2,0,5.6,56,,50,02,Pregnant EL,0,
14SH01223,K4959,2,0,8.0,80,,50,06,Pregnant EL,0,
14SH01224,T4975,2,0,6.6,66,,50,02,Pregnant EL,0,
14SH01225,R9663,2,0,8.8,88,,50,07,Pregnant EL,0,
14SH01226,R9711,2,0,7.6,76,,50,07,Pregnant EL,0,
14SH01227,H8083,2,0,6.4,64,,50,30,Pregnant EL,0,
14SH01228,H7947,2,0,5.2,52,,50,30,Pregnant EL,0,
14SH01229,R9751,2,0,6.2,62,,50,07,Pregnant EL,0,
14SH01230,Z1572,2,0,5.8,58,,50,CM,CM  Pregnant EL,0,
14SH01231,R9797,2,0,7.8,78,,50,07,Pregnant EL,0,
14SH01232,T5063,2,0,5.8,58,,50,02,Pregnant EL,0,
14SH01233,H8209,2,0,7.0,70,,50,30,Pregnant EL,0,
14SH01234,Z1834,2,0,7.2,72,,50,CM,CM  Pregnant EL,0,
14SH01235,R9682,2,0,8.0,80,,50,07,Pregnant EL,0,
14SH01236,H8135,2,0,6.4,64,,50,30,Pregnant EL,0,
14SH01237,L1117,2,0,5.4,54,,50,PC,Pregnant EL,0,
14SH01238,R9634,2,0,7.0,70,,50,07,Pregnant EL,0,
14SH01239,T5037,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01240,H8317,2,0,5.2,52,,50,30,Pregnant EL,0,
14SH01241,Z1625,2,0,6.8,68,,50,T3,T3  Pregnant EL,0,
14SH01242,T5211,2,0,6.0,60,,50,02,Pregnant EL,0,
14SH01243,H8104,2,0,5.2,52,,50,30,Pregnant EL,0,
14SH01244,Z1486,2,0,6.0,60,,50,TC,TC  Pregnant EL,0,
14SH01245,T4931,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01246,H7986,2,0,5.0,50,,50,30,Pregnant EL,0,
14SH01247,T4834,2,0,7.2,72,,50,02,Pregnant EL,0,
14SH01248,T5012,2,0,7.8,78,,50,02,Pregnant EL,0,
14SH01249,R9879,2,0,8.4,84,,50,07,Pregnant EL,0,
14SH01250,T4917,2,0,7.0,70,,50,02,Pregnant EL,0,
14SH01251,H8155,2,0,5.8,58,,50,30,Pregnant EL,0,
14SH01252,T4837,2,0,4.4,44,,50,02,Pregnant EL,0,
14SH01253,K4931,2,0,7.2,72,,50,06,Pregnant EL,0,
14SH01254,T5165,2,0,8.2,82,,50,02,Pregnant EL,0,
14SH01255,T5177,2,0,6.2,62,,50,02,Pregnant EL,0,
14SH01256,R9870,2,0,6.4,64,,50,07,Pregnant EL,0,
14SH01257,T4947,2,0,8.4,84,,50,02,Pregnant EL,0,
14SH01258,R9366,1,0,11.0,110,,50,07,Mature Ram,0,
14SH01259,R8405,1,0,16.0,160,,50,07,Mature Ram,0,
14SH01260,H7260,1,0,7.2,72,,50,30,Mature Ram,0,
14SH01261,T2482,1,0,11.0,110,,50,02,Mature Ram,0,
14SH01262,H7150,1,0,9.8,98,,50,30,Mature Ram,0,
14SH01263,R9425,1,0,13.2,132,,50,07,Mature Ram,0,
14SH01264,T3158,1,0,12.0,120,,50,02,Mature Ram,0,
14SH01265,K4756,1,0,13.4,134,,50,06,Mature Ram,0,
14SH01266,T4186,1,0,12.2,122,,50,02,Mature Ram,0,
14SH01267,H7508,1,0,9.0,90,,50,30,Mature Ram,0,
14SH01268,H7809,1,0,11.0,110,,50,30,Mature Ram,0,
14SH01269,X8804,1,0,12.2,122,,50,TC,TC  Mature Ram,0,
14SH01270,R8760,1,0,14.8,148,,50,07,Mature Ram,0,
14SH01271,K4658,1,0,14.4,144,,50,06,Mature Ram,0,
14SH01272,L0845,1,0,7.4,74,,50,PC,Mature Ram,0,
14SH01273,H7881,1,0,8.2,82,,50,30,Mature Ram,0,
14SH01274,Z1286,1,0,15.2,152,,50,CM,CM  Mature Ram,0,
14SH01275,Z1456,1,0,6.2,62,,50,Tx,Tx  Mature Ram,0,
14SH01276,H7424,1,0,8.2,82,,50,30,Mature Ram,0,
14SH01277,R9215,1,0,13.4,134,,50,07,Mature Ram,0,
14SH01278,H7919,1,0,8.8,88,,50,30,Mature Ram,0,
14SH01279,T2922,1,0,13.8,138,,50,02,Mature Ram,0,
14SH01280,K4863,1,0,13.4,134,,50,06,Mature Ram,0,
14SH01281,R9205,1,0,12.8,128,,50,07,Mature Ram,0,
14SH01282,T3250,1,0,17.4,174,,50,02,Mature Ram,0,
14SH01283,R8421,1,0,13.0,130,,50,07,Mature Ram,0,
14SH01284,T4639,1,0,12.6,126,,50,02,Mature Ram,0,
14SH01285,H7410,1,0,10.4,104,,50,30,Mature Ram,0,
14SH01286,R9327,1,0,10.4,104,,50,07,Mature Ram,0,
14SH01287,T3862,1,0,11.8,118,,50,02,Mature Ram,0,
14SH01288,H7412,1,0,10.6,106,,50,30,Mature Ram,0,
14SH01289,K4858,1,0,14.2,142,,50,06,Mature Ram,0,
14SH01290,T4414,1,0,11.4,114,,50,02,Mature Ram,0,
14SH01291,X9950,1,0,12.2,122,,50,CM,CM  Mature Ram,0,
14SH01292,T4336,1,0,14.6,146,,50,02,Mature Ram,0,
14SH01293,K4800,1,0,14.8,148,,50,06,Mature Ram,0,
14SH01294,T4656,1,0,11.8,118,,50,02,Mature Ram,0,
14SH01295,T4636,1,0,11.2,112,,50,02,Mature Ram,0,
14SH01296,T3077,1,0,14.2,142,,50,02,Mature Ram,0,
