UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK
05SH00115,2000447759,44,T7759,14.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00116,2002642546,64,K2546,13.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00117,2003050471,05,H0471,10.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00118,2002113649,11,R3649,15.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00119,2003114202,11,R4202,15.2,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00120,2003642814,64,K2814,14.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00121,2001048879,04,A8879,9.0,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00122,2002642129,64,K2129,13.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00123,2003050501,05,H0501,10.8,56,6,1,2005-03-15,74,MATURE RAM,M,
05SH00124,2002049285,04,A9285,9.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00125,2000047199,04,A7199,6.6,58,5,1,2005-03-15,74,MATURE RAM,M,"X, ABS. SHOU."
05SH00126,2003114093,11,R4093,12.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00127,2003449774,44,T9774,11.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00128,2003449690,44,T9690,13.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00129,2001112570,11,R2570,14.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00130,2003114146,11,R4146,16.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00131,2002050253,05,P0253,9.6,56,6,1,2005-03-15,74,MATURE RAM,M,
05SH00132,2003114227,11,R4227,9.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00133,2003642947,64,K2947,11.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00134,2003449684,44,T9684,13.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00135,2003050562,05,H0562,11.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00136,2003642901,64,K2901,12.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00137,2002113179,11,R3179,17.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00138,2003114186,11,R4186,13.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00139,2003642918,64,K2918,12.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00140,2003449603,44,T9603,11.6,62,3,1,2005-03-15,74,MATURE RAM,M,
