UID,ID9,YR,BRD,ETAG,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
94SH00130, 91101380,91,10,S1380,2,10,150,3.7,8.2,62,3,,75,1994-03-16,1994-04-25,1,,94,07,3.0
94SH00131, 90100868,90,10,S0868,2,13,175,3.0,6.6,62,3,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00132, 91101755,91,10,S1755,2,11,0,4.1,9.0,62,3,,75,1994-03-16,,,,94,07,3.0
94SH00133, 91101637,91,10,S1637,2,12,185,3.4,7.5,62,3,,75,1994-03-16,1994-04-25,1,,94,07,3.0
94SH00134, 92102954,92,10,S2954,2,10,162,3.2,7.1,64,2,,75,1994-03-16,1994-04-25,1,,94,07,2.0
94SH00135, 91101810,91,10,S1810,2,13,168,3.7,8.2,64,2,,75,1994-03-16,1994-04-25,1,,94,42,3.0
94SH00136, 91102025,91,10,S2025,2,11,163,4.3,9.5,62,3,,75,1994-03-16,1994-04-19,1,,94,07,3.0
94SH00137, 91101413,91,10,S1413,2,10,152,3.1,6.8,64,2,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00138, 92635886,92,63,K5886,2,61,172,3.9,8.6,58,5,,75,1994-03-16,1994-04-29,2,,94,06,2.0
94SH00139, 90100385,90,10,S0385,2,11,150,3.1,6.8,62,3,,75,1994-03-16,1994-04-29,2,,94,07,4.0
94SH00140, 92102934,92,10,S2934,2,11,136,2.9,6.4,64,2,,75,1994-03-16,1994-04-29,2,,94,07,2.0
94SH00141, 92636299,92,63,K6299,2,68,174,3.7,8.2,58,5,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00142, 92635915,92,63,K5915,2,60,167,4.5,9.9,56,6,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00143, 91101845,91,10,S1845,2,10,195,4.2,9.3,60,4,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00144, 90100350,90,10,S0350,2,12,175,2.7,6.0,62,3,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00145, 87632552,87,63,K2552,2,68,189,4.2,9.3,56,6,,75,1994-03-16,1994-04-25,1,,94,06,7.0
94SH00146, 92636080,92,63,K6080,2,61,182,3.3,7.3,62,3,,75,1994-03-16,1994-04-29,2,,94,06,2.0
94SH00147, 90634453,90,63,K4453,2,62,256,5.3,11.7,54,7,,75,1994-03-16,1994-04-25,1,,94,06,4.0
94SH00148, 92636013,92,63,K6013,2,61,189,4.1,9.0,56,6,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00149, 90100929,90,10,S0929,2,13,193,3.8,8.4,62,3,,75,1994-03-16,1994-04-19,2,,94,07,4.0
94SH00150, 92635879,92,63,K5879,2,60,213,3.6,7.9,62,3,,75,1994-03-16,1994-05-10,5,,94,06,2.0
94SH00151, 92636492,92,63,K6492,2,60,169,3.5,7.7,62,3,,75,1994-03-16,1994-04-19,2,,94,06,2.0
94SH00152, 92102814,92,10,S2814,2,13,168,3.3,7.3,64,2,,75,1994-03-16,1994-04-29,2,,94,07,2.0
94SH00153, 90634728,90,63,K4728,2,61,220,4.5,9.9,58,5,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00154, 90100642,90,10,S0642,2,10,142,3.5,7.7,56,6,,75,1994-03-16,1994-05-04,1,,94,41,4.0
94SH00155, 92102541,92,10,S2541,2,10,159,2.7,6.0,64,2,,75,1994-03-16,1994-04-19,2,,94,07,2.0
94SH00156, 92636118,92,63,K6118,2,60,178,3.3,7.3,62,3,,75,1994-03-16,1994-05-10,5,,94,06,2.0
94SH00157, 92102846,92,10,S2846,2,13,159,4.0,8.8,56,6,,75,1994-03-16,1994-05-04,1,,94,42,2.0
94SH00158, 90634676,90,63,K4676,2,61,249,4.1,9.0,56,6,,75,1994-03-16,1994-04-19,2,,94,06,4.0
94SH00159, 91101898,91,10,S1898,2,13,177,4.3,9.5,62,3,,75,1994-03-16,1994-04-19,1,,94,07,3.0
94SH00160, 92102982,92,10,S2982,2,10,165,4.8,10.6,58,5,,75,1994-03-16,1994-04-19,2,,94,42,2.0
94SH00161, 90100340,90,10,S0340,2,12,170,4.3,9.5,60,4,,75,1994-03-16,1994-05-09,2,,94,07,4.0
94SH00162, 91101532,91,10,S1532,2,10,189,3.4,7.5,60,4,,75,1994-03-16,1994-05-09,2,,94,07,3.0
94SH00163, 92103000,92,10,S3000,2,11,160,2.5,5.5,64,2,,75,1994-03-16,1994-04-19,1,,94,07,2.0
94SH00164, 92636163,92,63,K6163,2,68,132,3.0,6.6,60,4,,75,1994-03-16,1994-04-19,1,,94,06,2.0
94SH00165, 89199640,89,19,S9640,2,12,198,4.1,9.0,58,5,,75,1994-03-16,1994-04-29,2,,94,07,5.0
