UID,ETAG,DATE,DAY,KG,LBS,FLWT,GRFL
20SH00626,L2207,2020-02-19,50,66,145,70,7.0
20SH00627,L2208,2020-02-19,50,63,138,70,7.0
20SH00628,L2209,2020-02-19,50,66,144,60,6.0
20SH00629,L2210,2020-02-20,51,73,161,80,8.0
20SH00630,L2211,2020-02-19,50,71,156,80,8.0
20SH00631,L2212,2020-02-20,51,71,155,70,7.0
20SH00632,L2213,2020-02-20,51,63,138,70,7.0
20SH00633,L2216,2020-02-20,51,86,188,90,9.0
20SH00634,L2220,2020-02-20,51,82,179,60,6.0
20SH00635,L2221,2020-02-19,50,78,171,50,5.0
20SH00636,L2222,2020-02-20,51,75,164,60,6.0
20SH00637,L2225,2020-02-19,50,67,146,60,6.0
20SH00638,L2226,2020-02-20,51,69,151,80,8.0
20SH00639,L2227,2020-02-19,50,72,157,80,8.0
20SH00640,L2228,2020-02-20,51,61,134,60,6.0
20SH00641,L2230,2020-02-19,50,63,139,70,7.0
20SH00642,L2231,2020-02-20,51,80,176,80,8.0
20SH00643,L2232,2020-02-19,50,74,163,70,7.0
20SH00644,L2233,2020-02-20,51,57,125,60,6.0
20SH00645,L2234,2020-02-19,50,72,157,70,7.0
20SH00646,L2236,2020-02-20,51,79,173,60,6.0
20SH00647,L2240,2020-02-20,51,79,174,70,7.0
20SH00648,L2241,2020-02-20,51,66,145,50,5.0
20SH00649,L2242,2020-02-19,50,75,165,90,9.0
20SH00650,L2244,2020-02-20,51,60,132,80,8.0
20SH00651,L2245,2020-02-19,50,74,162,50,5.0
20SH00652,L2247,2020-02-20,51,69,151,90,9.0
20SH00653,L2248,2020-02-19,50,66,144,70,7.0
20SH00654,L2249,2020-02-19,50,74,163,80,8.0
20SH00655,L2250,2020-02-19,50,82,179,80,8.0
20SH00656,L2251,2020-02-19,50,72,158,80,8.0
20SH00657,L2252,2020-02-19,50,71,156,70,7.0
20SH00658,L2253,2020-02-20,51,59,130,60,6.0
20SH00659,L2255,2020-02-19,50,80,176,60,6.0
20SH00660,L2256,2020-02-19,50,74,163,50,5.0
20SH00661,L2258,2020-02-19,50,79,174,70,7.0
20SH00662,L2259,2020-02-20,51,78,172,100,10.0
20SH00663,L2262,2020-02-20,51,67,146,80,8.0
20SH00664,L2264,2020-02-19,50,79,174,80,8.0
20SH00665,L2268,2020-02-19,50,79,173,90,9.0
20SH00666,L2269,2020-02-19,50,78,172,80,8.0
20SH00667,L2270,2020-02-20,51,77,169,90,9.0
20SH00668,L2271,2020-02-19,50,63,139,60,6.0
20SH00669,L2272,2020-02-20,51,62,136,70,7.0
20SH00670,L2273,2020-02-20,51,84,184,90,9.0
20SH00671,L2274,2020-02-20,51,73,160,60,6.0
20SH00672,L2275,2020-02-19,50,67,147,70,7.0
20SH00673,L2276,2020-02-19,50,82,180,90,9.0
20SH00674,L2278,2020-02-19,50,60,132,50,5.0
20SH00675,L2280,2020-02-19,50,80,176,60,6.0
20SH00676,L2281,2020-02-20,51,72,158,60,6.0
20SH00677,L2282,2020-02-20,51,74,163,100,10.0
20SH00678,L2283,2020-02-20,51,79,174,80,8.0
20SH00679,L2284,2020-02-20,51,73,160,80,8.0
20SH00680,L2286,2020-02-19,50,71,155,90,9.0
20SH00681,L2287,2020-02-19,50,71,155,90,9.0
20SH00682,L2291,2020-02-20,51,60,132,60,6.0
20SH00683,L2293,2020-02-20,51,74,163,70,7.0
20SH00684,L2297,2020-02-19,50,76,167,70,7.0
20SH00685,L2298,2020-02-20,51,67,146,50,5.0
20SH00686,L2299,2020-02-19,50,63,139,70,7.0
20SH00687,L2300,2020-02-19,50,72,158,60,6.0
20SH00688,L2301,2020-02-20,51,76,167,80,8.0
20SH00689,L2302,2020-02-20,51,69,152,60,6.0
20SH00690,L2304,2020-02-19,50,79,174,80,8.0
20SH00691,L2305,2020-02-20,51,51,111,50,5.0
20SH00692,L2306,2020-02-20,51,57,124,70,7.0
20SH00693,L2307,2020-02-20,51,76,166,70,7.0
20SH00694,L2310,2020-02-20,51,56,123,60,6.0
20SH00695,L2311,2020-02-20,51,70,153,70,7.0
20SH00696,L2312,2020-02-20,51,62,136,70,7.0
20SH00697,L2313,2020-02-20,51,86,188,90,9.0
20SH00698,L2315,2020-02-20,51,61,134,50,5.0
20SH00699,L2316,2020-02-19,50,76,167,80,8.0
20SH00700,L2318,2020-02-20,51,69,151,60,6.0
20SH00701,L2320,2020-02-19,50,68,150,60,6.0
20SH00702,L2321,2020-02-20,51,65,142,80,8.0
20SH00703,L2322,2020-02-19,50,83,183,90,9.0
20SH00704,L2323,2020-02-20,51,71,156,60,6.0
20SH00705,L2324,2020-02-20,51,64,141,60,6.0
20SH00706,L2327,2020-02-20,51,62,135,40,4.0
20SH00707,L2328,2020-02-20,51,70,154,80,8.0
20SH00708,L2330,2020-02-20,51,59,129,70,7.0
20SH00709,L2334,2020-02-20,51,55,121,50,5.0
20SH00710,L2335,2020-02-19,50,83,182,80,8.0
20SH00711,L2337,2020-02-19,50,58,128,70,7.0
20SH00712,L2338,2020-02-20,51,64,140,60,6.0
20SH00713,L2340,2020-02-20,51,70,153,70,7.0
20SH00714,L2341,2020-02-19,50,70,153,90,9.0
20SH00715,L2343,2020-02-20,51,77,168,80,8.0
20SH00716,L2344,2020-02-19,50,65,143,60,6.0
20SH00717,L2345,2020-02-20,51,69,152,60,6.0
20SH00718,L2346,2020-02-19,50,70,154,70,7.0
20SH00719,L2348,2020-02-19,50,65,143,60,6.0
20SH00720,L2349,2020-02-20,51,80,176,70,7.0
20SH00721,L2354,2020-02-20,51,70,153,80,8.0
20SH00722,L2356,2020-02-19,50,76,167,80,8.0
20SH00723,L2358,2020-02-20,51,66,145,70,7.0
20SH00724,L2359,2020-02-19,50,64,140,60,6.0
20SH00725,L2364,2020-02-20,51,69,151,50,5.0
20SH00726,L2367,2020-02-20,51,59,129,70,7.0
20SH00727,L2368,2020-02-20,51,73,160,70,7.0
20SH00728,L2369,2020-02-20,51,79,174,50,5.0
20SH00729,L2370,2020-02-20,51,60,132,50,5.0
20SH00730,L2371,2020-02-20,51,68,150,60,6.0
20SH00731,L2372,2020-02-20,51,66,144,50,5.0
20SH00732,L2373,2020-02-19,50,53,116,60,6.0
20SH00733,L2374,2020-02-19,50,69,151,70,7.0
20SH00734,L2376,2020-02-19,50,73,160,40,4.0
20SH00735,L2379,2020-02-20,51,64,141,70,7.0
20SH00736,L2383,2020-02-19,50,70,154,70,7.0
20SH00737,L2384,2020-02-20,51,74,162,60,6.0
20SH00738,L2389,2020-02-20,51,80,176,70,7.0
20SH00739,L2390,2020-02-19,50,76,167,90,9.0
20SH00740,L2391,2020-02-20,51,65,142,60,6.0
20SH00741,L2398,2020-02-20,51,59,130,60,6.0
20SH00742,L2401,2020-02-20,51,55,120,60,6.0
20SH00743,L2402,2020-02-20,51,57,125,60,6.0
20SH00744,L2408,2020-02-19,50,62,135,50,5.0
20SH00745,L2409,2020-02-20,51,67,146,70,7.0
20SH00746,L2412,2020-02-20,51,60,131,50,5.0
20SH00747,L2413,2020-02-20,51,57,125,60,6.0
20SH00748,L2417,2020-02-19,50,74,163,50,5.0
20SH00749,L2418,2020-02-20,51,62,136,60,6.0
20SH00750,L2419,2020-02-19,50,69,151,50,5.0
20SH00751,L2420,2020-02-19,50,63,138,50,5.0
20SH00752,M0013,2020-02-18,49,78,171,120,12.0
20SH00753,M0014,2020-02-18,49,75,164,100,10.0
20SH00754,M0019,2020-02-18,49,78,172,120,12.0
20SH00755,M0024,2020-02-18,49,76,166,40,4.0
20SH00756,M0031,2020-02-19,50,103,226,110,11.0
20SH00757,M0033,2020-02-19,50,69,152,70,7.0
20SH00758,M0036,2020-02-18,49,88,194,100,10.0
20SH00759,M0049,2020-02-19,50,92,201,130,13.0
20SH00760,M0050,2020-02-19,50,89,195,140,14.0
20SH00761,M0053,2020-02-20,51,72,157,50,5.0
20SH00762,M0059,2020-02-19,50,79,173,100,10.0
20SH00763,M0062,2020-02-20,51,87,190,90,9.0
20SH00764,M0068,2020-02-18,49,73,160,100,10.0
20SH00765,M0075,2020-02-19,50,75,165,80,8.0
20SH00766,M0081,2020-02-20,51,77,168,60,6.0
20SH00767,M0082,2020-02-19,50,76,167,70,7.0
20SH00768,M0084,2020-02-20,51,74,163,80,8.0
20SH00769,M0087,2020-02-18,49,70,153,90,9.0
20SH00770,M0089,2020-02-18,49,76,166,120,12.0
20SH00771,M0097,2020-02-19,50,82,180,90,9.0
20SH00772,M0098,2020-02-18,49,70,154,80,8.0
20SH00773,M0100,2020-02-18,49,68,149,70,7.0
20SH00774,M0113,2020-02-19,50,84,185,80,8.0
20SH00775,M0125,2020-02-18,49,78,172,90,9.0
20SH00776,M0128,2020-02-20,51,75,165,80,8.0
20SH00777,M0132,2020-02-20,51,83,182,60,6.0
20SH00778,M0144,2020-02-19,50,65,142,70,7.0
20SH00779,M0149,2020-02-20,51,73,161,70,7.0
20SH00780,M0154,2020-02-20,51,63,139,70,7.0
20SH00781,M0158,2020-02-20,51,63,138,60,6.0
20SH00782,M0159,2020-02-19,50,71,155,60,6.0
20SH00783,M0162,2020-02-19,50,66,144,60,6.0
20SH00784,M0163,2020-02-19,50,65,142,70,7.0
20SH00785,M0165,2020-02-19,50,64,140,60,6.0
20SH00786,M0166,2020-02-19,50,63,139,60,6.0
20SH00787,M0168,2020-02-20,51,68,149,60,6.0
20SH00788,M0172,2020-02-20,51,67,146,80,8.0
20SH00789,M0174,2020-02-20,51,75,164,50,5.0
20SH00790,M0180,2020-02-20,51,86,188,60,6.0
20SH00791,M0182,2020-02-20,51,54,118,70,7.0
20SH00792,M0183,2020-02-20,51,64,140,70,7.0
20SH00793,M0184,2020-02-19,50,74,163,70,7.0
20SH00794,M0185,2020-02-20,51,59,130,70,7.0
20SH00795,M0187,2020-02-19,50,57,124,90,9.0
20SH00796,M0191,2020-02-19,50,65,142,70,7.0
20SH00797,M0194,2020-02-20,51,61,134,50,5.0
20SH00798,M0197,2020-02-20,51,69,152,80,8.0
20SH00799,M0201,2020-02-19,50,56,122,70,7.0
20SH00800,M0211,2020-02-20,51,67,147,60,6.0
20SH00801,M0217,2020-02-19,50,62,135,60,6.0
20SH00802,M0218,2020-02-19,50,58,128,60,6.0
20SH00803,M0223,2020-02-19,50,69,152,70,7.0
20SH00804,M0224,2020-02-19,50,58,127,50,5.0
20SH00805,M0232,2020-02-20,51,66,144,70,7.0
20SH00806,M0233,2020-02-20,51,59,130,80,8.0
20SH00807,M0234,2020-02-19,50,72,157,80,8.0
20SH00808,M0236,2020-02-20,51,63,139,50,5.0
20SH00809,M0237,2020-02-19,50,70,153,50,5.0
20SH00810,M0238,2020-02-20,51,62,135,60,6.0
20SH00811,M0239,2020-02-20,51,68,150,80,8.0
20SH00812,M0245,2020-02-19,50,63,139,60,6.0
20SH00813,M0247,2020-02-20,51,63,139,60,6.0
20SH00814,M0249,2020-02-19,50,56,122,60,6.0
20SH00815,M0259,2020-02-19,50,61,133,60,6.0
20SH00816,M0263,2020-02-20,51,80,176,70,7.0
20SH00817,M0268,2020-02-19,50,66,145,70,7.0
20SH00818,M0271,2020-02-19,50,66,144,60,6.0
20SH00819,M0274,2020-02-20,51,71,156,80,8.0
20SH00820,M0282,2020-02-19,50,67,147,90,9.0
20SH00821,M0296,2020-02-20,51,65,142,50,5.0
20SH00822,M0301,2020-02-19,50,57,125,70,7.0
20SH00823,M0314,2020-02-20,51,63,139,60,6.0
20SH00824,M0319,2020-02-20,51,64,140,70,7.0
20SH00825,M0320,2020-02-19,50,62,136,60,6.0
20SH00826,M0322,2020-02-20,51,71,155,70,7.0
20SH00827,M0325,2020-02-19,50,70,153,60,6.0
20SH00828,M0331,2020-02-19,50,71,155,60,6.0
20SH00829,M0349,2020-02-19,50,63,139,60,6.0
20SH00830,M0350,2020-02-19,50,62,136,80,8.0
20SH00831,M0353,2020-02-19,50,66,144,60,6.0
20SH00832,R9570,2020-02-18,49,91,200,120,12.0
20SH00833,R9574,2020-02-18,49,71,155,110,11.0
20SH00834,R9579,2020-02-18,49,79,174,90,9.0
20SH00835,R9589,2020-02-18,49,86,189,100,10.0
20SH00836,R9592,2020-02-18,49,88,193,140,14.0
20SH00837,R9599,2020-02-18,49,86,188,100,10.0
20SH00838,R9613,2020-02-18,49,74,163,90,9.0
20SH00839,R9630,2020-02-18,49,81,178,105,10.5
20SH00840,R9632,2020-02-18,49,102,223,90,9.0
20SH00841,R9633,2020-02-18,49,99,217,100,10.0
20SH00842,R9639,2020-02-18,49,96,211,120,12.0
20SH00843,R9640,2020-02-18,49,90,197,100,10.0
20SH00844,R9650,2020-02-18,49,84,184,100,10.0
20SH00845,R9662,2020-02-18,49,85,186,100,10.0
20SH00846,R9673,2020-02-18,49,92,202,120,12.0
20SH00847,R9686,2020-02-18,49,90,197,120,12.0
20SH00848,R9695,2020-02-18,49,82,179,90,9.0
