original_id10,hx_id10,birth_year,breed,etag
1947175485,HX00001376,1947,17,5485
1947175489,HX00001377,1947,17,5489
1947175493,HX00001378,1947,17,5493
1947175496,HX00001379,1947,17,5496
1947175500,HX00001380,1947,17,5500
1947175501,HX00001381,1947,17,5501
1947175503,HX00001382,1947,17,5503
1947175504,HX00001383,1947,17,5504
1947175505,HX00001384,1947,17,5505
1947175508,HX00001385,1947,17,5508
1947175511,HX00001386,1947,17,5511
1947175519,HX00001387,1947,17,5519
1947175521,HX00001388,1947,17,5521
1947175527,HX00001389,1947,17,5527
1947175529,HX00001390,1947,17,5529
1947175534,HX00001391,1947,17,5534
1947175535,HX00001392,1947,17,5535
1947175539,HX00001393,1947,17,5539
1947175543,HX00001394,1947,17,5543
1947175546,HX00001395,1947,17,5546
1947175550,HX00001396,1947,17,5550
1947403650,HX00001397,1947,40,3650
1947403654,HX00001398,1947,40,3654
1947403656,HX00001399,1947,40,3656
1947403669,HX00001400,1947,40,3669
1947403670,HX00001401,1947,40,3670
1947403671,HX00001402,1947,40,3671
1947403674,HX00001403,1947,40,3674
1947403677,HX00001404,1947,40,3677
1947403700,HX00001405,1947,40,3700
1947403713,HX00001406,1947,40,3713
1947403716,HX00001407,1947,40,3716
1947403718,HX00001408,1947,40,3718
1947403720,HX00001409,1947,40,3720
1947403721,HX00001410,1947,40,3721
1947403730,HX00001411,1947,40,3730
1947403734,HX00001412,1947,40,3734
1947403745,HX00001413,1947,40,3745
1947403752,HX00001414,1947,40,3752
1947403756,HX00001415,1947,40,3756
1947403762,HX00001416,1947,40,3762
1947403766,HX00001417,1947,40,3766
1947403767,HX00001418,1947,40,3767
1947403770,HX00001419,1947,40,3770
1947403786,HX00001420,1947,40,3786
1947403787,HX00001421,1947,40,3787
1947403797,HX00001422,1947,40,3797
1947403801,HX00001423,1947,40,3801
1947403804,HX00001424,1947,40,3804
1947403807,HX00001425,1947,40,3807
1947403808,HX00001426,1947,40,3808
1947403809,HX00001427,1947,40,3809
1947403814,HX00001428,1947,40,3814
1947403824,HX00001429,1947,40,3824
1947403825,HX00001430,1947,40,3825
1947403830,HX00001431,1947,40,3830
1947403832,HX00001432,1947,40,3832
1947403836,HX00001433,1947,40,3836
1947403846,HX00001434,1947,40,3846
1947403848,HX00001435,1947,40,3848
1947403852,HX00001436,1947,40,3852
1947403855,HX00001437,1947,40,3855
1947403859,HX00001438,1947,40,3859
1947403860,HX00001439,1947,40,3860
1947403870,HX00001440,1947,40,3870
1947403878,HX00001441,1947,40,3878
1947403886,HX00001442,1947,40,3886
1947403892,HX00001443,1947,40,3892
1947403894,HX00001444,1947,40,3894
1947403902,HX00001445,1947,40,3902
1947403906,HX00001446,1947,40,3906
1947403909,HX00001447,1947,40,3909
1947403922,HX00001448,1947,40,3922
1947403928,HX00001449,1947,40,3928
1947403931,HX00001450,1947,40,3931
1947403938,HX00001451,1947,40,3938
1947403939,HX00001452,1947,40,3939
1947403947,HX00001453,1947,40,3947
1947403948,HX00001454,1947,40,3948
1947403949,HX00001455,1947,40,3949
1947403952,HX00001456,1947,40,3952
1947403955,HX00001457,1947,40,3955
1947403966,HX00001458,1947,40,3966
1947403980,HX00001459,1947,40,3980
1947403989,HX00001460,1947,40,3989
1947403990,HX00001461,1947,40,3990
1947403994,HX00001462,1947,40,3994
1947404000,HX00001463,1947,40,4000
1947404003,HX00001464,1947,40,4003
1947481022,HX00001465,1947,48,1022
1947481023,HX00001466,1947,48,1023
1947481026,HX00001467,1947,48,1026
1947481027,HX00001468,1947,48,1027
1947481030,HX00001469,1947,48,1030
1947481034,HX00001470,1947,48,1034
1947481041,HX00001471,1947,48,1041
1947481047,HX00001472,1947,48,1047
1947481056,HX00001473,1947,48,1056
1947481057,HX00001474,1947,48,1057
1947481073,HX00001475,1947,48,1073
1947481075,HX00001476,1947,48,1075
1947481076,HX00001477,1947,48,1076
1947481077,HX00001478,1947,48,1077
1947481081,HX00001479,1947,48,1081
1947481082,HX00001480,1947,48,1082
1947481084,HX00001481,1947,48,1084
1947481085,HX00001482,1947,48,1085
1947481086,HX00001483,1947,48,1086
1947481089,HX00001484,1947,48,1089
1947481091,HX00001485,1947,48,1091
1947481094,HX00001486,1947,48,1094
1947481098,HX00001487,1947,48,1098
1947481099,HX00001488,1947,48,1099
1947481103,HX00001489,1947,48,1103
1947481109,HX00001490,1947,48,1109
1947481111,HX00001491,1947,48,1111
1947481115,HX00001492,1947,48,1115
1947481118,HX00001493,1947,48,1118
1947481119,HX00001494,1947,48,1119
1947481123,HX00001495,1947,48,1123
1947481124,HX00001496,1947,48,1124
1947481126,HX00001497,1947,48,1126
1947481129,HX00001498,1947,48,1129
1947481131,HX00001499,1947,48,1131
1947481145,HX00001500,1947,48,1145
1947481148,HX00001501,1947,48,1148
1947481155,HX00001502,1947,48,1155
1947481159,HX00001503,1947,48,1159
1947481160,HX00001504,1947,48,1160
1947481165,HX00001505,1947,48,1165
1947481172,HX00001506,1947,48,1172
1947481174,HX00001507,1947,48,1174
1947481176,HX00001508,1947,48,1176
1947481177,HX00001509,1947,48,1177
1947481181,HX00001510,1947,48,1181
1947481184,HX00001511,1947,48,1184
1947481187,HX00001512,1947,48,1187
1947481191,HX00001513,1947,48,1191
1947481192,HX00001514,1947,48,1192
1947481198,HX00001515,1947,48,1198
1947481199,HX00001516,1947,48,1199
1947481200,HX00001517,1947,48,1200
1947481203,HX00001518,1947,48,1203
1947481210,HX00001519,1947,48,1210
1947481211,HX00001520,1947,48,1211
1947481212,HX00001521,1947,48,1212
1947481216,HX00001522,1947,48,1216
1947481225,HX00001523,1947,48,1225
1947481227,HX00001524,1947,48,1227
1947481233,HX00001525,1947,48,1233
1947481236,HX00001526,1947,48,1236
1947481243,HX00001527,1947,48,1243
1947481254,HX00001528,1947,48,1254
1947481257,HX00001529,1947,48,1257
1947481259,HX00001530,1947,48,1259
1947481260,HX00001531,1947,48,1260
1947481265,HX00001532,1947,48,1265
1947481266,HX00001533,1947,48,1266
1947481272,HX00001534,1947,48,1272
1947481291,HX00001535,1947,48,1291
1947481302,HX00001536,1947,48,1302
1947481303,HX00001537,1947,48,1303
1947481309,HX00001538,1947,48,1309
1947481312,HX00001539,1947,48,1312
1947481323,HX00001540,1947,48,1323
1947481331,HX00001541,1947,48,1331
1947481332,HX00001542,1947,48,1332
1947481338,HX00001543,1947,48,1338
1947481341,HX00001544,1947,48,1341
1947481347,HX00001545,1947,48,1347
1947481362,HX00001546,1947,48,1362
1947481368,HX00001547,1947,48,1368
1947481381,HX00001548,1947,48,1381
1947481387,HX00001549,1947,48,1387
1947481390,HX00001550,1947,48,1390
1947481407,HX00001551,1947,48,1407
1947606148,HX00001552,1947,60,6148
1947606154,HX00001553,1947,60,6154
1947606156,HX00001554,1947,60,6156
1947606159,HX00001555,1947,60,6159
1947606162,HX00001556,1947,60,6162
1947606166,HX00001557,1947,60,6166
1947606175,HX00001558,1947,60,6175
1947606176,HX00001559,1947,60,6176
1947606179,HX00001560,1947,60,6179
1947606182,HX00001561,1947,60,6182
1947606184,HX00001562,1947,60,6184
1947606193,HX00001563,1947,60,6193
1947606196,HX00001564,1947,60,6196
1947606199,HX00001565,1947,60,6199
1947606208,HX00001566,1947,60,6208
1947606214,HX00001567,1947,60,6214
1947606218,HX00001568,1947,60,6218
1947606221,HX00001569,1947,60,6221
1947606227,HX00001570,1947,60,6227
1947606228,HX00001571,1947,60,6228
1947606229,HX00001572,1947,60,6229
1947606232,HX00001573,1947,60,6232
1947606233,HX00001574,1947,60,6233
1947606235,HX00001575,1947,60,6235
1947606236,HX00001576,1947,60,6236
1947606237,HX00001577,1947,60,6237
1947606239,HX00001578,1947,60,6239
1947606241,HX00001579,1947,60,6241
1947606244,HX00001580,1947,60,6244
1947606247,HX00001581,1947,60,6247
1947606249,HX00001582,1947,60,6249
1947606251,HX00001583,1947,60,6251
1947606253,HX00001584,1947,60,6253
1947606255,HX00001585,1947,60,6255
1947606266,HX00001586,1947,60,6266
1947606271,HX00001587,1947,60,6271
1947606275,HX00001588,1947,60,6275
1947606276,HX00001589,1947,60,6276
1947606282,HX00001590,1947,60,6282
1947606286,HX00001591,1947,60,6286
1947606289,HX00001592,1947,60,6289
1947606301,HX00001593,1947,60,6301
1947606303,HX00001594,1947,60,6303
1947606316,HX00001595,1947,60,6316
1947606320,HX00001596,1947,60,6320
1947606322,HX00001597,1947,60,6322
1947606323,HX00001598,1947,60,6323
1947606330,HX00001599,1947,60,6330
1947606334,HX00001600,1947,60,6334
1947606339,HX00001601,1947,60,6339
1947606343,HX00001602,1947,60,6343
1947606355,HX00001603,1947,60,6355
1947606375,HX00001604,1947,60,6375
1947606382,HX00001605,1947,60,6382
1947606386,HX00001606,1947,60,6386
1947606390,HX00001607,1947,60,6390
1947606392,HX00001608,1947,60,6392
1947606395,HX00001609,1947,60,6395
1947606396,HX00001610,1947,60,6396
1947606398,HX00001611,1947,60,6398
1947606403,HX00001612,1947,60,6403
1947606404,HX00001613,1947,60,6404
1947606407,HX00001614,1947,60,6407
1947606411,HX00001615,1947,60,6411
1947606412,HX00001616,1947,60,6412
1947606414,HX00001617,1947,60,6414
1947606420,HX00001618,1947,60,6420
1947606422,HX00001619,1947,60,6422
1947606425,HX00001620,1947,60,6425
1947606427,HX00001621,1947,60,6427
1947606429,HX00001622,1947,60,6429
1947606430,HX00001623,1947,60,6430
1947606436,HX00001624,1947,60,6436
1947606441,HX00001625,1947,60,6441
1947606450,HX00001626,1947,60,6450
1947606452,HX00001627,1947,60,6452
1947606453,HX00001628,1947,60,6453
1947606457,HX00001629,1947,60,6457
1947606458,HX00001630,1947,60,6458
1947606459,HX00001631,1947,60,6459
1947606465,HX00001632,1947,60,6465
1947606466,HX00001633,1947,60,6466
1947606470,HX00001634,1947,60,6470
1947606483,HX00001635,1947,60,6483
1947606485,HX00001636,1947,60,6485
1947606503,HX00001637,1947,60,6503
1947606516,HX00001638,1947,60,6516
1947606518,HX00001639,1947,60,6518
1947606524,HX00001640,1947,60,6524
1947606526,HX00001641,1947,60,6526
1947606531,HX00001642,1947,60,6531
1947606535,HX00001643,1947,60,6535
1947606541,HX00001644,1947,60,6541
1947606546,HX00001645,1947,60,6546
1947606549,HX00001646,1947,60,6549
1947606556,HX00001647,1947,60,6556
1947606573,HX00001648,1947,60,6573
1947606577,HX00001649,1947,60,6577
1947606586,HX00001650,1947,60,6586
1947606590,HX00001651,1947,60,6590
1947606591,HX00001652,1947,60,6591
1947606592,HX00001653,1947,60,6592
