UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,ID10,SIREID10,DAMID10,SIRE_PRE_CUTOFF,DAM_PRE_CUTOFF
02PE00069,102048961,100816945,101048319,02,04,A8961,81,Z6945,04,A8319,80,2002048961,2000816945,2001048319,0,0
02PE00070,102048962,100816945,101048319,02,04,A8962,81,Z6945,04,A8319,80,2002048962,2000816945,2001048319,0,0
02PE00071,102048963, 99046501, 99046678,02,04,A8963,04,A6501,04,A6678,30,2002048963,1999046501,1999046678,0,0
02PE00072,102048964, 99046501, 99046678,02,04,A8964,04,A6501,04,A6678,30,2002048964,1999046501,1999046678,0,0
02PE00073,102048965, 99046501, 99046678,02,04,A8965,04,A6501,04,A6678,30,2002048965,1999046501,1999046678,0,0
02PE00074,102048966,100047355,100047369,02,04,A8966,04,A7355,04,A7369,30,2002048966,2000047355,2000047369,0,0
02PE00075,102048967,100047355,100047369,02,04,A8967,04,A7355,04,A7369,30,2002048967,2000047355,2000047369,0,0
02PE00076,102048968, 99046761,101048157,02,04,A8968,04,A6761,04,A8157,73,2002048968,1999046761,2001048157,0,0
02PE00077,102048969,100816945,101048515,02,04,A8969,81,Z6945,04,A8515,80,2002048969,2000816945,2001048515,0,0
02PE00078,102048970,100816945,101048515,02,04,A8970,81,Z6945,04,A8515,80,2002048970,2000816945,2001048515,0,0
02PE00079,102048971, 97044142,101048268,02,04,A8971,04,A4142,04,A8268,72,2002048971,1997044142,2001048268,0,0
02PE00080,102048972, 97044142,101048268,02,04,A8972,04,A4142,04,A8268,72,2002048972,1997044142,2001048268,0,0
02PE00081,102048973, 97044142,101048268,02,04,A8973,04,A4142,04,A8268,72,2002048973,1997044142,2001048268,0,0
02PE00082,102048974, 99046761,101048299,02,04,A8974,04,A6761,04,A8299,80,2002048974,1999046761,2001048299,0,0
02PE00083,102048975, 99046563,101048174,02,04,A8975,04,A6563,04,A8174,73,2002048975,1999046563,2001048174,0,0
02PE00084,102048976, 99046563,101048174,02,04,A8976,04,A6563,04,A8174,73,2002048976,1999046563,2001048174,0,0
02PE00085,102048977, 99046827,101048685,02,04,A8977,04,A6827,04,A8685,30,2002048977,1999046827,2001048685,0,0
02PE00086,102048978, 99046827,101048685,02,04,A8978,04,A6827,04,A8685,30,2002048978,1999046827,2001048685,0,0
02PE00087,102048979, 99046563,101048407,02,04,A8979,04,A6563,04,A8407,73,2002048979,1999046563,2001048407,0,0
02PE00088,102048980, 97044142,101048616,02,04,A8980,04,A4142,04,A8616,72,2002048980,1997044142,2001048616,0,0
02PE00089,102048981,100816945,101048673,02,04,A8981,81,Z6945,04,A8673,80,2002048981,2000816945,2001048673,0,0
02PE00090,102048982,100816945,101048673,02,04,A8982,81,Z6945,04,A8673,80,2002048982,2000816945,2001048673,0,0
02PE00091,102048983, 99046642,101048294,02,04,A8983,04,A6642,04,A8294,30,2002048983,1999046642,2001048294,0,0
02PE00092,102048984, 99046827,101048863,02,04,A8984,04,A6827,04,A8863,30,2002048984,1999046827,2001048863,0,0
02PE00093,102048985, 99046934, 97814375,02,04,A8985,04,A6934,81,Z4375,80,2002048985,1999046934,1997814375,0,0
02PE00094,102048986,100047882,100047866,02,04,A8986,04,A7882,04,A7866,30,2002048986,2000047882,2000047866,0,0
02PE00095,102048987, 99046501,100047313,02,04,A8987,04,A6501,04,A7313,30,2002048987,1999046501,2000047313,0,0
02PE00096,102048988, 99046501,100047313,02,04,A8988,04,A6501,04,A7313,30,2002048988,1999046501,2000047313,0,0
02PE00097,102048989, 99046761,101048236,02,04,A8989,04,A6761,04,A8236,30,2002048989,1999046761,2001048236,0,0
02PE00098,102048990, 99046761,101048443,02,04,A8990,04,A6761,04,A8443,30,2002048990,1999046761,2001048443,0,0
02PE00099,102048991, 99046761,101048443,02,04,A8991,04,A6761,04,A8443,30,2002048991,1999046761,2001048443,0,0
02PE00100,102048992,100816945,101048493,02,04,A8992,81,Z6945,04,A8493,80,2002048992,2000816945,2001048493,0,0
02PE00101,102048993,100816945,101048493,02,04,A8993,81,Z6945,04,A8493,80,2002048993,2000816945,2001048493,0,0
02PE00102,102048994,100047506, 95041927,02,04,A8994,04,A7506,04,A1927,30,2002048994,2000047506,1995041927,0,0
02PE00103,102048995,100047506, 95041927,02,04,A8995,04,A7506,04,A1927,30,2002048995,2000047506,1995041927,0,0
02PE00104,102048996, 99046563,101817083,02,04,A8996,04,A6563,81,Z7083,80,2002048996,1999046563,2001817083,0,0
02PE00105,102048997, 99046563,101817083,02,04,A8997,04,A6563,81,Z7083,80,2002048997,1999046563,2001817083,0,0
02PE00106,102048998, 99046501, 99090121,02,04,A8998,04,A6501,09,90121,30,2002048998,1999046501,1999090121,0,0
02PE00107,102048999, 99046501, 99090121,02,04,A8999,04,A6501,09,90121,30,2002048999,1999046501,1999090121,0,0
02PE00108,102049000, 99046642,101817253,02,04,A9000,04,A6642,81,Z7253,80,2002049000,1999046642,2001817253,0,0
02PE00109,102049001, 99046642,101817253,02,04,A9001,04,A6642,81,Z7253,80,2002049001,1999046642,2001817253,0,0
02PE00110,102049002, 99046827,101048500,02,04,A9002,04,A6827,04,A8500,30,2002049002,1999046827,2001048500,0,0
02PE00111,102049003, 99046827,101048500,02,04,A9003,04,A6827,04,A8500,30,2002049003,1999046827,2001048500,0,0
02PE00112,102049004, 97044142,101048396,02,04,A9004,04,A4142,04,A8396,72,2002049004,1997044142,2001048396,0,0
02PE00113,102049005, 97044142,101048396,02,04,A9005,04,A4142,04,A8396,72,2002049005,1997044142,2001048396,0,0
02PE00114,102049006, 99046642,101048181,02,04,A9006,04,A6642,04,A8181,80,2002049006,1999046642,2001048181,0,0
02PE00115,102049007, 99046642,101048181,02,04,A9007,04,A6642,04,A8181,80,2002049007,1999046642,2001048181,0,0
02PE00116,102049008, 97044203,101048780,02,04,A9008,04,A4203,04,A8780,72,2002049008,1997044203,2001048780,0,0
02PE00117,102049009, 97044203,101048780,02,04,A9009,04,A4203,04,A8780,72,2002049009,1997044203,2001048780,0,0
02PE00118,102049010, 99046563,101048439,02,04,A9010,04,A6563,04,A8439,30,2002049010,1999046563,2001048439,0,0
02PE00119,102049011, 99046563,101048439,02,04,A9011,04,A6563,04,A8439,30,2002049011,1999046563,2001048439,0,0
02PE00120,102049012,100816925,101048414,02,04,A9012,81,Z6925,04,A8414,80,2002049012,2000816925,2001048414,0,0
02PE00121,102049013, 99046761,101048172,02,04,A9013,04,A6761,04,A8172,30,2002049013,1999046761,2001048172,0,0
02PE00122,102049014, 99046761,101048172,02,04,A9014,04,A6761,04,A8172,30,2002049014,1999046761,2001048172,0,0
02PE00123,102049015,100047105, 98045103,02,04,A9015,04,A7105,04,A5103,30,2002049015,2000047105,1998045103,0,0
02PE00124,102049016, 99046529, 97044129,02,04,A9016,04,A6529,04,A4129,30,2002049016,1999046529,1997044129,0,0
02PE00125,102049017, 99046529, 97044129,02,04,A9017,04,A6529,04,A4129,30,2002049017,1999046529,1997044129,0,0
02PE00126,102049018, 99046529, 97044129,02,04,A9018,04,A6529,04,A4129,30,2002049018,1999046529,1997044129,0,0
02PE00127,102049019, 99046501, 99091174,02,04,A9019,04,A6501,09,91174,30,2002049019,1999046501,1999091174,0,0
02PE00128,102049020, 99046501, 99091174,02,04,A9020,04,A6501,09,91174,30,2002049020,1999046501,1999091174,0,0
02PE00129,102049021, 99046998, 97044211,02,04,A9021,04,A6998,04,A4211,72,2002049021,1999046998,1997044211,0,0
02PE00130,102049022, 99046998, 97044211,02,04,A9022,04,A6998,04,A4211,72,2002049022,1999046998,1997044211,0,0
02PE00131,102049023, 99046501, 98045776,02,04,A9023,04,A6501,04,A5776,30,2002049023,1999046501,1998045776,0,0
02PE00132,102049024, 99046501, 98045776,02,04,A9024,04,A6501,04,A5776,30,2002049024,1999046501,1998045776,0,0
02PE00133,102049025, 99046501, 98045776,02,04,A9025,04,A6501,04,A5776,30,2002049025,1999046501,1998045776,0,0
02PE00134,102049026, 99046641, 97044756,02,04,A9026,04,A6641,04,A4756,30,2002049026,1999046641,1997044756,0,0
02PE00135,102049027,100047133, 99046211,02,04,A9027,04,A7133,04,A6211,30,2002049027,2000047133,1999046211,0,0
02PE00136,102049029, 99046563,101817240,02,04,A9029,04,A6563,81,Z7240,80,2002049029,1999046563,2001817240,0,0
02PE00137,102049030, 99046563,101817240,02,04,A9030,04,A6563,81,Z7240,80,2002049030,1999046563,2001817240,0,0
02PE00138,102049031, 99046501, 96043969,02,04,A9031,04,A6501,04,A3969,30,2002049031,1999046501,1996043969,0,0
02PE00139,102049032, 99046501, 96043969,02,04,A9032,04,A6501,04,A3969,30,2002049032,1999046501,1996043969,0,0
02PE00140,102049033, 99046501, 96043969,02,04,A9033,04,A6501,04,A3969,30,2002049033,1999046501,1996043969,0,0
02PE00141,102049034, 99046761,101048578,02,04,A9034,04,A6761,04,A8578,30,2002049034,1999046761,2001048578,0,0
02PE00142,102049035,100047882, 99046341,02,04,A9035,04,A7882,04,A6341,30,2002049035,2000047882,1999046341,0,0
02PE00143,102049036, 99046641, 99090059,02,04,A9036,04,A6641,09,90059,30,2002049036,1999046641,1999090059,0,0
02PE00144,102049037, 99046641, 99090059,02,04,A9037,04,A6641,09,90059,30,2002049037,1999046641,1999090059,0,0
02PE00145,102049038, 99046641, 99090059,02,04,A9038,04,A6641,09,90059,30,2002049038,1999046641,1999090059,0,0
02PE00146,102049039,100047506, 96042884,02,04,A9039,04,A7506,04,A2884,30,2002049039,2000047506,1996042884,0,0
02PE00147,102049040,100047506, 96042884,02,04,A9040,04,A7506,04,A2884,30,2002049040,2000047506,1996042884,0,0
02PE00148,102049041,100047506, 96042884,02,04,A9041,04,A7506,04,A2884,30,2002049041,2000047506,1996042884,0,0
02PE00149,102049042, 97044142,101048528,02,04,A9042,04,A4142,04,A8528,72,2002049042,1997044142,2001048528,0,0
02PE00150,102049043,100047355, 99046419,02,04,A9043,04,A7355,04,A6419,30,2002049043,2000047355,1999046419,0,0
02PE00151,102049044,100047355, 99046419,02,04,A9044,04,A7355,04,A6419,30,2002049044,2000047355,1999046419,0,0
02PE00152,102049045,100047882, 99046542,02,04,A9045,04,A7882,04,A6542,30,2002049045,2000047882,1999046542,0,0
02PE00153,102049046,100047882, 99046542,02,04,A9046,04,A7882,04,A6542,30,2002049046,2000047882,1999046542,0,0
02PE00154,102049047, 99046998, 97044740,02,04,A9047,04,A6998,04,A4740,30,2002049047,1999046998,1997044740,0,0
02PE00155,102049048, 99046998, 97044740,02,04,A9048,04,A6998,04,A4740,30,2002049048,1999046998,1997044740,0,0
02PE00156,102049049, 97044142,101048362,02,04,A9049,04,A4142,04,A8362,72,2002049049,1997044142,2001048362,0,0
02PE00157,102049050, 97044142,101048362,02,04,A9050,04,A4142,04,A8362,72,2002049050,1997044142,2001048362,0,0
02PE00158,102049051, 99046827,101048531,02,04,A9051,04,A6827,04,A8531,30,2002049051,1999046827,2001048531,0,0
02PE00159,102049052, 99046827,101048531,02,04,A9052,04,A6827,04,A8531,30,2002049052,1999046827,2001048531,0,0
02PE00160,102049053, 99046501,100000657,02,04,A9053,04,A6501,00,00657,30,2002049053,1999046501,2000000657,0,0
02PE00161,102049054, 99046501,100000657,02,04,A9054,04,A6501,00,00657,30,2002049054,1999046501,2000000657,0,0
02PE00162,102049055,100047882, 97044453,02,04,A9055,04,A7882,04,A4453,30,2002049055,2000047882,1997044453,0,0
02PE00163,102049056,100047882, 97044453,02,04,A9056,04,A7882,04,A4453,30,2002049056,2000047882,1997044453,0,0
02PE00164,102049057,100047882, 97044453,02,04,A9057,04,A7882,04,A4453,30,2002049057,2000047882,1997044453,0,0
02PE00165,102049058,100047355, 97044258,02,04,A9058,04,A7355,04,A4258,72,2002049058,2000047355,1997044258,0,0
02PE00166,102049059,100047355, 97044258,02,04,A9059,04,A7355,04,A4258,72,2002049059,2000047355,1997044258,0,0
02PE00167,102049060, 99046563,101048199,02,04,A9060,04,A6563,04,A8199,73,2002049060,1999046563,2001048199,0,0
02PE00168,102049061, 99046563,101048199,02,04,A9061,04,A6563,04,A8199,73,2002049061,1999046563,2001048199,0,0
02PE00169,102049062, 99046641, 98008727,02,04,A9062,04,A6641,00, 8727,30,2002049062,1999046641,1998008727,0,0
02PE00170,102049063, 99046641, 98008727,02,04,A9063,04,A6641,00, 8727,30,2002049063,1999046641,1998008727,0,0
02PE00171,102049064,100047598, 96043546,02,04,A9064,04,A7598,04,A3546,30,2002049064,2000047598,1996043546,0,0
02PE00172,102049065,100047598, 96043546,02,04,A9065,04,A7598,04,A3546,30,2002049065,2000047598,1996043546,0,0
02PE00173,102049066,100047598,100047236,02,04,A9066,04,A7598,04,A7236,30,2002049066,2000047598,2000047236,0,0
02PE00174,102049067, 99046641, 97814592,02,04,A9067,04,A6641,81,Z4592,80,2002049067,1999046641,1997814592,0,0
02PE00175,102049068, 99046641, 97814592,02,04,A9068,04,A6641,81,Z4592,80,2002049068,1999046641,1997814592,0,0
02PE00176,102049069, 99046641, 97814592,02,04,A9069,04,A6641,81,Z4592,80,2002049069,1999046641,1997814592,0,0
02PE00177,102049070,100047355, 96043481,02,04,A9070,04,A7355,04,A3481,30,2002049070,2000047355,1996043481,0,0
02PE00178,102049071,100047355, 96043481,02,04,A9071,04,A7355,04,A3481,30,2002049071,2000047355,1996043481,0,0
02PE00179,102049072,100047355, 96043481,02,04,A9072,04,A7355,04,A3481,30,2002049072,2000047355,1996043481,0,0
02PE00180,102049073, 99046501, 99090791,02,04,A9073,04,A6501,09,90791,30,2002049073,1999046501,1999090791,0,0
02PE00181,102049074, 99046501, 99090791,02,04,A9074,04,A6501,09,90791,30,2002049074,1999046501,1999090791,0,0
