UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YR,LAMB_BRD,LAMB_ETAG,SIRE_YR,SIRE_BRD,SIRE_ETAG,DAM_YR,DAM_BRD,DAM_ETAG
50PE00157,50130849,47910109,47138894,1950130849,1947910109,1947138894,50,13,0849,47,91,0109,47,13,8894
50PE00158,50130732,47910109,48139195,1950130732,1947910109,1948139195,50,13,0732,47,91,0109,48,13,9195
50PE00159,50130751,47910109,48139217,1950130751,1947910109,1948139217,50,13,0751,47,91,0109,48,13,9217
50PE00160,50130787,47910109,48139313,1950130787,1947910109,1948139313,50,13,0787,47,91,0109,48,13,9313
50PE00161,50130902,47910109,48139411,1950130902,1947910109,1948139411,50,13,0902,47,91,0109,48,13,9411
50PE00162,50131301,47910109,48139472,1950131301,1947910109,1948139472,50,13,1301,47,91,0109,48,13,9472
50PE00163,50130939,47910109,48139489,1950130939,1947910109,1948139489,50,13,0939,47,91,0109,48,13,9489
50PE00164,50131043,47910109,48139646,1950131043,1947910109,1948139646,50,13,1043,47,91,0109,48,13,9646
50PE00165,50130749,47910109,48139686,1950130749,1947910109,1948139686,50,13,0749,47,91,0109,48,13,9686
50PE00166,50131030,47910109,48139752,1950131030,1947910109,1948139752,50,13,1030,47,91,0109,48,13,9752
50PE00167,50131117,47910109,48139813,1950131117,1947910109,1948139813,50,13,1117,47,91,0109,48,13,9813
50PE00168,50176307,47910109,42173277,1950176307,1947910109,1942173277,50,17,6307,47,91,0109,42,17,3277
50PE00169,50176327,47910109,44174541,1950176327,1947910109,1944174541,50,17,6327,47,91,0109,44,17,4541
50PE00170,50176328,47910109,44174541,1950176328,1947910109,1944174541,50,17,6328,47,91,0109,44,17,4541
50PE00171,50176468,47910109,46175336,1950176468,1947910109,1946175336,50,17,6468,47,91,0109,46,17,5336
50PE00172,50176470,47910109,46175336,1950176470,1947910109,1946175336,50,17,6470,47,91,0109,46,17,5336
50PE00173,50176329,47910109,47175508,1950176329,1947910109,1947175508,50,17,6329,47,91,0109,47,17,5508
50PE00174,50176413,47910109,48175604,1950176413,1947910109,1948175604,50,17,6413,47,91,0109,48,17,5604
50PE00175,50176314,47910109,48175721,1950176314,1947910109,1948175721,50,17,6314,47,91,0109,48,17,5721
50PE00176,50113258,48910110,42110962,1950113258,1948910110,1942110962,50,11,3258,48,91,0110,42,11,0962
50PE00177,50113259,48910110,42110962,1950113259,1948910110,1942110962,50,11,3259,48,91,0110,42,11,0962
50PE00178,50113191,48910110,43111211,1950113191,1948910110,1943111211,50,11,3191,48,91,0110,43,11,1211
50PE00179,50113074,48910110,44111459,1950113074,1948910110,1944111459,50,11,3074,48,91,0110,44,11,1459
50PE00180,50113274,48910110,44111604,1950113274,1948910110,1944111604,50,11,3274,48,91,0110,44,11,1604
50PE00181,50113275,48910110,44111604,1950113275,1948910110,1944111604,50,11,3275,48,91,0110,44,11,1604
50PE00182,50113193,48910110,45111701,1950113193,1948910110,1945111701,50,11,3193,48,91,0110,45,11,1701
50PE00183,50113127,48910110,45111711,1950113127,1948910110,1945111711,50,11,3127,48,91,0110,45,11,1711
50PE00184,50113281,48910110,45111713,1950113281,1948910110,1945111713,50,11,3281,48,91,0110,45,11,1713
