UID,LAMB,SIRE,DAM
55PE00635,55142551,53141166,49130353
55PE00636,55142552,53141166,49130353
55PE00637,55142553,53141505,51140003
55PE00638,55142554,53141505,51140003
55PE00639,55142555,51910116,49130704
55PE00640,55142556,51910116,49130704
55PE00641,55142557,52140549,50131088
55PE00642,55142558,53141348,49130050
55PE00643,55142559,53141348,49130050
55PE00644,55142560,52140693,51140078
55PE00645,55142561,52140693,51140078
55PE00646,55142562,53141414,52140628
55PE00647,55142563,53141414,52140628
55PE00648,55142564,52140511,52140365
55PE00649,55142565,52140781,46138361
55PE00650,55142566,52140412,53140903
55PE00651,55142567,53141414,53141134
55PE00652,55142568,52140511,52140518
55PE00653,55142569,52140546,53140921
55PE00654,55142570,51910116,53141368
55PE00655,55142571,53141414,53141197
55PE00656,55142572,52140528,51131894
55PE00657,55142573,51131604,53141080
55PE00658,55142574,52140781,53141413
55PE00659,55142575,53140974,53140985
55PE00660,55142576,52140412,52140694
55PE00661,55142577,51140069,51140111
55PE00662,55142578,51140069,51140111
55PE00663,55142579,51140069,51131593
55PE00664,55142580,53141505,52140735
55PE00665,55142581,53141505,52140735
55PE00666,55142582,53141323,49130275
55PE00667,55142583,53141323,49130275
55PE00668,55142584,52140546,53141447
55PE00669,55142585,52140781,49130270
55PE00670,55142586,52140781,49130270
55PE00671,55142587,53177166,50130905
55PE00672,55142588,53177166,50130905
55PE00673,55142589,52113685,50131409
55PE00674,55142590,52113685,50131409
55PE00675,55142591,53141008,51131707
55PE00676,55142592,53141008,51131707
55PE00677,55142593,51140069,50130737
55PE00678,55142594,51140069,50130737
55PE00679,55142595,51140069,53141035
55PE00680,55142596,52140412,51131933
55PE00681,55142597,51910116,51131696
55PE00682,55142598,53141037,52140611
55PE00683,55142599,52910117,53140956
55PE00684,55142600,52140549,52140482
55PE00685,55142601,52140396,51131636
55PE00686,55142602,53141209,50130976
55PE00687,55142603,52910117,53141498
55PE00688,55142604,53141348,50130896
55PE00689,55142605,52910117,53140990
55PE00690,55142606,53141414,51140193
55PE00691,55142607,53141414,52140627
55PE00692,55142608,51910116,48139713
55PE00693,55142609,51910116,48139713
55PE00694,55142610,53141414,49130646
55PE00695,55142611,53141414,49130646
55PE00696,55142612,52140781,50130853
55PE00697,55142613,52140781,50130853
55PE00698,55142614,52910117,47138617
55PE00699,55142615,52910117,47138617
55PE00700,55142616,53141505,48139635
55PE00701,55142617,53141505,48139635
55PE00702,55142618,53141414,52140704
55PE00703,55142619,51131604,53141133
55PE00704,55142620,51140069,52140745
55PE00705,55142621,52113685,50131305
55PE00706,55142622,51910116,53140980
55PE00707,55142623,52113685,53141104
55PE00708,55142624,51131604,50131328
55PE00709,55142625,51131604,50131328
55PE00710,55142626,53141276,53141170
55PE00711,55142627,53140908,47138771
55PE00712,55142628,53141045,48139447
55PE00713,55142629,53141166,52140522
55PE00714,55142630,51131604,50131014
55PE00715,55142631,53141348,53141279
55PE00716,55142632,53140908,53141426
55PE00717,55142633,53141037,51131885
55PE00718,55142634,52140528,50130858
55PE00719,55142635,52140693,52140655
55PE00720,55142636,53177166,53141423
55PE00721,55142637,53140939,52140867
55PE00722,55142638,53141505,53141007
55PE00723,55142639,53141505,53141007
55PE00724,55142640,53140935,51131845
55PE00725,55142641,53140935,51131845
55PE00726,55142642,53141414,53140911
55PE00727,55142643,53141414,53140911
55PE00728,55142644,51140069,49130100
55PE00729,55142645,51140069,49130100
55PE00730,55142646,53141037,49130173
55PE00731,55142647,53141037,49130173
55PE00732,55142648,53140935,51131825
55PE00733,55142649,53141240,51131975
55PE00734,55142650,53141088,51131493
55PE00735,55142651,51910116,48139909
55PE00736,55142652,51140069,48139750
55PE00737,55142653,53141323,53140986
55PE00738,55142654,52140549,52140758
55PE00739,55142655,52140549,52140758
55PE00740,55142656,53140974,51140085
55PE00741,55142657,51131604,48139405
