UID,LAMBID,SIREID,DAMID,ID10,STM,SIRE4,DAM4
EEPE00332,1950130813,1947139115,1948139826,1950130813,07,9115,9826
EEPE00333,1950130814,1947138697,1947139165,1950130814,07,8697,9165
EEPE00334,1950130815,1947139015,1948139311,1950130815,07,9015,9311
EEPE00335,1950130816,1947138697,1948139215,1950130816,07,8697,9215
EEPE00336,1950130818,1948112594,1942135189,1950130818,07,2594,5189
EEPE00337,1950130819,         0,1948139365,1950130819,00,   0,9365
EEPE00338,1950130820,1948139262,1947139130,1950130820,07,9262,9130
EEPE00339,1950130821,1948139262,1947139130,1950130821,07,9262,9130
EEPE00340,1950130822,1948139263,1946138294,1950130822,07,9263,8294
EEPE00341,1950130823,1947175430,1942134640,1950130823,07,5430,4640
EEPE00342,1950130824,1948139263,1946137868,1950130824,07,9263,7868
EEPE00343,1950130825,1948139263,1946137868,1950130825,07,9263,7868
EEPE00344,1950130826,1947910109,1947138744,1950130826,07,0109,8744
EEPE00345,1950130827,1948139552,1945137563,1950130827,07,9552,7563
EEPE00346,1950130828,1948139552,1945137563,1950130828,07,9552,7563
EEPE00347,1950130829,1946138414,1944136768,1950130829,07,8414,6768
EEPE00348,1950130830,1948112744,1945137714,1950130830,07,2744,7714
EEPE00349,1950130831,1948112744,1945137714,1950130831,07,2744,7714
EEPE00350,1950130832,         0,1948139667,1950130832,00,   0,9667
EEPE00351,1950130833,1948139263,1943135822,1950130833,07,9263,5822
EEPE00352,1950130834,1947910109,1945137028,1950130834,07,0109,7028
EEPE00353,1950130835,1948112744,1946137882,1950130835,07,2744,7882
EEPE00354,1950130836,1948112594,1942135290,1950130836,07,2594,5290
EEPE00355,1950130837,1947139015,1945137121,1950130837,07,9015,7121
EEPE00356,1950130838,1948139262,1947139044,1950130838,07,9262,9044
EEPE00357,1950130839,1946138116,1944136815,1950130839,07,8116,6815
EEPE00358,1950130840,1948139270,1942135372,1950130840,07,9270,5372
EEPE00359,1950130841,1947175430,1946137989,1950130841,07,5430,7989
EEPE00360,1950130842,1948139360,1945137229,1950130842,07,9360,7229
EEPE00361,1950130843,1948139693,1948139598,1950130843,07,9693,9598
EEPE00362,1950130844,         0,1946138230,1950130844,00,   0,8230
EEPE00363,1950130845,         0,1948139728,1950130845,00,   0,9728
EEPE00364,1950130846,1947139115,1948139331,1950130846,07,9115,9331
EEPE00365,1950130847,1946138116,1947138818,1950130847,07,8116,8818
EEPE00366,1950130848,1949130561,1944136294,1950130848,07,0561,6294
EEPE00367,1950130849,1947910109,1947138894,1950130849,07,0109,8894
EEPE00368,1950130850,1948139777,1948139587,1950130850,07,9777,9587
EEPE00369,1950130851,1948139270,1946138113,1950130851,07,9270,8113
EEPE00370,1950130852,1948139360,1942135179,1950130852,07,9360,5179
EEPE00371,1950130853,1948139360,1946138517,1950130853,07,9360,8517
EEPE00372,1950130854,1948139777,1942134720,1950130854,07,9777,4720
EEPE00373,1950130855,1946138414,1943173898,1950130855,07,8414,3898
EEPE00374,1950130856,1948139270,1944136335,1950130856,07,9270,6335
EEPE00375,1950130857,1947138560,1948139530,1950130857,07,8560,9530
EEPE00376,1950130858,1948139777,1948139740,1950130858,07,9777,9740
EEPE00377,1950130859,1948139777,1948139617,1950130859,07,9777,9617
EEPE00378,1950130860,1949130271,1948139571,1950130860,07,0271,9571
EEPE00379,1950130861,1948139539,1946137964,1950130861,07,9539,7964
EEPE00380,1950130862,         0,1947138980,1950130862,00,   0,8980
EEPE00381,1950130863,1948139644,1948139229,1950130863,07,9644,9229
EEPE00382,1950130864,1948139777,1941134370,1950130864,07,9777,4370
EEPE00383,1950130865,1948139777,1941134370,1950130865,07,9777,4370
EEPE00384,1950130866,1948139539,1942134807,1950130866,07,9539,4807
EEPE00385,1950130867,1948139539,1942134807,1950130867,07,9539,4807
