UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
07PE00182,07,05,H3106,05,H0773,05,H1193,30,2007053106,2004050773,2004051193
07PE00183,07,05,H3107,05,H0773,05,H1193,30,2007053107,2004050773,2004051193
07PE00184,07,05,H3108,05,H0773,05,H1193,30,2007053108,2004050773,2004051193
07PE00185,07,05,H3109,05,H1852,05,H1696,30,2007053109,2005051852,2005051696
07PE00186,07,05,H3110,05,H1852,05,H1696,30,2007053110,2005051852,2005051696
07PE00187,07,05,H3111,05,H1914,05,H1241,30,2007053111,2005051914,2004051241
07PE00188,07,05,H3112,05,H1914,05,H1241,30,2007053112,2005051914,2004051241
07PE00189,07,05,H3113,05,H1159,05,H2091,30,2007053113,2004051159,2005052091
07PE00190,07,05,H3114,05,H1159,05,H2091,30,2007053114,2004051159,2005052091
07PE00191,07,05,H3115,05,H2022,05,H2866,30,2007053115,2005052022,2006052866
07PE00192,07,05,H3116,05,H1063,05,H2906,30,2007053116,2004051063,2006052906
07PE00193,07,05,H3117,05,H1063,05,H2906,30,2007053117,2004051063,2006052906
07PE00194,07,05,H3118,05,H1159,05,H1341,30,2007053118,2004051159,2004051341
07PE00195,07,05,H3119,05,H1159,05,H1341,30,2007053119,2004051159,2004051341
07PE00196,07,05,H3120,64,K3500,04,A8443,33,2007053120,2005643500,2001048443
07PE00197,07,05,H3121,64,K3500,04,A8443,33,2007053121,2005643500,2001048443
07PE00198,07,05,H3122,05,H0773,05,H1920,30,2007053122,2004050773,2005051920
07PE00199,07,05,H3123,05,H0773,05,H1920,30,2007053123,2004050773,2005051920
07PE00200,07,05,H3124,05,H0596,05,H2210,30,2007053124,2003050596,2006052210
07PE00201,07,05,H3125,05,H1823,05,H0951,30,2007053125,2005051823,2004050951
07PE00202,07,05,H3126,05,H1823,05,H0951,30,2007053126,2005051823,2004050951
07PE00203,07,05,H3127,05,H1823,05,H0951,30,2007053127,2005051823,2004050951
07PE00204,07,05,H3128,05,H0596,05,H2579,30,2007053128,2003050596,2006052579
07PE00205,07,05,H3129,05,H1852,04,A8274,30,2007053129,2005051852,2001048274
07PE00206,07,05,H3130,05,H1852,04,A8274,30,2007053130,2005051852,2001048274
07PE00207,07,05,H3131,05,H0596,05,H2399,30,2007053131,2003050596,2006052399
07PE00208,07,05,H3132,05,H0596,05,H2399,30,2007053132,2003050596,2006052399
07PE00209,07,05,H3133,05,H1914,05,H0990,30,2007053133,2005051914,2004050990
07PE00210,07,05,H3134,05,H1914,05,H0990,30,2007053134,2005051914,2004050990
07PE00211,07,05,H3135,05,H1914,05,H0990,30,2007053135,2005051914,2004050990
07PE00212,07,05,H3136,05,H2022,05,H2902,30,2007053136,2005052022,2006052902
07PE00213,07,05,H3137,05,H1159,05,H1180,30,2007053137,2004051159,2004051180
07PE00214,07,05,H3138,05,H1159,05,H1956,30,2007053138,2004051159,2005051956
07PE00215,07,05,H3139,05,H1063,05,H2192,30,2007053139,2004051063,2006052192
07PE00216,07,05,H3140,05,H1823,05,H0747,30,2007053140,2005051823,2004050747
07PE00217,07,05,H3141,05,H1823,05,H0747,30,2007053141,2005051823,2004050747
07PE00218,07,05,H3142,05,H1823,05,H0747,30,2007053142,2005051823,2004050747
07PE00219,07,05,H3143,05,H0471,04,A9761,30,2007053143,2003050471,2002049761
07PE00220,07,05,H3144,05,H0471,04,A9761,30,2007053144,2003050471,2002049761
