UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
09LA03346,09,X6045,82,99,e9,X5140,82,1.0,,TC,97,4,0,N,.,041709,107,5,1,3,13.5,5,1,X8183,82,,S3,6,108,54,,8,BLOODY MILK,BRK SHOULDER,.,.,..,TC,J,1,,1,1,1,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03347,09,H0601,05,88,32,07322,00,6.0,,30,30,2,0,N,.,041709,107,9,3,2,7.5,1,1,H5494,05,,30,6,127,23,,,.,.,.,.,..,.,J,1,,1,1,3,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03348,09,H0601,05,88,32,07322,00,6.0,,30,30,2,0,N,.,041709,107,9,3,1,12.0,1,1,H5495,05,,30,,,,,,.,.,.,.,..,.,J,2,,0,0,0,1,1,1.0,98,2009-04-17,0.0,31,140,2,61,183
09LA03349,09,H0601,05,88,32,07322,00,6.0,,30,30,2,0,N,.,041709,107,9,3,2,11.2,1,1,H5496,05,,30,,,,,,.,.,.,.,..,.,J,3,,0,0,0,1,1,1.0,79,2009-04-17,0.0,29,140,2,54,183
09LA03350,09,H1520,05,83,31,07142,00,4.0,,30,30,2,0,N,.,041709,107,3,3,2,7.3,1,1,H5497,05,,30,6,118,23,,,.,.,.,.,..,Flw,J,1,,1,1,4,1,0,0.0,0,2009-04-17,0.0,,,,,
09LA03351,09,H1520,05,83,31,07142,00,4.0,,30,30,2,0,N,.,041709,107,3,3,1,7.1,1,1,H5498,05,,30,,,,,,.,PINK,.,.,..,Flw,J,2,,0,0,0,1,1,1.0,64,2009-04-17,0.0,20,140,2,36,183
09LA03352,09,H1520,05,83,31,07142,00,4.0,,30,30,2,0,N,.,041709,107,3,3,1,10.0,1,1,H5499,05,,30,,,,,,.,.,.,.,..,Flw,J,3,,0,0,0,1,1,1.0,80,2009-04-17,0.0,27,140,2,46,183
09LA03353,09,H1520,05,83,31,07142,00,4.0,,30,30,2,0,N,.,041709,107,3,3,1,7.0,1,1,,,,30,1,107,44,,,.,DAB,.,.,..,Flw,J,4,,0,0,0,0,0,0.0,0,2009-04-17,0.0,,,,,
09LA03354,09,H2460,05,00,br3,X0000,82,3.0,,33,00,1,0,y,X,041709,107,5,2,2,10.8,5,1,X8184,82,,00,,,,,,.,.,5,1,..,BR3,J,1,,1,1,1,1,1,1.0,99,2009-04-17,0.0,28,140,H,62,181
09LA03355,09,H3284,05,88,61,H3144,05,2.0,,30,30,2,0,N,L,041709,107,3,3,2,5.6,1,1,H5500,05,,30,6,134,23,,,.,.,.,.,..,BLD,J,1,,1,1,4,1,0,0.0,0,2009-04-17,0.059,,,,,
