UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLPG1,CLPG2,CLPG3,YRREC
03IN00246,1995042610,A2610,04,A2610,95,2,73,2,30,7,038604,630103,.,,,,F,"B,A",*,,0,0,0,X,93,0113,.,,.,7.5,"LAME, THIN",U,,868,0,0,0,2003
03IN00247,1996042848,A2848,04,A2848,96,2,73,1,30,743,163804,167904,.,,,,3,.,*,,0,0,0,,93,0407,.,,.,7.0,"X,AGE",,,930,0,0,0,2003
03IN00248,1996042873,A2873,04,A2873,96,2,81,1,30,01,073304,382003,.,,,,2, 34,3,,192,188,2,,92,0918,M,,.,7.0,,,,4535,0,0,0,2003
03IN00249,1996042877,A2877,04,A2877,96,2,82,1,30,28,106304,144904,.,,,,2, 34,2,,151,161,2,,92,0918,C,,.,7.0,,,,4533,0,0,0,2003
03IN00250,1996042884,A2884,04,A2884,96,2,82,1,30,27,139904,984503,.,,,,3,F-1,4,,169,158,3,,93,1022,C,,.,7.0,LATE&THICK,,,4933,0,0,0,2003
03IN00251,1996042905,A2905,04,A2905,96,2,ch,1,00,j.9,435344,199804,.,,,,F,"B,A",*,,0,0,0,X,93,0113,.,,L,7.0,,U,,870,0,0,0,2003
03IN00252,1996042908,A2908,04,A2908,96,2,81,1,30,04,094204,021004,.,,,,2, 35,2,,168,159,4,,92,0918,M,,.,7.0,,,,4539,0,0,0,2003
03IN00253,1996042912,A2912,04,A2912,96,2,81,1,30,03,104004,745803,.,,,,3,F-2,4,,180,157,5,,93,1022,M,,.,7.0,,,,4937,0,0,0,2003
03IN00254,1996042919,A2919,04,A2919,96,2,82,1,30,25,103004,669703,.,,,,6,F-1,*,,0,0,0,,76,0205,C,,.,7.0,THIN 2/5/03,,,,0,0,0,2003
03IN00255,1996042961,A2961,04,A2961,96,2,82,1,30,28,106304,754403,.,,,,3,.,H,,198,183,5,,93,1022,C,,.,7.0,RUPTURE&CUT,,,4376,0,0,0,2003
03IN00256,1996043248,A3248,04,A3248,96,2,81,1,30,01,073304,561203,.,,,,3,F-2,4,,159,146,2,,93,1022,M,,.,7.0,R.P. OK,,,4939,0,0,0,2003
03IN00257,1996043249,A3249,04,A3249,96,2,ch,1,31,-2-,207910,131504,.,,,,F,"B,A",*,,0,0,0,X,93,0113,.,,L,7.0,,U,,862,0,0,0,2003
