UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN03034,2009055295,H5295,05,H5295,09,2,,1,30,50,H2789,05,H1515,05,,,,1,,2,,118,151,2,,,,,58,2,1.0,,,,0,1,,0.039,,2010
10IN03035,2009055361,H5361,05,H5361,09,2,,1,30,52,H3271,05,H1627,05,,,,1,,1,,95,131,2,,,,,54,2,1.0,,,,0,1,,0.057,,2010
10IN03036,2009054843,H4843,05,H4843,09,2,,1,30,e24,H2304,05,H3857,05,,,,1,,H,,126,120,2,,,,,58,2,1.0,,,,0,3,,0.039,,2010
10IN03037,2009054961,H4961,05,H4961,09,2,,1,30,54,H3693,05,A9761,04,,,,1,,1,,90,111,2,,93,1007,,53,2,1.0,,,,9755,1,,0.041,,2010
10IN03038,2009055384,H5384,05,H5384,09,2,,1,30,e23,H2490,05,H4192,05,,,,1,,D,,99,131,1,,,,,58,2,1.0,,,,0,1,,0.052,,2010
10IN03039,2009054943,H4943,05,H4943,09,2,,1,30,62,H3669,05,H3418,05,,,,1,,D,,90,136,1,,,,,64,2,1.0,,,,0,1,,0.051,,2010
10IN03040,2009054680,H4680,05,H4680,09,2,,1,30,62,H3669,05,H3373,05,,,,1,,1,,97,139,2,,,,,56,2,1.0,,,,0,1,,0.049,,2010
10IN03041,2009055519,H5519,05,H5519,09,2,,1,30,e18,H3545,05,H3737,05,,,,3,,1,,99,,,,97,0906,,,,1.0,,,,0,1,,0.053,,2010
10IN03042,2009054886,H4886,05,H4886,09,2,,1,30,62,H3669,05,H3439,05,,,,1,,2,,111,139,2,,,,,66,2,1.0,,,,0,1,,0.058,,2010
10IN03043,2009055491,H5491,05,H5491,09,2,,1,30,e24,H2304,05,H4073,05,,,,1,,D,,92,104,1,,93,1007,,,,1.0,Badfvr.wheezy,,,9722,1,,0.036,,2010
10IN03044,2009054831,H4831,05,H4831,09,2,,1,30,62,H3669,05,H3449,05,,,,1,,D,,108,147,2,,,,,68,2,1.0,,,,0,1,,0.05,,2010
