UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
12IN00054,2006052559,H2559,05,H2559,06,2,88,1,30,e32,H0596,05,H1408,05,7,,,1,WSW,2,.,171,180,2,,,,L,55,2,6.0,,Life,,0,1,,0.055,,2012
12IN00055,2006052587,H2587,05,H2587,06,2,00,1,33,3,K0000,64,H0652,05,7,,,6,RN,H,.,227,0,0,,13,0728,X,,,6.0,Wolf kill,CxP,Albmn,0,1,,0.0,,2012
12IN00056,2006052623,H2623,05,H2623,06,2,00,1,33,2,K0000,64,A8413,04,7,,,1,RN,H,.,162,179,2,,,,X,BRT,5,6.0,,CxP,Albmn,0,1,,0.0,,2012
12IN00057,2006052625,H2625,05,H2625,06,2,00,1,33,3,K0000,64,A7069,04,7,,,1,RN,H,.,212,202,2,,,,X,BRT,5,6.0,,CxP,Albmn,0,1,,0.0,,2012
12IN00058,2006052634,H2634,05,H2634,06,2,00,1,33,3,K0000,64,A8434,04,7,,,1,RN,H,.,174,148,2,,93,1024,X,,,6.0,"BUSHY, sa",CxP,Albmn,11498,1,,0.0,,2012
12IN00059,2006052683,H2683,05,H2683,06,2,00,1,33,3,K0000,64,H0643,05,7,,,1,RN,H,.,161,177,2,,,,X,BRT,5,6.0,,CxP,Albmn,0,1,,0.0,,2012
12IN00060,2006052687,H2687,05,H2687,06,2,88,1,30,02,H1168,05,H1384,05,0,,,6,PTH,1,.,0,0,0,,16,0404,.,,,6.0,+CECAL TEAR,Poly,,0,1,,0.044,,2012
12IN00061,2006052704,H2704,05,H2704,06,2,88,1,30,e34,H0994,05,H1862,05,7,,,7,PTH,,.,0,0,0,,97,0201,L,,,6.0,,Life,,0,1,,0.064,,2012
12IN00062,2006052730,H2730,05,H2730,06,2,88,1,30,01,H1311,05,A9927,04,0,,,1,.,1,.,228,218,2,,,,.,54,2,6.0,NICE EWE,Poly,Albmn,0,1,,0.05,,2012
12IN00063,2006052785,H2785,05,H2785,06,2,88,1,30,02,H1168,05,H1134,05,0,,,1,PTH,2,.,132,147,2,,93,1024,.,,,6.0,,Poly,,11477,1,,0.043,,2012
12IN00064,2006052787,H2787,05,H2787,06,2,88,1,30,e32,H0596,05,H1824,05,7,,,1,PTH,H,.,241,221,2,,,,L,59,2,6.0,,Life,,0,1,,0.073,,2012
12IN00065,2006052790,H2790,05,H2790,06,2,88,1,30,04,H1112,05,A6379,04,0,,,6,PTH,,.,0,0,0,,19,0409,.,,,6.0,,Poly,,0,1,,0.034,,2012
12IN00066,2006052805,H2805,05,H2805,06,2,00,1,33,4,K0000,64,A8616,04,7,,,1,RN,H,.,203,211,2,,,,X,BRT,5,6.0,,CxP,Albmn,0,1,,0.0,,2012
12IN00067,2006052810,H2810,05,H2810,06,2,00,1,33,4,K0000,64,A7856,04,7,,,1,RN,H,.,171,173,2,,,,X,BRT,5,6.0,UMB.INFEC,CxP,Albmn,0,1,,0.0,,2012
12IN00068,2006052825,H2825,05,H2825,06,2,00,1,33,1,K0000,64,A7057,04,7,,,3,RN,H,.,202,216,2,,,,X,BRT,5,6.0,PNEU.TX.,CxP,Albmn,0,1,,0.0,,2012
12IN00069,2006052828,H2828,05,H2828,06,2,88,1,30,e32,H0596,05,H1957,05,7,,,1,WSW,1,.,178,167,2,,,,L,57,2,6.0,HAIRY,Life,,0,1,,0.053,,2012
12IN00070,2006052838,H2838,05,H2838,06,2,88,1,30,e32,H0596,05,H1787,05,7,,,1,PTH,1,.,193,181,2,,,,L,57,2,6.0,,Life,,0,1,,0.051,,2012
12IN00071,2006052853,H2853,05,H2853,06,2,88,1,30,01,H1311,05,H0877,05,0,,,1,PTH,2,.,152,164,2,,,,.,54,2,6.0,ALLERGIC,Poly,,0,1,,0.049,,2012
12IN00072,2006052855,H2855,05,H2855,06,2,88,1,30,01,H1311,05,H0877,05,0,,,1,.,1,.,133,155,2,,,,.,59,2,6.0,,Poly,,0,1,,0.049,,2012
12IN00073,2006052882,H2882,05,H2882,06,2,88,1,30,05,H1063,05,A6697,04,0,,,1,.,1,.,166,181,2,,,,.,55,2,6.0,PNEU.TX.,Poly,,0,1,,0.045,,2012
12IN00074,2006052890,H2890,05,H2890,06,2,88,1,30,e31,H1159,05,H1547,05,7,,,1,PTH,1,.,135,142,2,,,,L,BRT,5,6.0,4TEATS,Life,,0,1,,0.053,,2012
12IN00075,2007052932,H2932,05,H2932,07,2,88,1,30,e34,H1063,05,H2354,05,7,,,1,.,D,.,117,132,1,,67,1123,L,BRT,5,5.0,PoorCondition,Life,,0,1,,0.051,,2012
12IN00076,2007052934,H2934,05,H2934,07,2,00,1,33,43,K3132,64,H0954,05,7,,,1,RN,D,Y,189,0,0,,97,0909,X,,,5.0,.,CxP,,0,1,,0.0,,2012
