UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
04IN02902,2003818581,Z8581,81,Z8581,03,2,00,1,03,-2-,730544,156964,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxC,,1193,2004
04IN02903,2003818582,Z8582,81,Z8582,03,2,00,1,00,-2-,000000,156964,7,,,,O,ORE,5,,128,160,1,X,,,X,ORE,O,1.0,,JxC,,1933,2004
04IN02904,2003818583,Z8583,81,Z8583,03,2,00,1,02,-2-,730544,857644,7,,,,1,.,5,,113,139,1,,,,X,66T,1,1.0,NICE,JxT,,0,2004
04IN02905,2003818591,Z8591,81,Z8591,03,2,00,1,80,52N,000081,486704,7,,,,1,.,5,,187,194,1,,,,N,51K,1,1.0,ENTR,SxP,,0,2004
04IN02906,2003818592,Z8592,81,Z8592,03,2,00,1,80,52N,000081,486704,7,,,,1,.,T,,141,162,2,,,,N,52K,1,1.0,,SxP,,0,2004
04IN02907,2003818594,Z8594,81,Z8594,03,2,00,1,31,-2-,746004,272811,0,,,,2, 57,2,,126,139,2,,92,0923,X,.,.,1.0,HAIRY,JxR,,5380,2004
04IN02908,2003818597,Z8597,81,Z8597,03,2,00,1,31,-3-,719804,243211,0,,,,2, 56,1,,130,147,1,,92,0923,X,.,.,1.0,,JxR,,5368,2004
04IN02909,2003818599,Z8599,81,Z8599,03,1,97,1,97,971,0093,477781,0,,DAV,,3,.,Y,,175,0,0,,93,0907,.,.,.,1.0,-SIZE,Bf,,1227,2004
04IN02910,2003818600,Z8600,81,Z8600,03,1,97,1,97,971,0093,477781,0,,DAV,,1,.,Y,,216,0,0,,,,.,.,.,1.0,"ENTR*2, YTEX",Bf,,1226,2004
04IN02911,2003818601,Z8601,81,Z8601,03,2,00,1,31,-3-,719804,029811,0,,,,2, 58,1,,125,133,2,,92,0923,X,.,.,1.0,,JxR,,5389,2004
04IN02912,2003818611,Z8611,81,Z8611,03,2,00,1,01,-1-,792544,020311,0,,,,N,.,2,,139,145,2,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02913,2003818615,Z8615,81,Z8615,03,2,00,1,33,51N,000064,709604,7,,,,1,.,T,,168,169,2,,,,N,972,1,1.0,,CxP,,0,2004
04IN02914,2003818616,Z8616,81,Z8616,03,2,00,1,01,-2-,730544,108511,0,,,,N,.,5,,127,150,1,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02915,2003818617,Z8617,81,Z8617,03,2,00,1,32,-2-,746004,874844,7,,,,2, 53,5,,151,161,1,,92,0923,X,.,.,1.0,,JxT,,5344,2004
04IN02916,2003818623,Z8623,81,Z8623,03,2,00,1,00,BLK,000044,005709,1,,,0,1,BLK,5,,116,149,1,B,,,X,ZZZ,1,1.0,BLACK EWE,Blk,,1167,2004
04IN02917,2003818624,Z8624,81,Z8624,03,2,97,1,97,972,609881,720081,0,,,,1,.,B,,214,239,1,,,,.,971,1,1.0,ENTR,Suff,,1151,2004
04IN02918,2003818625,Z8625,81,Z8625,03,1,97,1,97,972,609881,720081,0,,Syr,,1,.,Y,,219,0,0,,,,.,.,.,1.0,,Bf,,1224,2004
04IN02919,2003818627,Z8627,81,Z8627,03,2,00,1,31,-1-,797704,014800,0,,,,1,.,2,,130,145,2,,,,X,35R,2,1.0,,JxR,,0,2004
04IN02920,2003818628,Z8628,81,Z8628,03,2,00,1,32,-2-,820344,544204,7,,,,2, 52,5,,135,172,1,,92,0923,X,.,.,1.0,,JxP,,5332,2004
04IN02921,2003818630,Z8630,81,Z8630,03,2,00,1,33,51N,000064,449104,7,,,,1,.,T,,156,160,2,,,,N,973,1,1.0,,CxP,,0,2004
04IN02922,2003818633,Z8633,81,Z8633,03,2,00,1,01,-2-,730544,216611,0,,,,U,UTE,1,,122,127,12,X,,,X,UTE,U,1.0,"12 BAG, U",JxR,,0,2004
04IN02923,2003818634,Z8634,81,Z8634,03,2,00,1,01,-2-,730544,216611,0,,,,1,.,2,,129,143,2,,,,X,ZZZ,1,1.0,MASTITIS,JxR,,0,2004
04IN02924,2003818642,Z8642,81,Z8642,03,2,00,1,32,-2-,000044,886804,7,,,,2, 52,5,,147,185,1,,92,0923,X,.,.,1.0,,JxP,,5331,2004
04IN02925,2003818645,Z8645,81,Z8645,03,2,00,1,31,-3-,765904,067700,0,,,,1,.,2,,128,138,2,,,,X,45R,2,1.0,,JxR,,0,2004
04IN02926,2003818654,Z8654,81,Z8654,03,2,00,1,80,52N,000081,563204,7,,,,1,.,T,,169,162,2,,,,N,53K,1,1.0,,SxP,,0,2004
04IN02927,2003818655,Z8655,81,Z8655,03,1,97,1,97,973,715381,789381,0,,Syr,,1,.,Y,,224,0,0,,,,.,.,.,1.0,,Bf,,1228,2004
04IN02928,2003818661,Z8661,81,Z8661,03,2,00,1,80,52N,000081,831004,7,,,,1,.,T,,154,166,2,,,,N,54K,1,1.0,,SxP,,0,2004
04IN02929,2003818664,Z8664,81,Z8664,03,2,97,1,97,972,609881,714181,0,,,,1,.,B,,203,224,1,,,,.,972,1,1.0,NICE,Suff,,1163,2004
04IN02930,2003818679,Z8679,81,Z8679,03,2,00,1,31,-2-,746004,902210,0,,,,1,.,1,,113,127,2,,,,X,36R,2,1.0,,JxR,,0,2004
04IN02931,2003818680,Z8680,81,Z8680,03,2,00,1,01,-2-,730544,902210,0,,,,1,.,2,,130,130,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02932,2003818681,Z8681,81,Z8681,03,2,00,1,01,-2-,730544,902210,0,,,,N,.,1,,109,120,2,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02933,2003818684,Z8684,81,Z8684,03,2,00,1,31,-3-,719804,129100,0,,,,2, 55,1,,152,162,1,,92,0923,X,.,.,1.0,,JxR,,5362,2004
04IN02934,2003818685,Z8685,81,Z8685,03,2,00,1,03,-1-,792544,067000,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxC,,1194,2004
04IN02935,2003818686,Z8686,81,Z8686,03,2,00,1,01,-2-,730544,147000,0,,,,1,.,2,,120,132,2,,,,X,ZZZ,1,1.0,BIG4HER,JxR,,0,2004
04IN02936,2003818689,Z8689,81,Z8689,03,2,00,1,01,-2-,730544,923410,0,,,,1,.,2,,135,126,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02937,2003818694,Z8694,81,Z8694,03,2,00,1,31,-1-,797704,053711,0,,,,1,.,1,,126,148,2,,,,X,36R,2,1.0,,JxR,,0,2004
04IN02938,2003818695,Z8695,81,Z8695,03,2,00,1,33,51N,000064,372904,7,,,,1,.,T,,113,120,2,,,,N,973,1,1.0,,CxP,,0,2004
04IN02939,2003818698,Z8698,81,Z8698,03,2,00,1,32,-2-,730544,628504,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxP,,1188,2004
04IN02940,2003818701,Z8701,81,Z8701,03,2,00,1,31,-3-,807504,178911,0,,,,2, 57,5,,118,143,1,,92,0923,X,.,.,1.0,,JxR,,5378,2004
04IN02941,2003818702,Z8702,81,Z8702,03,2,00,1,31,-3-,765904,178911,0,,,,1,.,2,,113,115,2,,,,X,46R,2,1.0,,JxR,,0,2004
04IN02942,2003818704,Z8704,81,Z8704,03,2,00,1,01,-2-,730544,222011,0,,,,1,.,1,,118,142,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02943,2003818709,Z8709,81,Z8709,03,2,00,1,01,-2-,730544,122511,0,,,,1,.,5,,146,168,1,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02944,2003818715,Z8715,81,Z8715,03,2,00,1,31,-3-,000004,014111,0,,,,1,.,1,,117,133,2,,,,X,34R,2,1.0,ENTR,JxR,,0,2004
04IN02945,2003818724,Z8724,81,Z8724,03,2,00,1,32,-2-,746004,874344,7,,,,2, 53,5,,141,161,1,,92,0923,X,.,.,1.0,,JxT,,5342,2004
04IN02946,2003818725,Z8725,81,Z8725,03,2,97,1,97,972,609881,701581,0,,,,1,.,B,,197,218,1,,,,.,971,1,1.0,,Suff,,1153,2004
04IN02947,2003818726,Z8726,81,Z8726,03,2,97,1,97,972,609881,701581,0,,,,1,.,B,,223,246,1,,,,.,972,1,1.0,ENTR,Suff,,1161,2004
04IN02948,2003818735,Z8735,81,Z8735,03,2,00,1,31,-3-,719804,254911,0,,,,1,.,1,,135,153,2,,,,X,41R,2,1.0,ENTR,JxR,,0,2004
04IN02949,2003818740,Z8740,81,Z8740,03,2,00,1,01,-2-,730544,049311,0,,,,6,.,2,,118,0,0,,04,0901,X,.,.,1.0,,JxR,,0,2004
04IN02950,2003818741,Z8741,81,Z8741,03,2,00,1,01,-2-,000044,049311,0,,,,1,.,2,,140,149,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02951,2003818742,Z8742,81,Z8742,03,2,00,1,01,-2-,000044,049311,0,,,,1,.,2,,141,152,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02952,2003818744,Z8744,81,Z8744,03,2,00,1,01,-1-,000044,252111,0,,,,N,.,2,,131,133,2,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02953,2003818746,Z8746,81,Z8746,03,2,00,1,33,-3-,000004,042364,7,,,,O,ORE,5,,135,170,1,X,,,X,ORE,O,1.0,,JxC,,1934,2004
04IN02954,2003818749,Z8749,81,Z8749,03,2,00,1,01,-1-,000044,250711,0,,,,1,.,2,,111,140,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02955,2003818750,Z8750,81,Z8750,03,2,00,1,01,-1-,000044,250711,0,,,,1,.,2,,138,144,2,,,,X,ZZZ,1,1.0,,JxR,,0,2004
04IN02956,2003818751,Z8751,81,Z8751,03,2,00,1,33,51N,000064,655504,7,,,,1,.,T,,156,149,2,,,,N,971,1,1.0,,CxP,,0,2004
04IN02957,2003818755,Z8755,81,Z8755,03,2,00,1,80,52N,000081,530104,7,,,,6,.,T,,159,0,0,,10,0907,N,.,.,1.0,COYOTE,SxP,,0,2004
04IN02958,2003818762,Z8762,81,Z8762,03,2,00,1,31,-3-,719804,885800,0,,,,U,UTE,1,,104,128,2,X,,,X,UTE,U,1.0,"THIN, U",JxR,,0,2004
04IN02959,2003818763,Z8763,81,Z8763,03,2,00,1,31,-3-,719804,885800,0,,,,3,.,1,,116,124,2,,93,1015,X,.,.,1.0,UTE.PROLAPSE,JxR,,1432,2004
04IN02960,2003818776,Z8776,81,Z8776,03,2,00,1,01,-1-,816444,014311,0,,,,1,.,5,,100,0,0,,93,0524,X,.,.,1.0,RUNT,JxR,,1387,2004
04IN02961,2003818779,Z8779,81,Z8779,03,2,00,1,30,-1-,797704,694304,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxP,,1170,2004
04IN02962,2003818780,Z8780,81,Z8780,03,2,00,1,31,-2-,746004,233011,0,,,,2, 55,1,,149,159,2,,92,0923,X,.,.,1.0,BLOODY MILK,JxR,,5359,2004
04IN02963,2003818784,Z8784,81,Z8784,03,2,00,1,31,-2-,746004,014000,0,,,,1,.,2,,127,144,2,,,,X,37R,2,1.0,,JxR,,0,2004
04IN02964,2003818788,Z8788,81,Z8788,03,2,97,1,97,971,0093,637381,0,,DAV,,1,.,B,,198,211,2,,,,.,973,1,1.0,,Suff,,1128,2004
04IN02965,2003818789,Z8789,81,Z8789,03,2,97,1,97,971,0093,637381,0,,DAV,,1,.,B,,153,165,2,,,,.,972,1,1.0,,Suff,,1136,2004
04IN02966,2003818791,Z8791,81,Z8791,03,2,00,1,01,-1-,792544,801710,0,,,,6,.,2,,160,0,0,,05,0704,X,.,.,1.0,HAIRY,JxR,,0,2004
04IN02967,2003818794,Z8794,81,Z8794,03,2,00,1,31,-2-,746004,025511,0,,,,1,.,2,,125,127,2,,,,X,41R,2,1.0,,JxR,,0,2004
04IN02968,2003818795,Z8795,81,Z8795,03,2,00,1,01,-2-,730544,025511,0,,,,N,.,5,,139,163,1,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02969,2003818812,Z8812,81,Z8812,03,2,00,1,01,-1-,816444,247611,0,,,,N,.,5,,125,146,1,,,,X,DAK,1,1.0,,JxR,,0,2004
04IN02970,2003818833,Z8833,81,Z8833,03,2,00,1,80,52N,000081,587504,7,,,,1,.,T,,173,172,2,,,,N,55K,1,1.0,,SxP,,0,2004
04IN02971,2003818835,Z8835,81,Z8835,03,2,00,1,01,-1-,792544,082311,0,,,,1,.,2,,146,149,2,,,,X,ZZZ,1,1.0,RP,JxR,,0,2004
04IN02972,2003818837,Z8837,81,Z8837,03,2,97,1,97,972,609881,559281,0,,,,6,.,B,,110,103,2,,66,0915,.,.,.,1.0,EMACIATED,Suff,,1162,2004
04IN02973,2003818838,Z8838,81,Z8838,03,2,97,1,97,972,609881,559281,0,,,,1,.,B,,193,223,2,,,,.,971,1,1.0,ENTR,Suff,,1156,2004
04IN02974,2003818846,Z8846,81,Z8846,03,2,00,1,33,-2-,746004,181364,7,,,,1,.,*,,0,0,0,,92,0114,X,.,.,1.0,,JxC,,1187,2004
