UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,DB1,C19,Y5A,C21,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,C4243,FONO,FOPU,TRT2,DB2,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,YR
77LA00080,1977-04-06,2,P5841,01,,70, 21,P1700,01,30,0,,,,50,,1,30,,1,96,8,,230,4,,7,,,,,1,P4761,01,0,0,70,,1,97,0,0,82,0,,,2,77
77LA00081,1977-03-31,2,P5656,01,1,71, 22,P1721,01,30,0,,1,,50,,1,30,,1,90,8,,0,3,,,,,,,1,P4370,01,1,77,71,,1,,1,2,90,10,,,1,77
77LA00082,1977-03-31,1,P5657,01,,71, 22,P1721,01,30,0,,1,,50,,1,30,,1,90,8,,0,3,,,,628118,-,,1,P4370,01,0,48,71,,1,,0,0,85,5,,,2,77
77LA00083,1977-04-11,1,P5959,01,1,70, 22,P1770,01,30,0,,1,,50,,1,30,,1,101,9,,0,2,,,,800418,-,,1,P4370,01,1,47,70,,1,,1,3,82,5,,,1,77
77LA00084,1977-04-11,2,P5960,01,,70, 22,P1770,01,30,0,,,,50,,2,30,,1,101,9,,230,2,,7,,498818,-,,1,P4370,01,0,0,70,,1,97,0,0,88,0,,,2,77
77LA00085,1977-04-11,1,P5961,01,,70, 22,P1770,01,30,0,,1,,50,,1,30,,1,101,9,,0,2,,,,,,,1,P4370,01,0,70,70,,1,,0,0,78,10,,,3,77
77LA00086,1977-04-06,1,P5836,01,1,71, 22,P1879,01,30,0,,1,,45,,1,30,,1,96,8,,0,3,,,,744418,-,,1,P4370,01,1,37,71,,1,,1,2,102,5,,,1,77
77LA00087,1977-04-06,2,P5837,01,,71, 22,P1879,01,30,0,,1,,45,,1,30,,1,96,8,,0,3,,,,,,,1,P4370,01,0,79,71,,1,,0,0,100,10,,,2,77
77LA00088,1977-03-28,2,P5594,01,1,70, 22,P1934,01,30,0,,1,,45,,1,30,,1,87,8,,0,4,,,,,,,1,P4370,01,1,75,70,,1,,1,2,93,10,,,1,77
77LA00089,1977-03-28,2,P5595,01,,70, 22,P1934,01,30,0,,1,,45,,1,30,,1,87,8,,0,4,,,,,,,1,P4370,01,0,54,70,,1,,0,0,79,10,,,2,77
77LA00090,1977-04-01,1,P5681,01,1,70, 21,P2076,01,30,0,,1,,40,,1,30,,1,91,9,,0,2,,,,420518,-,,1,P4761,01,1,67,70,,1,,1,4,77,5,,,1,77
77LA00091,1977-04-01,1,P5682,01,,70, 21,P2076,01,30,0,,1,,40,,1,30,,1,91,9,,0,2,,,,,,,1,P4761,01,0,70,70,,1,,0,0,83,10,,,2,77
77LA00092,1977-04-01,2,P5683,01,,70, 21,P2076,01,30,0,,,,40,,1,30,,1,91,9,,128,2,,6,,,&,,1,P4761,01,0,0,70,,1,,0,0,75,0,,,3,77
77LA00093,1977-04-01,1,P5684,01,,70, 21,P2076,01,30,0,,1,,40,,1,30,,1,91,9,,0,2,,,,840918,-,,1,P4761,01,0,47,70,,1,,0,0,82,5,,,4,77
77LA00094,1977-04-01,3,P5674,01,1,71, 26,P2415,01,30,0,,1,,40,,1,30,,1,91,5,,0,2,,,,,,,1,P4760,01,1,71,71,,1,,1,1,82,10,,,1,77
77LA00095,1977-04-01,2,P5676,01,1,70, 21,P2452,01,30,0,,1,,40,,1,30,,1,91,8,,0,4,,,,,,,1,P4761,01,1,68,70,,1,,1,2,77,10,,,1,77
77LA00096,1977-04-01,2,P5677,01,,70, 21,P2452,01,30,0,,1,,40,,1,30,,1,91,8,,0,4,,,,,,,1,P4761,01,0,56,70,,1,,0,0,68,10,,,2,77
77LA00097,,,,01,1,70, 21,P2500,01,30,0,,,,40,,,30,,,0,,,0,,,,,,,,1,P4761,01,0,0,70,,0,,0,0,0,0,,,1,77
77LA00098,1977-04-11,3,P5957,01,1,70, 21,P2553,01,30,0,,1,,40,,1,30,,1,101,8,,0,3,,,,519062,-,,1,P4761,01,1,63,70,,1,,1,2,90,5,,,1,77
77LA00099,1977-04-11,3,P5958,01,,70, 21,P2553,01,30,0,,1,,40,,1,30,,1,101,8,,0,3,,,,,,,1,P4761,01,0,63,70,,1,,0,0,79,10,,,2,77
77LA00100,1977-03-29,2,P5597,01,1,71, 22,P2591,01,30,0,,1,,40,,1,30,,1,88,8,,0,3,,,,,,,1,P4370,01,1,64,71,,1,,1,2,79,10,,,1,77
77LA00101,1977-03-29,2,P5598,01,,71, 22,P2591,01,30,0,,1,,40,,1,30,,1,88,8,,0,3,,,,,,,1,P4370,01,0,65,71,,1,,0,0,84,10,,,2,77
77LA00102,1977-03-30,3,P5640,01,1,70, 22,P2930,01,30,0,,1,,30,,3,30,,1,89,8,,0,2,,,,,,,1,P4370,01,1,74,70,,1,,1,2,86,10,,,1,77
77LA00103,1977-03-30,3,P5641,01,,70, 22,P2930,01,30,0,,1,,30,,1,30,,1,89,8,,0,2,,,,923718,-,,1,P4370,01,0,61,70,,1,,0,0,85,5,,,2,77
77LA00104,1977-04-04,2,P5756,01,1,70, 22,P2957,01,30,0,,1,,30,,1,30,,1,94,8,,0,1,,,,900818,-,,1,P4370,01,1,52,70,,1,,1,2,78,5,,,1,77
77LA00105,1977-04-04,2,P5757,01,,70, 22,P2957,01,30,0,,1,,30,,1,30,,1,94,8,,0,1,,,,,,,1,P4370,01,0,70,70,,1,,0,0,73,10,,,2,77
77LA00106,1977-04-03,2,P5724,01,1,71, 26,P3133,01,30,0,,1,,30,,1,30,,1,93,9,,0,4,,,,,,,1,P4760,01,1,48,71,,1,,1,4,41,10,,,1,77
77LA00107,1977-04-03,2,P5725,01,,71, 26,P3133,01,30,0,,1,,30,,1,30,,1,93,9,,0,4,,,,,,,1,P4760,01,0,54,71,,1,,0,0,40,10,,,2,77
77LA00108,1977-04-03,1,P5726,01,,71, 26,P3133,01,30,0,,1,,30,,1,30,,1,93,9,,284,4,,3,,,&,,1,P4760,01,0,74,71,,1,93,0,0,47,5,,,3,77
77LA00109,1977-04-03,1,P5727,01,,71, 26,P3133,01,30,0,,1,,30,,1,30,,1,93,9,,284,4,,3,,,&,,1,P4760,01,0,86,71,,1,93,0,0,61,5,,,4,77
77LA00110,1977-03-26,1,P5565,01,1,71, 26,P3181,01,30,0,,1,,30,,1,30,,1,85,8,,0,4,,,,,,,1,P4760,01,1,75,71,,1,,1,2,80,10,,,1,77
77LA00111,1977-03-26,1,P5566,01,,71, 26,P3181,01,30,0,,1,,30,,1,30,,1,85,8,,0,4,,,,,,,1,P4760,01,0,72,71,,1,,0,0,75,10,,,2,77
77LA00112,1977-04-10,3,P5927,01,1,70, 21,P3186,01,30,0,,1,,30,,1,30,,1,100,9,,0,4,,,,592901,+,,1,P4761,01,1,85,70,,1,,1,3,112,15,,,1,77
77LA00113,1977-04-10,3,P5942,01,,70, 21,P3186,01,30,0,,1,,30,,1,30,,1,100,9,,0,4,,,,627062,-,,1,P4761,01,0,64,70,,1,,0,0,103,5,,,2,77
77LA00114,1977-04-10,2,P5943,01,,70, 21,P3186,01,30,0,,1,,30,,1,30,,1,100,9,,0,4,,,,627062,-,,1,P4761,01,0,62,70,,1,,0,0,87,5,,,3,77
