UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,TENT,TIME,ADAM,Y5A,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
86LA02766,1986-04-27,2,T8252,43,1,43,431,T5851,43,2,,30,,1,02,,1,117,8,1,233,3,,7,02,,,T7619,43,1,0,43,6,1,97,1,2,8.5,0,,2,1,86
86LA02767,1986-04-27,2,,,,43,431,T5851,43,2,,30,,1,02,,1,117,8,1,117,3,,6,02,,,T7619,43,0,0,43,6,1,46,0,0,6.5,0,,2,2,86
86LA02768,,,,,1,42,812,T5859,43,,,30,,,02,1,,0,,,0,,,,02,,,T6405,43,1,0,42,3,0,,0,0,0.0,0,,,1,86
86LA02769,1986-05-08,3,X3019,80,1,00,812,T5859,43,,,30,1,5,20,2,1,128,5,,0,2,,,02,,,00000,97,1,92,42,0,1,,1,1,15.1,10,,,1,86
86LA02770,1986-04-20,2,T7961,43,1,41,411,T5862,43,2,17,30,1,1,02,,1,110,8,,0,4,,,02,,,T7278,43,1,58,41,6,1,,1,2,12.0,10,,4,1,86
86LA02771,1986-04-20,1,T7962,43,,41,411,T5862,43,2,17,30,,1,02,,1,110,8,,146,4,,6,02,,,T7278,43,0,0,41,6,1,04,0,0,12.4,0,,4,2,86
86LA02772,1986-04-20,2,X2414,80,1,44,002,T5867,43,3,,30,1,1,52,,1,110,8,,0,3,,,02,,,M6108,95,1,63,42,8,1,,1,2,10.7,10,,,1,86
86LA02773,1986-04-20,2,X2415,80,,44,002,T5867,43,3,,30,1,1,52,,1,110,8,,0,3,,,02,,,M6108,95,0,79,42,8,1,,0,0,10.7,10,,,2,86
86LA02774,1986-04-22,2,X2625,80,1,45,442,T5873,43,4,15,30,1,2,55,,1,112,5,,0,4,,,02,,,M9159,94,1,82,49,8,1,,1,1,12.9,10,,4,1,86
86LA02775,1986-05-03,1,T8363,43,1,43,436,T5880,43,3,15,30,1,1,02,,1,123,8,1,0,4,,,02,,,02586,UC,1,83,43,6,1,,1,2,11.2,10,,1,1,86
86LA02776,1986-05-03,1,T8364,43,,43,436,T5880,43,3,15,30,1,1,02,,3,123,8,1,0,4,,,02,,,02586,UC,0,80,43,6,1,,0,0,11.3,10,,1,2,86
86LA02777,1986-04-30,1,T8302,43,1,43,437,T5881,43,2,,30,,1,02,,1,120,5,2,120,2,,6,02,289280,+,03684,UC,1,0,43,6,1,14,1,1,10.7,5,,2,1,86
86LA02778,1986-05-02,1,T8345,43,1,43,435,T5887,43,2,,30,1,1,02,,1,122,5,2,0,5,,,02,,,02419,UC,1,70,43,6,1,,1,1,12.2,10,03,2,1,86
86LA02779,1986-04-12,2,T7702,43,1,42,802,T5894,43,4,14,30,1,1,02,,1,102,8,,0,4,50,,02,,,T6573,43,1,77,42,3,1,,1,2,9.6,10,,3,1,86
86LA02780,1986-04-12,2,T7703,43,,42,802,T5894,43,4,14,30,1,1,02,,1,102,8,,0,4,,,02,,,T6573,43,0,69,42,3,1,,0,0,9.4,10,,3,2,86
86LA02781,1986-05-02,2,T8335,43,1,43,436,T5914,43,2,,30,1,1,02,,1,122,5,2,0,3,,,02,,,02586,UC,1,81,43,6,1,,1,1,12.4,10,,2,1,86
86LA02782,1986-04-12,1,T7696,43,1,40,403,T5932,43,5,10,30,,1,02,,1,102,5,,233,3,,7,02,,,T6533,43,1,0,40,2,1,97,1,1,13.2,0,,4,1,86
86LA02783,1986-04-09,2,X1357,80,1,44,002,T5935,43,1,,30,1,1,52,,1,99,8,,0,4,09,,02,,,M6108,95,1,62,49,8,1,,1,2,7.4,10,,,1,86
86LA02784,1986-04-09,2,X1358,80,,44,002,T5935,43,1,,30,1,1,52,,1,99,8,,0,4,,,02,,,M6108,95,0,77,49,8,1,,0,0,8.5,10,,,2,86
86LA02785,1986-04-18,2,T7886,43,1,41,413,T5942,43,4,14,30,1,2,02,,1,108,5,,0,3,,,02,,,T7388,43,1,77,41,6,1,,1,1,11.6,10,,4,1,86
86LA02786,1986-04-23,1,T8123,43,1,40,404,T5950,43,3,,30,1,1,02,,1,113,8,,0,2,,,02,,,T6755,43,1,95,40,2,1,,1,2,12.3,10,,,1,86
86LA02787,1986-04-23,2,T8124,43,,40,404,T5950,43,3,,30,,1,02,,1,113,8,,122,2,,6,02,,&,T6755,43,0,0,40,2,1,80,0,0,8.3,0,,,2,86
86LA02788,1986-04-27,2,T8239,43,1,41,412,T5971,43,1,,30,,1,02,,1,117,5,,233,3,,7,02,,,T6983,43,1,0,41,6,1,97,1,1,11.0,0,,,1,86
86LA02789,1986-05-19,1,T8507,43,1,43,433,T5972,43,,,30,1,1,02,,1,139,8,1,0,3,,,02,,,T7053,43,1,78,43,6,1,,1,2,12.6,10,,2,1,86
86LA02790,1986-05-19,2,T8508,43,,43,433,T5972,43,,,30,1,1,02,,1,139,8,1,0,3,,,02,,,T7053,43,0,72,43,6,1,,0,0,10.8,10,,2,2,86
86LA02791,1986-04-18,2,T7902,43,1,40,404,T5974,43,5,,30,1,1,02,,1,108,8,,0,3,07,,02,,,T6755,43,1,79,40,2,1,,1,2,12.6,10,,,1,86
86LA02792,1986-04-18,1,T7903,43,,40,404,T5974,43,5,,30,1,1,02,,1,108,8,,0,3,,,02,,,T6755,43,0,75,40,2,1,,0,0,13.4,10,,,2,86
86LA02793,1986-04-21,2,T8006,43,1,42,832,T5986,43,5,,30,1,1,02,,1,111,8,,0,2,,,02,,,T6564,43,1,65,42,3,1,,1,2,7.5,10,,,1,86
86LA02794,1986-04-21,2,T8007,43,,42,832,T5986,43,5,,30,1,1,02,,1,111,8,,0,2,,,02,,&,T6564,43,0,45,42,3,1,,0,0,7.6,5,21,,2,86
86LA02795,1986-04-30,2,T8294,43,1,42,942,T5987,43,1,,30,1,1,02,,1,120,5,,0,2,,,02,,,T6615,43,1,68,42,3,1,,1,1,11.2,10,,,1,86
86LA02796,1986-04-14,3,X1797,80,1,45,442,T5993,43,5,,30,1,1,55,,1,104,8,,0,4,08,,02,,,M9159,94,1,63,42,8,1,,1,2,12.5,10,,,1,86
86LA02797,1986-04-14,2,X1798,80,,45,442,T5993,43,5,,30,,1,55,,1,104,8,,150,4,,6,02,,&,M9159,94,0,0,42,8,1,23,0,0,9.9,0,,,2,86
86LA02798,,,,,1,43,433,T5999,43,,,30,,,02,,,0,,2,0,,,,02,,,T7053,43,1,0,43,6,0,,0,0,0.0,0,,2,1,86
86LA02799,1986-05-08,2,T8462,43,1,43,433,T6000,43,,,30,1,1,02,,1,128,5,2,0,3,,,02,,,T7053,43,1,91,43,6,1,,1,1,14.0,10,,3,1,86
86LA02800,1986-04-20,2,T7980,43,1,40,401,T6005,43,5,,30,,1,02,,1,110,8,,130,3,06,6,02,,,T6668,43,1,0,40,2,1,19,1,2,10.4,0,,,1,86
86LA02801,1986-04-20,1,T7981,43,,40,401,T6005,43,5,,30,,2,02,,1,110,8,,128,3,,3,02,,&,T6668,43,0,0,40,2,1,93,0,0,10.2,0,,,2,86
86LA02802,1986-04-20,2,T7967,43,1,42,952,T6007,43,3,,30,1,1,02,,1,110,8,,0,4,,,02,,,T6391,43,1,81,42,3,1,,1,2,11.4,10,,,1,86
86LA02803,1986-04-20,1,,,,42,952,T6007,43,3,,30,,1,02,,1,110,8,,110,4,,6,02,,,T6391,43,0,0,42,3,1,29,0,0,8.8,0,59,,2,86
86LA02804,1986-04-24,1,T8142,43,1,40,402,T6013,43,3,17,30,,1,02,,1,114,8,,123,3,,6,02,,,T6935,43,1,0,40,2,1,41,1,2,13.4,0,05,2,1,86
86LA02805,1986-04-24,2,T8143,43,,40,402,T6013,43,3,17,30,,1,02,,1,114,8,,127,3,,6,02,,,T6935,43,0,0,40,2,1,41,0,0,12.1,0,,2,2,86
86LA02806,1986-04-30,2,X2884,80,1,45,442,T6014,43,1,16,30,1,1,55,,1,120,8,,0,2,,,02,653843,-,M9159,94,1,69,42,8,1,,1,2,9.3,5,,1,1,86
86LA02807,1986-04-30,3,X2885,80,,45,442,T6014,43,1,16,30,1,1,55,,1,120,8,,0,2,,,02,,,M9159,94,0,73,42,8,1,,0,0,9.1,10,,1,2,86
86LA02808,1986-04-26,1,X2807,80,1,45,441,T6019,43,1,,30,1,1,55,,1,116,8,,0,5,,,02,,,X0466,80,1,67,41,8,1,,1,2,11.4,10,,,1,86
86LA02809,1986-04-26,1,X2808,80,,45,441,T6019,43,1,,30,1,1,55,,1,116,8,,0,5,,,02,,,X0466,80,0,81,41,8,1,,0,0,12.4,10,,,2,86
86LA02810,1986-04-18,1,T7900,43,1,40,403,T6025,43,3,,30,1,1,02,,1,108,8,,0,5,,,02,,,T6533,43,1,79,40,2,1,,1,2,12.0,10,,,1,86
86LA02811,1986-04-18,1,T7901,43,,40,403,T6025,43,3,,30,1,1,02,,1,108,8,,0,5,,,02,,,T6533,43,0,65,40,2,1,,0,0,13.0,10,,,2,86
86LA02812,1986-05-06,2,T8436,43,1,43,431,T6035,43,,,30,,1,02,,1,126,5,2,233,2,,7,02,,,T7619,43,1,0,43,6,1,97,1,1,12.9,0,,2,1,86
86LA02813,1986-05-06,1,T8450,43,1,43,432,T6043,43,,,30,,1,02,,1,126,5,2,177,4,,6,02,,,T7033,43,1,0,43,6,1,54,1,1,15.7,0,,1,1,86
86LA02814,1986-05-06,2,T8437,43,1,43,432,T6049,43,,,30,1,1,02,,1,126,5,2,0,4,,,02,,,T7033,43,1,90,43,6,1,,1,1,11.6,10,,2,1,86
