UID,YR,SEX,LAMB,LBRD,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,LB2,DB2,SB2,LB,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
60LA00058,60,1,2445,10,1,69,358,1919,10,1,,5,4,,1,07,,1,104,8,,0,4,,,,,,,0,0,4,0,4588,1,14,87,69,4,,2,11.4,,,,&,2,1,1,2,1,10,1960-04-13
60LA00059,60,2,2455,10,1,69,408,1931,10,1,,,4,,1,07,,1,106,8,,108,3,,,,,,,0,0,4,0,3087,1,14,,69,4,,,9.4,,6,,&,1,1,1,2,1,0,1960-04-15
60LA00060,60,2,2456,10,1,69,408,1931,10,1,,3,4,,1,07,,1,106,8,,0,3,,,,,,,0,0,4,0,3087,1,14,83,69,4,,2,10.2,,,,&,2,1,1,2,1,10,1960-04-15
60LA00061,60,1,2426,10,1,69,378,1935,10,1,,5,4,,1,07,,1,101,8,,0,3,,,,,,,0,0,4,0,1755,1,14,78,69,4,,1,11.0,,,,&,1,1,1,2,1,10,1960-04-10
60LA00062,60,2,2427,10,1,69,378,1935,10,1,,5,4,,1,07,,1,101,8,,0,3,,,,,,,0,0,4,0,1755,1,14,62,69,4,,1,9.0,,,,&,2,1,1,2,1,10,1960-04-10
60LA00063,60,1,2390,10,1,69,368,1942,10,1,,1,4,,1,07,,1,96,5,,0,4,,,,,,,0,0,4,0,4424,1,14,92,69,4,,1,10.4,,,,&,1,1,1,1,1,10,1960-04-05
60LA00064,60,1,5401,14,1,41,410,1952,10,1,00,1,4,,1,07,,2,98,5,,0,4,,,00,,,,4,0,7,2,7166,1,17,90,69,1,,1,12.6,,,,&,1,1,1,1,1,10,1960-04-07
60LA00065,60,2,2364,10,1,69,258,1962,10,1,,5,4,,1,07,,1,92,8,,0,5,,,,,,,0,0,4,0,2805,1,14,85,69,4,,1,10.6,,,,&,1,1,1,2,1,10,1960-04-01
60LA00066,60,2,2365,10,1,69,258,1962,10,1,,5,4,,1,07,,1,92,8,,0,5,,,,,,,0,0,4,0,2805,1,14,83,69,4,,1,10.0,,,,&,2,1,1,2,1,10,1960-04-01
60LA00067,60,2,2413,10,1,69,238,1966,10,1,,3,4,,1,07,,1,100,8,,102,1,,,,,,,0,0,1,0,5318,1,11,,69,4,,,8.0,,2,,&,1,1,1,2,1,0,1960-04-09
