UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA01462,1981-04-16,1,S3946,19,1,12,881,S0428,19,07,,1,,40,,1,07,,1,106,8,,0,4,,,,,,,S2194,19,1,44,12,3,1,,1,2,089,10,,,1,81
81LA01463,1981-04-16,2,S3947,19,,12,881,S0428,19,07,,1,,40,,1,07,,1,106,8,,0,4,,,,,,,S2194,19,0,57,12,3,1,,0,0,089,10,,,2,81
81LA01464,1981-04-05,3,X7088,79,1,,,S0460,19,07,,,,40,,5,10,,1,95,5,,95,3,,6,,668579,+,,00000,97,1,0,07,9,1,01,1,1,132,0,,,1,81
81LA01465,1981-04-03,1,S3449,19,1,10,101,S0462,19,07,,1,,40,,1,07,,1,93,8,,0,4,,,,,,,S2245,19,1,43,10,2,1,,1,2,104,10,,,1,81
81LA01466,1981-04-03,1,S3450,19,,10,101,S0462,19,07,,1,,40,,1,07,,1,93,8,,0,4,,,,,,,S2245,19,0,44,10,2,1,,0,0,094,10,,,2,81
81LA01467,1981-04-13,1,M1358,94,1,31,707,S0467,19,07,,1,,40,,1,31,,1,103,8,,0,3,,,,,,,P8768,01,1,59,10,4,1,,1,2,090,10,,,1,81
81LA01468,1981-04-13,2,M1359,94,,31,707,S0467,19,07,,1,,40,,1,31,,1,103,8,,0,3,,,,,,,P8768,01,0,70,10,4,1,,0,0,082,10,,,2,81
81LA01469,1981-04-11,2,S3815,19,1,13,134,S0495,19,07,,1,,40,,1,07,,1,101,8,,0,3,,,,,,,S2620,19,1,69,13,6,1,,1,2,111,10,,,1,81
81LA01470,1981-04-11,1,S3816,19,,13,134,S0495,19,07,,1,,40,,1,07,,1,101,8,,0,3,,,,,,,S2620,19,0,68,13,6,1,,0,0,118,10,,,2,81
81LA01471,1981-03-30,1,S3330,19,1,11,111,S0496,19,07,,1,,40,,1,07,,1,89,5,,0,4,,,,,,,S2957,19,1,95,11,6,1,,1,1,139,10,,,1,81
81LA01472,,,,19,1,10,102,S0503,19,07,,,,40,,,07,1,,0,,,0,,,,,,,,S2502,19,1,0,10,2,0,,0,0,,0,,,1,81
81LA01473,1981-03-24,2,X6447,79,1,00,102,S0503,19,07,,1,,40,,1,00,3,1,83,8,,0,3,,,,,,,00000,00,1,84,10,0,1,,1,2,114,10,,,1,81
81LA01474,1981-03-24,3,X6448,79,,00,102,S0503,19,07,,1,,40,,1,00,3,1,83,8,,0,3,,,,,,,00000,00,0,84,10,0,1,,0,0,128,10,,,2,81
81LA01475,1981-04-06,1,S3641,19,1,11,113,S0508,19,07,,1,,40,,1,07,,1,96,5,,0,4,,,,,,,S3008,19,1,75,11,6,1,,1,1,104,10,,,1,81
81LA01476,1981-04-03,2,S3498,19,1,10,102,S0514,19,07,,1,,40,,1,07,,1,93,8,,0,3,,,,,,,S2502,19,1,83,10,2,1,,1,2,124,10,,,1,81
