UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
00LA01698,00,S8161,10,13,32,S9049,10,3.0,42,43,,,1,0,n,F,0411,102,8,3,2,13.0,1,1,R1798,11,13,43,,0,,,,,"BLK.DOT,NECK",,,.,J,1,0345,,1,1,2,1,1,1.0,77,1,60,181,1,2000-04-11,Y,0.05
00LA01699,00,S8121,10,13,31,S9526,10,3.0,43,43,,,1,0,n,F,0410,101,8,3,2,11.4,1,1,R1790,11,13,43,,0,,,,,,,,.,J,2,2100,,0,0,0,1,1,1.0,66,1,46,181,1,2000-04-10,Y,0.037
00LA01700,00,S8121,10,13,31,S9526,10,3.0,43,43,,,1,0,n,F,0410,101,8,3,2,10.0,1,1,R1789,11,13,43,,0,,,,,,,,.,J,1,2100,,1,1,2,1,1,1.0,81,1,62,181,1,2000-04-10,Y,0.037
00LA01701,00,S8380,10,10,23,S9105,10,3.0,07,07,,,1,0,y,M,0411,102,8,1,3,12.7,1,1,R1821,11,10,07,,0,,,,,,,,.,Y,1,1120,,1,1,2,1,1,1.0,108,1,82,181,1,2000-04-11,Y,0.031
00LA01702,00,S8380,10,10,23,S9105,10,3.0,07,07,,,1,0,y,M,0411,102,8,1,3,8.5,1,1,R1822,11,10,07,3,103,93,,8,,?BREED X,,,.,Y,2,1120,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.031
00LA01703,00,S8225,10,12,87,S9632,10,3.0,42,07,,,1,0,y,C,0411,102,9,3,3,8.3,1,1,R1820,11,12,43,,0,,,,,,,,.,Y,3,0945,,0,0,0,1,1,1.0,67,1,51,181,1,2000-04-11,Y,0.02
00LA01704,00,S8225,10,12,87,S9632,10,3.0,42,07,,,1,0,y,C,0411,102,9,3,3,8.6,1,1,R1818,11,12,43,3,103,93,,8,,,,,.,Y,1,0945,,1,1,3,1,0,0.0,0,,0,0,,2000-04-11,,0.02
00LA01705,00,S8225,10,12,87,S9632,10,3.0,42,07,,,1,0,y,C,0411,102,9,3,2,8.3,1,1,R1819,11,12,43,,0,,,,,,,,.,Y,2,0945,,0,0,0,1,1,1.0,77,1,68,181,1,2000-04-11,Y,0.02
00LA01706,00,S8832,10,10,21,S9161,10,3.0,07,43,,,1,0,y,M,0410,101,8,3,3,11.6,1,1,R1788,11,10,07,,0,,,,,,,,.,J,2,2030,,0,0,0,1,1,1.0,80,1,54,181,1,2000-04-10,Y,0.064
00LA01707,00,S8832,10,10,21,S9161,10,3.0,07,43,,,1,0,y,M,0410,101,8,3,2,11.5,1,1,R1787,11,10,07,,0,,,,,4TEATS,,,.,J,1,2030,,1,1,2,1,1,1.0,74,1,51,181,1,2000-04-10,Y,0.064
00LA01708,00,S9102,10,11,13,S9801,10,2.0,07,07,,,1,0,y,R,0411,102,5,3,2,12.6,1,1,R1813,11,11,07,,0,,,,,,,,.,Y,1,0840,,1,1,1,1,1,1.0,106,1,75,181,1,2000-04-11,Y,0.049
00LA01709,00,S9354,10,11,12,S9039,10,2.0,07,07,,,1,0,y,R,0411,102,5,2,3,12.2,1,1,R1803,11,11,07,,0,,,,,,,,.,J,1,0600,,1,1,1,1,1,1.0,98,1,77,181,1,2000-04-11,Y,0.063
00LA01710,00,S9511,10,10,21,S9161,10,2.0,07,43,,,1,0,n,M,0411,102,8,4,1,12.5,1,1,R1797,11,10,07,,0,,,,,,,,.,J,2,0335,,0,0,0,1,1,1.0,77,1,55,181,1,2000-04-11,Y,0.062
00LA01711,00,S9511,10,10,21,S9161,10,2.0,07,43,,,1,0,n,M,0411,102,8,4,2,11.4,1,1,R1796,11,10,07,,0,,,,,4TEATS,,,.,J,1,0335,,1,1,2,1,1,1.0,83,1,63,181,1,2000-04-11,Y,0.062
00LA01712,00,S9988,10,12,e.3,K0150,64,1.0,43,05,NN,CC,4,0,y,H,0411,102,5,3,3,14.0,1,1,Z6372,81,00,00,,0,,,,,4TEATS,,,.,Y,1,0945,,1,1,1,1,1,1.0,87,1,72,181,1,2000-04-11,Y,0.0
00LA01713,00,S7192,10,13,34,S7853,10,4.0,07,43,,,1,0,n,F,0411,102,9,2,3,9.8,1,1,R1792,11,13,07,3,126,93,,8,BLUEBAG5/5/00,,,,.,J,1,2430,,1,1,3,1,0,0.0,0,,0,0,,2000-04-11,,0.052
00LA01714,00,S7192,10,13,34,S7853,10,4.0,07,43,,,1,0,n,F,0411,102,9,2,3,7.0,1,1,R1793,11,13,07,6,127,23,,8,BLUEBAG5/5/00,1CRYPTORCHID,,,.,J,2,2430,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.052
00LA01715,00,S7192,10,13,34,S7853,10,4.0,07,43,,,1,0,n,F,0411,102,9,2,2,5.8,1,1,R1794,11,13,07,3,104,93,,8,,,,,.,J,3,2430,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.052
00LA01716,00,S7096,10,13,33,S9451,10,4.0,43,43,,,1,0,n,F,0411,102,8,3,3,10.3,1,1,R1807,11,13,43,,0,,,,,1CRYPTORCHID,,,.,B,2,0500,,0,0,0,1,1,1.0,65,1,56,181,1,2000-04-11,Y,0.052
00LA01717,00,S7096,10,13,33,S9451,10,4.0,43,43,,,1,0,n,F,0411,102,8,3,2,10.3,1,1,R1806,11,13,43,,0,,,,SUCK1SIDE,,,,.,B,1,0500,,1,1,2,1,1,1.0,79,1,62,181,1,2000-04-11,Y,0.052
00LA01718,00,S7341,10,10,24,S8152,10,4.0,07,07,,,1,0,n,M,0410,101,5,4,1,15.7,1,1,R1774,11,10,07,,0,,,,,,,,.,J,1,1500,,1,1,1,1,1,1.0,105,1,76,181,1,2000-04-10,Y,0.04
00LA01719,00,S7403,10,11,14,S9028,10,4.0,07,07,,,1,0,y,R,0410,101,8,4,3,11.3,1,1,R1778,11,11,07,,0,,,,,,,,.,J,1,1720,,1,1,2,1,1,1.0,84,1,57,181,1,2000-04-10,Y,0.048
00LA01720,00,S7403,10,11,14,S9028,10,4.0,07,07,,,1,0,y,R,0410,101,8,4,2,11.0,1,1,R1779,11,11,07,,0,,,,,,,,.,J,2,1720,,0,0,0,1,1,1.0,71,1,60,181,1,2000-04-10,Y,0.048
00LA01721,00,S7816,10,13,33,S9451,10,3.0,42,43,,,1,0,n,F,0411,102,8,2,1,10.3,1,1,R1816,11,13,43,,0,,,,,,,,.,Y,1,0905,,1,1,2,1,1,1.0,79,1,62,181,1,2000-04-11,Y,0.057
00LA01722,00,S7816,10,13,33,S9451,10,3.0,42,43,,,1,0,n,F,0411,102,8,2,3,9.4,1,1,R1817,11,13,43,3,103,93,,8,,HAIRY,,,.,Y,2,0905,,0,0,0,1,0,0.0,0,,0,0,,2000-04-11,,0.057
