UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
03LA00055,03,A8714,04,81,-3-,A7198,04,2.0,2,30,30,1,0,y,X,0331,90,8,3,3,8.9,1,1,Z8618,81,00,30,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,80,1,63.5,177,1,2003-03-31,0.049
03LA00056,03,A8714,04,81,-3-,A0000,04,2.0,2,30,30,1,0,y,X,0331,90,8,3,2,8.2,1,1,Z8619,81,00,30,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,74,1,56.5,177,1,2003-03-31,0.0
03LA00057,03,A9083,04,82,e12,A8820,04,1.0,1,30,30,4,0,n,M,0331,90,5,3,2,10.3,1,1,H0407,05,88,30,,,,,,,,,,.,J,1,....,,1,1,1,1,1,1.0,84,1,67.5,177,1,2003-03-31,0.071
03LA00058,03,A9545,04,81,e10,A8579,04,1.0,1,30,30,4,0,n,M,0330,89,5,2,2,5.5,1,1,H0406,05,88,30,,,,,,,SMALL,,,.,J,1,....,,1,1,1,1,1,1.0,73,1,55.0,177,1,2003-03-30,0.067
03LA00059,03,A9239,04,83,e12,A8820,04,1.0,1,30,30,4,0,n,M,0330,89,5,2,2,8.3,1,1,H0405,05,88,30,,,,,,R.P.,,,,.,J,1,....,,1,1,1,1,1,1.0,68,1,56.5,177,1,2003-03-30,0.055
03LA00060,03,A9736,04,83,e10,A8579,04,1.0,1,30,30,4,0,n,M,0331,90,1,2,1,6.5,1,1,,,88,30,1,90,44,,,,,,,.,J,1,....,,1,1,1,0,0,0.0,0,0,0.0,0,*,2003-03-31,0.041
03LA00061,03,A7096,04,88,51N,K0000,64,3.0,3,30,06,1,0,y,N,0331,90,3,3,3,8.9,1,1,Z8613,81,00,33,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,83,1,79.0,191,3,2003-03-31,0.0
03LA00062,03,A7096,04,88,51N,K0000,64,3.0,3,30,06,1,0,y,N,0331,90,3,3,3,9.8,1,1,Z8614,81,00,33,,,,,,,,,,.,J,3,....,,,,0,1,1,1.0,91,1,86.0,191,3,2003-03-31,0.0
03LA00063,03,A7096,04,88,51N,K0000,64,3.0,3,30,06,1,0,y,N,0331,90,3,3,2,8.1,1,1,Z8612,81,00,33,3,90,93,,8,,,,,.,J,1,....,,1,1,4,1,0,0.0,0,0,0.0,0,3,2003-03-31,0.0
03LA00064,03,A7096,04,88,51N,K0000,64,3.0,3,30,06,1,0,y,N,0331,90,3,3,2,9.2,1,1,Z8615,81,00,33,,,,R1085,-,,,,,.,J,4,....,,,,0,1,1,0.5,81,1,60.5,177,1,2003-03-31,0.0
03LA00065,03,A7533,04,81,52N,Z0000,81,3.0,3,30,97,1,0,y,N,0331,90,8,5,3,12.3,5,1,Z8608,81,00,80,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,87,1,83.5,191,3,2003-03-31,0.0
03LA00066,03,A7533,04,81,52N,Z0000,81,3.0,3,30,97,1,0,y,N,0331,90,8,5,3,12.4,5,1,Z8607,81,00,80,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,91,1,86.5,191,3,2003-03-31,0.0
03LA00067,03,K1945,64,00,BLK,T0000,44,2.0,2,06,02,1,1,y,X,0330,89,5,3,3,13.2,8,1,Z8585,81,00,00,,,,,,,PINTO,,,BLK,J,1,....,,1,1,1,1,1,1.0,100,1,85.5,177,1,2003-03-30,0.0
03LA00068,03,K1958,64,68,-5-,T0000,44,2.0,2,06,02,2,7,y,X,0331,90,2,1,,0.0,,,,,00,03,0,90,27,,,,,,,.,J,1,....,,1,1,2,0,0,0.0,0,0,0.0,0,*,2003-03-31,0.0
03LA00069,03,K1958,64,68,-5-,T0000,44,2.0,2,06,02,2,7,y,X,0331,90,2,1,,0.0,,,,,00,03,0,90,27,,,,,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-31,0.0
03LA00070,03,K0930,64,68,-2-,T7305,44,4.0,4,06,02,1,7,y,X,0330,89,8,3,2,10.9,1,1,Z8596,81,00,03,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,77,1,62.0,177,1,2003-03-30,0.0
03LA00071,03,K0930,64,68,-2-,T7305,44,4.0,4,06,02,1,7,y,X,0330,89,8,3,2,9.7,1,1,Z8595,81,00,03,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,82,1,66.5,177,1,2003-03-30,0.0
03LA00072,03,R1085,11,10,-2-,T7305,44,3.0,3,07,02,1,0,y,X,0331,90,5,4,2,10.3,1,1,Z8616,81,00,01,,,,Z8615,+,,,,,.,J,1,....,,1,1,1,1,1,1.5,62,1,41.4,177,1,2003-03-31,0.0
03LA00073,03,R0203,11,11,-1-,T7925,44,4.0,4,07,02,1,0,y,X,0331,90,8,4,3,11.2,1,1,Z8610,81,00,01,6,107,19,,,,,,,.,J,1,....,,1,1,2,1,0,0.0,0,0,0.0,0,1,2003-03-31,0.0
03LA00074,03,R0203,11,11,-1-,T7925,44,4.0,4,07,02,1,0,y,X,0331,90,8,4,2,8.2,1,1,Z8611,81,00,01,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,94,1,75.0,177,1,2003-03-31,0.0
03LA00075,03,R0298,11,12,-3-,A7659,04,4.0,4,07,30,1,0,y,X,0330,89,8,5,3,10.2,1,1,Z8602,81,00,31,,,,,,,,,,.,J,2,....,,,,0,1,1,1.0,72,1,64.5,177,1,2003-03-30,0.0
03LA00076,03,R0298,11,12,-3-,A7198,04,4.0,4,07,30,1,0,y,X,0330,89,8,5,2,11.2,1,1,Z8601,81,00,31,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,86,1,67.5,177,1,2003-03-30,0.0
03LA00077,03,R0739,11,13,-1-,T7925,44,4.0,4,43,02,1,0,y,X,0330,89,6,3,2,6.0,1,1,Z8590,81,00,01,6,89,27,Z8589,+,R.P.,27,,,.,J,1,....,,1,1,2,1,0,0.0,0,0,0.0,0,W,2003-03-30,0.0
03LA00078,03,R0739,11,13,-1-,T7925,44,4.0,4,43,02,1,0,y,X,0330,89,6,3,,0.0,,,,,00,01,0,89,27,,,,BLOB,,,.,J,2,....,,,,0,0,0,0.0,0,0,0.0,0,*,2003-03-30,0.0
03LA00079,03,R3565,11,18,e.4,R1231,11,1.0,1,07,07,4,0,n,M,0330,89,8,2,3,5.3,1,1,R4059,11,18,07,3,90,93,,8,,,,,.,J,2,....,,,,0,1,0,0.0,0,0,0.0,0,1,2003-03-30,0.036
03LA00080,03,R3565,11,18,e.4,R1231,11,1.0,1,07,07,4,0,n,M,0330,89,8,2,3,7.1,1,1,R4058,11,18,07,,,,,,,,,,.,J,1,....,,1,1,2,1,1,1.0,70,1,55.5,177,1,2003-03-30,0.036
03LA00081,03,R2432,11,13,-3-,A7659,04,2.0,2,43,30,1,0,y,X,0330,89,8,4,3,10.0,1,1,Z8598,81,00,31,,,,,,,BRN.RUMP,,,.,J,2,....,,,,0,1,1,1.0,73,1,55.0,177,1,2003-03-30,0.001
