UID,YR,SEX,LAMB,LB1,DATE,SIRE,BRWT,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
51LA00466,51,1,0309,2,427,9389,8.4,2,0349,2,22,5,2,1,2,1,29,290,1,7,230,,,,,,,13,,,,,14,,29,1,25,,,,,117,13,1,1,1,1,0,1951-04-27,49,48,07
51LA00467,51,,,,330,0636,0.0,2,0350,2,,0,2,,0,,82,255,1,0,0,,,,,,,13,,,,,13,,45,7,23,,,25,,89,13,1,1,1,0,0,1951-03-30,49,49,07
51LA00468,51,1,1715,2,408,0403,9.0,2,0353,2,,5,2,1,4,1,63,660,1,,0,,,,,,,13,,,,,13,,54,6,12,,81,53,,98,13,1,1,1,1,10,1951-04-08,49,49,07
51LA00469,51,2,1583,2,405,0450,10.0,2,0377,2,30,5,2,1,2,2,36,360,1,,0,,,,,,,13,,,,,13,13,36,1,17,,63,,,95,13,1,1,1,1,10,1951-04-05,49,49,07
51LA00470,51,1,0164,2,417,0450,9.8,2,0383,2,29,5,2,1,2,1,36,360,1,6,0,,,,,,,13,,,,,14,,36,1,16,,,,,107,13,1,1,1,1,0,1951-04-17,49,49,07
51LA00471,51,2,0187,2,418,0543,9.0,2,0390,2,24,5,2,9,3,1,28,280,1,,0,,,,,,,13,,,,,14,,28,1,17,,48,,,108,13,1,1,1,1,10,1951-04-18,49,49,07
51LA00472,51,2,1845,2,410,0848,9.4,2,0398,2,21,5,2,1,3,1,40,401,1,,0,,,,,,,13,,,,,13,,40,1,27,,62,,,100,13,1,1,1,1,10,1951-04-10,49,50,07
51LA00473,51,1,0121,2,416,0346,11.8,2,0399,2,,5,2,1,5,1,63,670,1,,0,,,,,,,13,,,,,14,,53,6,03,,62,54,,106,13,1,1,1,1,10,1951-04-16,49,49,07
51LA00474,51,2,0312,2,427,9263,9.8,2,0401,2,30,5,2,3,4,1,25,250,1,,0,1,,,,,02,13,,,,,14,,25,1,23,,38,,,117,13,1,1,1,1,10,1951-04-27,49,48,07
51LA00475,51,2,0084,2,415,2744,8.6,1,0405,2,,5,2,1,3,2,82,234,1,,0,,,,,,,13,,,,,14,,40,7,11,,53,23,,105,11,1,1,1,1,10,1951-04-15,49,48,07
51LA00476,51,1,1896,2,411,0323,7.6,2,0410,2,15,5,2,1,2,1,53,530,1,,0,,,,,,,13,,,,,13,,53,1,02,,62,,,101,13,1,1,1,1,10,1951-04-11,49,49,07
51LA00477,51,1,1625,2,406,9444,8.4,2,0412,2,,5,2,1,2,1,82,444,1,,0,,,,,,,13,,,,,13,,45,7,12,,74,44,,96,13,1,1,1,1,10,1951-04-06,49,48,07
51LA00478,51,2,1937,2,412,0561,11.8,2,0415,2,24,5,2,1,4,1,40,400,1,,0,2,,,,,16,13,,,,,13,,40,1,19,,65,,,102,13,1,1,1,1,10,1951-04-12,49,49,07
51LA00479,51,2,1490,2,402,9444,8.2,2,0431,2,17,5,2,1,4,1,44,440,1,,0,,,,,,25,13,,,,,13,,44,1,04,,67,,,92,13,1,1,1,1,10,1951-04-02,49,48,07
51LA00480,51,2,1780,2,409,0543,10.0,2,0438,2,24,5,2,1,3,1,28,280,1,,0,,,,,,,13,,,,,13,,28,1,11,,56,,,99,13,1,1,1,1,10,1951-04-09,49,49,07
51LA00481,51,1,0235,2,420,0346,9.0,2,0440,2,26,5,2,1,4,2,54,540,1,,0,,,,,,,13,,,,,14,,54,1,12,,57,,,110,13,1,1,1,1,10,1951-04-20,49,49,07
51LA00482,51,1,1604,2,406,0206,11.2,2,0442,2,22,5,2,1,4,1,47,470,1,,0,,,,,,,13,,,,,13,,47,1,06,,80,,,96,13,1,1,1,1,10,1951-04-06,49,49,07
51LA00483,51,1,0108,2,416,0636,11.4,2,0443,2,,5,2,1,4,1,82,255,1,,0,,,,,,,13,,,,,14,,49,7,13,,78,25,,106,13,1,1,1,1,10,1951-04-16,49,49,07
51LA00484,51,1,,,414,0206,0.0,2,0451,2,23,0,2,,4,,47,470,1,0,0,,,,,,,13,,,,,13,,47,1,07,,,,,104,13,1,1,1,0,0,1951-04-14,49,49,07
51LA00485,51,1,0104,2,416,0450,10.4,2,0457,2,30,5,2,1,4,2,36,360,1,6,0,,,,,,,13,,,,,14,,36,1,17,,,,,106,13,1,1,1,1,0,1951-04-16,49,49,07
51LA00486,51,1,0286,2,423,0206,9.4,2,0475,2,21,5,2,1,2,2,47,470,1,,0,,,,,,,13,,,,,14,,47,1,08,,71,,,113,13,1,1,1,1,10,1951-04-23,49,49,07
51LA00487,51,1,0333,2,430,0206,10.0,2,0476,2,21,5,2,1,2,1,47,470,1,,0,,,,,,,13,,,,,14,,47,1,08,,62,,,120,13,1,1,1,1,10,1951-04-30,49,49,07
51LA00488,51,2,0201,2,419,0206,8.8,2,0477,2,24,5,2,1,4,1,47,470,1,,0,,,,,,,13,,,,,14,,47,1,08,,50,,,109,13,1,1,1,1,10,1951-04-19,49,49,07
51LA00489,51,2,0252,2,421,0543,9.8,2,0482,2,22,5,2,1,4,1,28,280,1,2,0,,,,,,,13,,,,,14,,28,1,09,,,,,111,13,1,1,1,1,0,1951-04-21,49,49,07
51LA00490,51,,,,514,0202,0.0,2,0489,2,27,,2,,,,51,511,1,,0,,,,,,,13,,,6,,14,,51,1,25,,,,,134,13,0,0,0,0,0,1951-05-14,49,49,07
51LA00491,51,2,1582,2,405,0637,9.8,2,0495,2,,5,2,2,3,1,63,650,1,,0,1,,,,,04,13,,,,,13,,54,6,06,,62,53,,95,13,1,1,1,1,10,1951-04-05,49,49,07
51LA00492,51,1,0315,2,427,9987,9.6,2,0503,2,34,5,2,1,4,1,50,500,1,2,0,,,,,,,13,,,,,14,16,50,1,26,,,,,117,13,1,1,1,1,0,1951-04-27,49,49,07
51LA00493,51,2,0067,2,415,0378,8.8,2,0511,2,23,5,2,1,3,1,45,451,1,2,0,1,,,,,04,13,,,,,14,,45,1,13,,,,,105,13,1,1,1,1,0,1951-04-15,49,49,07
