UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA01420,L5270,03,83,P-8,,,10,1.0,30,L,,0404,8,2,2,7.5,1,1,L6629,03,,0,,,HAIRY,,,1,L3613,03,30,83,94,,1,1,1,2,1,1,10,87,1,60,178,2,,,0,1991-04-04,91,0.045
91LA01421,L5270,03,83,P-8,,,10,1.0,30,L,,0404,8,2,2,7.3,1,1,L6630,03,,0,,,HAIRY,,,2,L3613,03,30,83,94,,0,0,0,0,1,1,10,78,1,58,178,2,,,0,1991-04-04,91,0.045
91LA01422,L5271,03,83,P-7,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L3541,03,30,83,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA01423,L5273,03,81,P-4,,,10,1.0,30,L,,0402,5,2,2,8.1,1,1,L6581,03,,0,,,,,,1,L3737,03,30,81,92,,1,1,1,1,1,1,10,75,1,56,177,1,,,0,1991-04-02,91,0.071
91LA01424,L5282,03,83,P-8,,,10,1.0,30,L,,0429,8,2,2,6.3,1,1,L7827,03,3,119,93,,HAIRY,,,1,L3613,03,30,83,119,&,1,1,1,2,1,0,0,0,0,0,0,,,,0,1991-04-29,91,0.063
91LA01425,L5282,03,83,P-8,,,10,1.0,30,L,,0429,8,2,3,6.6,1,1,L7828,03,3,120,93,,HAIRY,,,2,L3613,03,30,83,119,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-29,91,0.063
91LA01426,L5283,03,82,P-6,,,10,1.0,30,L,,0328,9,2,2,5.4,1,1,L6487,03,,0,,,,,,1,L4136,03,30,82,87,,1,1,1,3,1,1,10,75,1,59,177,1,,,0,1991-03-28,91,0.063
91LA01427,L5283,03,82,P-6,,,10,1.0,30,L,,0328,9,2,2,4.2,1,1,,,1,87,44,,,,,2,L4136,03,30,82,87,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-03-28,91,0.063
91LA01428,L5283,03,82,P-6,,,10,1.0,30,L,,0328,9,2,1,4.4,1,1,,,1,87,44,,,,,3,L4136,03,30,82,87,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-03-28,91,0.063
91LA01429,L5288,03,80,P-2,,,10,1.0,30,L,,0425,8,1,3,8.7,1,1,L7817,03,3,115,93,,,,,1,L4292,03,30,80,115,&,1,1,1,2,1,0,0,0,0,0,0,,,,0,1991-04-25,91,0.049
