UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00783,58,2,4526,2,49,490,1995,13,2,21,1,7,,1,07,,1,107,8,,112,2,,,14,,,,,4,14,3125,2,14,,49,1,,,6.8,,6,,,2,1,1,2,1,0,1958-04-17
58LA00784,58,1,,,39,390,1996,14,2,17,1,4,,1,07,,1,91,1,,0,4,,,07,2298,41,+,4,4,14,1714,2,14,,39,1,4,,10.4,,1,1,,1,1,1,1,0,0,1958-04-01
58LA00785,58,2,4231,2,53,530,2005,14,2,20,1,4,,1,07,,1,96,8,,0,3,,,07,,,,5,4,14,1857,2,14,62,53,1,,,9.8,,,0,,1,1,1,2,1,10,1958-04-06
58LA00786,58,2,4232,2,53,530,2005,14,2,20,1,4,,1,07,,1,96,8,,0,3,,,07,,,,,4,14,1857,2,14,41,53,1,1,,9.0,,,,,2,1,1,2,1,10,1958-04-06
58LA00787,58,1,4423,2,36,360,2007,14,2,26,1,4,,1,07,,1,103,8,,105,4,,,23,,,,1,4,14,2377,2,14,,36,1,1,,10.4,,6,,,1,1,1,2,1,0,1958-04-13
58LA00788,58,1,4424,2,36,360,2007,14,2,26,1,4,,1,07,,1,103,8,,0,4,,,23,,,,,4,14,2377,2,14,82,36,1,2,,8.4,,,,79,2,1,1,2,1,10,1958-04-13
58LA00789,58,1,4529,2,82,325,2012,14,2,,1,4,,1,07,,1,107,8,,150,4,,,34,,,,,4,14,5016,1,11,,46,7,3,,9.4,,6,,,1,1,1,2,1,0,1958-04-17
58LA00790,58,1,4530,2,82,325,2012,14,2,,1,4,,1,07,,1,107,8,,0,4,,,34,,,,3,4,14,5016,1,11,82,46,7,2,,8.6,,,,,2,1,1,2,1,10,1958-04-17
58LA00791,58,2,4289,2,82,405,2031,14,2,,1,4,,1,07,,1,98,8,,0,4,,,33,,,,2,4,14,2435,2,14,63,46,7,,,7.4,,,1,,1,1,1,2,1,10,1958-04-08
58LA00792,58,1,4290,2,82,405,2031,14,2,,1,4,,1,07,,1,98,8,,0,4,,,33,,,,,4,14,2435,2,14,76,46,7,1,,10.0,,,,,2,1,1,2,1,10,1958-04-08
58LA00793,58,2,4215,2,37,370,2047,14,2,22,1,4,,4,07,,1,95,5,,0,4,,,01,,,,3,4,14,1755,2,14,75,37,1,,,14.0,,,0,,1,1,1,1,1,10,1958-04-05
58LA00794,58,2,4108,2,82,344,2052,14,2,,1,4,,1,07,,1,92,5,,0,4,,,18,,,,2,4,14,4458,1,11,65,49,7,,,8.4,,,1,,1,1,1,1,1,10,1958-04-02
58LA00795,58,2,,,22,220,2060,14,2,33,1,4,,,07,,,91,2,,0,1,,,28,,,,3,4,14,3302,2,14,,22,1,3,,4.8,,0,0,,1,1,1,2,0,0,1958-04-01
58LA00796,58,,,,22,220,2060,14,2,33,1,4,,,07,,,91,2,,0,1,,,28,,,,,4,14,3302,2,14,,22,1,,,0.0,,0,,,2,1,1,2,0,0,1958-04-01
58LA00797,58,1,4196,2,44,440,2064,14,2,24,1,4,,1,07,,1,95,8,,97,4,,,18,,,,,4,14,3220,2,14,,44,1,5,,8.2,,2,1,,1,1,1,2,1,0,1958-04-05
58LA00798,58,1,4197,2,44,440,2064,14,2,24,1,4,,1,07,,1,95,8,,0,4,,,18,,,,5,4,14,3220,2,14,79,44,1,1,,9.4,,,,,2,1,1,2,1,10,1958-04-05
58LA00799,58,1,4170,2,22,220,2070,14,2,29,1,4,,1,07,,2,94,8,,0,4,,,23,,,,2,4,14,3302,2,14,72,22,1,,,9.6,,,0,,1,1,1,2,1,10,1958-04-04
58LA00800,58,2,4171,2,22,220,2070,14,2,29,1,4,,1,07,,1,94,8,,0,4,,,23,,,,,4,14,3302,2,14,67,22,1,1,,9.4,1,,,02,2,1,1,2,1,10,1958-04-04
