UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
59LA00117,59,2,2335,0,69,398,1996,10,0,,1,2,,1,07,,1,108,5,,0,4,,,,,,,,0,10,0396,2,14,69,69,4,,,11.6,,,,&,1,1,1,1,1,10,1959-04-18
59LA00118,59,1,2285,0,69,408,1999,10,0,,1,2,,1,07,,1,100,5,,0,5,,,,,,,,0,10,3087,2,14,100,69,4,,,13.0,,,,&,1,1,1,1,1,10,1959-04-10
59LA00119,59,1,2333,5,00,448,2000,10,0,,1,2,,1,04,2,1,143,8,,0,3,,,,,,,,0,48,0000,,61,52,69,0,,,9.0,,,,&,1,1,1,2,1,10,1959-05-23
59LA00120,59,,,0,69,448,2000,10,0,,1,2,,,07,1,,143,-,,0,,,,,,,,,0,10,3776,2,14,,69,4,,,0.0,,,,,1,1,0,0,0,0,1959-05-23
59LA00121,59,1,2334,5,00,448,2000,10,0,,1,2,,1,04,2,3,143,8,,0,3,,,,,,,,0,48,0000,,61,48,69,0,,,9.0,1,,01,&,2,1,1,2,1,10,1959-05-23
59LA00122,59,1,2255,0,69,458,2001,10,0,,1,2,,1,07,,1,95,5,,0,5,,,,,,,,0,10,2926,2,14,96,69,4,,,11.0,,,,&,1,1,1,1,1,10,1959-04-05
59LA00123,59,2,2247,0,69,468,2003,10,0,,1,2,,1,07,,1,94,5,,0,3,,,,,,,,0,10,1575,2,14,75,69,4,,,10.0,,,,&,1,1,1,1,1,10,1959-04-04
59LA00124,59,2,2272,0,69,478,2005,10,0,,1,2,,1,07,,1,98,5,,0,4,,,,,,,,0,10,2461,2,14,66,69,4,,,10.8,,,,&,1,1,1,1,1,10,1959-04-08
59LA00125,59,2,2300,0,69,498,2012,10,0,,1,2,,1,07,,1,102,5,,0,3,,,,,,,,0,10,3253,2,14,68,69,4,,,11.6,,,,&,1,1,1,1,1,10,1959-04-12
59LA00126,59,1,2282,0,69,508,2017,10,0,,1,2,,1,07,,1,100,5,3,0,3,,,,,,,,0,10,1705,2,14,75,69,4,,,11.2,,,,&,1,1,1,1,1,10,1959-04-10
59LA00127,59,2,2230,0,69,518,2021,10,0,,1,2,,1,07,,1,91,8,,0,4,,,,,,,,0,10,2374,2,14,70,69,4,,,11.4,,,,&,1,1,1,2,1,10,1959-04-01
59LA00128,59,1,2231,0,69,518,2021,10,0,,1,2,,1,07,,1,91,8,,230,4,,,,,,,,0,10,2374,2,14,,69,4,,,10.2,,7,,&,2,1,1,2,1,0,1959-04-01
