UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
97LA00442,97,A3161,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0408,98,8,2,3,7.9,1,1,A4044,04,88,30,6,112,01,,,,,,,,J,1,,1,1,2,1,0,0.0,0,,0,0,,1997-04-08,0.063
97LA00443,97,A3161,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0408,98,8,2,2,6.5,1,1,A4045,04,88,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,75,1,56,178,2,1997-04-08,0.063
97LA00444,97,A3165,04,ch,j.3,A1264,04,1.0,31,31,L,2,n,c,0413,103,5,2,2,8.0,1,1,Z4016,81,ch,31,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,86,1,62,178,4,1997-04-13,0.007
97LA00445,97,A3168,04,00,e.8,A2059,04,1.0,30,30,L,1,y,,0404,94,8,3,2,11.8,1,1,A4015,04,00,30,,0,,,,BLACK EWE,,,,BLK,J,1,3,1,1,2,1,1,1.0,86,1,70,177,1,1997-04-04,0.073
97LA00446,97,A3168,04,00,e.8,A2059,04,1.0,30,30,L,1,y,,0404,94,8,3,3,10.5,1,1,A4016,04,00,30,,0,,K719663,-,,,,,BLK,J,2,3,0,0,0,1,1,0.5,67,0,51,177,1,1997-04-04,0.073
97LA00447,97,A3170,04,ch,j.4,A1297,04,1.0,31,31,L,2,n,c,0414,104,5,2,2,11.6,1,1,Z4045,81,ch,31,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,85,1,61,178,4,1997-04-14,0.016
97LA00448,97,A3178,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0418,108,5,2,3,9.3,1,1,A4357,04,88,30,,0,,,,R.P.,,,,,Y,1,,1,1,1,1,1,1.0,98,1,68,177,1,1997-04-18,0.06
97LA00449,97,A3182,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0401,91,1,2,1,7.0,1,1,,,88,30,1,0,,K927163,+,,,,,,J,1,,1,1,1,0,0,0.0,0,,0,0,,1997-04-01,0.0
97LA00450,97,A3196,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0406,96,8,1,2,4.8,1,1,A4028,04,88,30,3,97,93,,8,R.P.,,,,,Y,1,,1,1,2,1,0,0.0,0,,0,0,,1997-04-06,0.056
97LA00451,97,A3196,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0406,96,8,1,2,6.0,1,1,A4029,04,88,30,,0,,,,,4TEATS,,,,Y,2,,0,0,0,1,1,1.0,78,1,62,177,1,1997-04-06,0.056
97LA00452,97,A3198,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0331,90,5,3,2,11.8,1,1,A3985,04,88,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,94,1,77,177,1,1997-03-31,0.055
97LA00453,97,A3208,04,ch,j.5,A1444,04,1.0,31,31,L,2,n,c,0419,109,8,3,1,6.6,1,1,Z4160,81,ch,31,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,55,1,42,178,4,1997-04-19,0.042
97LA00454,97,A3208,04,ch,j.5,A1444,04,1.0,31,31,L,2,n,c,0419,109,8,3,1,7.5,1,1,Z4161,81,ch,31,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,74,1,47,178,4,1997-04-19,0.042
97LA00455,97,A3209,04,ch,j.6,T4244,44,1.0,31,32,L,2,n,c,0407,97,8,2,2,9.0,1,1,Z3949,81,ch,31,,0,,,,X RUPTURE @R,,,,,Y,1,,1,1,2,1,1,1.0,63,,0,0,H,1997-04-07,0.011
97LA00456,97,A3209,04,ch,j.6,T4244,44,1.0,31,32,L,2,n,c,0407,97,8,2,1,10.6,1,1,Z3950,81,ch,31,,0,,K737763,-,,,,,,Y,2,,0,0,0,1,1,0.5,104,0,82,178,4,1997-04-07,0.011
97LA00457,97,A3215,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0410,100,8,2,2,8.2,1,1,A4057,04,88,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,83,1,65,178,2,1997-04-10,0.075
97LA00458,97,A3215,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0410,100,8,2,3,8.5,1,1,A4058,04,88,30,3,101,93,,8,,,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1997-04-10,0.075
97LA00459,97,A3224,04,ch,j.5,A1444,04,1.0,31,31,L,2,n,c,0415,105,5,3,2,11.5,1,1,Z4068,81,ch,31,7,223,97,,,,,,,,J,1,,1,1,1,1,1,1.0,79,1,57,178,4,1997-04-15,0.026
97LA00460,97,A3229,04,ch,j.0,T4367,44,1.0,31,01,L,2,n,h,0403,93,8,2,1,8.2,1,1,Z3925,81,ch,00,,0,,,9,,,,,,Y,1,,1,1,2,1,1,1.0,77,1,64,178,4,1997-04-03,0.004
97LA00461,97,A3229,04,ch,j.0,T4367,44,1.0,31,01,L,2,n,h,0403,93,8,2,2,7.8,1,1,Z3926,81,ch,00,3,94,93,,8,,,,,,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1997-04-03,0.004
97LA00462,97,A3231,04,ch,j.0,T4367,44,1.0,30,01,L,2,n,h,0414,104,8,2,2,6.5,1,1,Z4037,81,ch,31,3,105,93,,8,,"BRN.EARS,4T'S",,,,Y,1,,1,1,2,1,0,0.0,0,,0,0,,1997-04-14,0.001
97LA00463,97,A3231,04,ch,j.0,T4367,44,1.0,30,01,L,2,n,h,0414,104,8,2,1,7.5,1,1,Z4038,81,ch,31,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,78,1,50,178,4,1997-04-14,0.001
97LA00464,97,A3236,04,ch,j.1,A0987,04,1.0,31,31,L,2,n,c,0417,107,8,3,2,7.6,1,1,Z4099,81,ch,31,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,59,1,43,178,4,1997-04-17,0.027
97LA00465,97,A3236,04,ch,j.1,A0987,04,1.0,31,31,L,2,n,c,0417,107,8,3,1,9.2,1,1,Z4100,81,ch,31,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,66,1,45,178,4,1997-04-17,0.027
97LA00466,97,A3237,04,ch,j.3,A1264,04,1.0,31,31,L,2,n,c,0418,108,5,2,2,9.2,1,1,Z4127,81,ch,31,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,73,1,52,178,4,1997-04-18,0.082
97LA00467,97,A3238,04,ch,j.2,A1126,04,1.0,31,31,L,2,n,c,0418,108,5,2,2,8.0,1,1,Z4128,81,ch,31,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,85,1,54,178,4,1997-04-18,0.024
97LA00468,97,A3243,04,ch,j.4,A1297,04,1.0,31,31,L,2,n,c,0420,110,7,2,2,8.2,1,1,Z4234,81,ch,31,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,63,1,44,178,4,1997-04-20,0.014
97LA00469,97,A3243,04,ch,j.4,A1297,04,1.0,31,31,L,2,n,c,0420,110,7,2,2,7.0,1,1,,,ch,31,1,0,,,,,,,,,Y,2,,0,0,0,0,0,0.0,0,,0,0,,1997-04-20,0.014
97LA00470,97,A3248,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0414,104,8,2,2,6.9,1,1,A4137,04,88,30,,0,,,,,4TEATS,,,,Y,1,,1,1,2,1,1,1.0,67,1,43,177,1,1997-04-14,0.07
97LA00471,97,A3248,04,81,e.8,A2059,04,1.0,30,30,L,0,y,M,0414,104,8,2,2,8.0,1,1,A4138,04,88,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,59,1,48,177,1,1997-04-14,0.07
97LA00472,97,A3251,04,ch,j.1,A0987,04,1.0,34,31,L,2,n,h,0415,105,8,1,1,8.7,1,1,Z4050,81,ch,31,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,85,1,60,178,4,1997-04-15,0.023
97LA00473,97,A3251,04,ch,j.1,A0987,04,1.0,34,31,L,2,n,h,0415,105,8,1,2,7.3,1,1,Z4051,81,ch,31,3,105,93,,8,,,,,,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1997-04-15,0.023
97LA00474,97,A3262,04,ch,j.1,A0987,04,1.0,31,31,L,2,n,c,0411,101,8,2,2,8.3,1,1,Z3988,81,ch,31,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,59,1,43,178,4,1997-04-11,0.016
97LA00475,97,A3262,04,ch,j.1,A0987,04,1.0,31,31,L,2,n,c,0411,101,8,2,2,9.3,1,1,Z3989,81,ch,31,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,68,1,51,178,4,1997-04-11,0.016
97LA00476,97,A3266,04,ch,j.0,T4367,44,1.0,31,01,L,2,n,c,0414,104,5,2,2,9.7,1,1,Z4042,81,ch,00,6,129,86,,,,PARESIS 5/9,,,,J,1,,1,1,1,1,0,0.0,0,,0,0,,1997-04-14,0.005
97LA00477,97,A3267,04,ch,j.2,A1126,04,1.0,31,31,L,2,n,c,0414,104,8,2,3,7.0,1,1,Z4036,81,ch,31,3,106,93,,8,,,,,,Y,1,,1,1,2,1,0,0.0,0,,0,0,,1997-04-14,0.011
97LA00478,97,A3267,04,ch,j.2,A1126,04,1.0,31,31,L,2,n,c,0414,104,8,2,1,7.8,1,1,Z4035,81,ch,31,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,91,1,69,178,4,1997-04-14,0.011
97LA00479,97,A3275,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0419,109,9,2,3,5.5,1,1,A4405,04,88,30,6,225,12,,,,"X,DOG BITES",,,,Y,1,,1,1,3,1,1,1.0,40,1,33,177,1,1997-04-19,0.054
97LA00480,97,A3275,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0419,109,9,2,2,5.8,1,1,A4406,04,88,30,,0,,,,,,,,,Y,2,,0,0,0,1,1,1.0,60,1,40,177,1,1997-04-19,0.054
97LA00481,97,A3275,04,81,e.9,A1985,04,1.0,30,30,L,0,y,M,0419,109,9,2,2,7.5,1,1,A4407,04,88,30,3,110,93,,8,,,,,,Y,3,,0,0,0,1,0,0.0,0,,0,0,,1997-04-19,0.054
97LA00482,97,A3280,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0408,98,8,2,3,8.0,1,1,A4041,04,88,30,,0,,,,,,,,,Y,1,,1,1,2,1,1,1.0,67,1,53,178,2,1997-04-08,0.054
97LA00483,97,A3280,04,82,e.9,A1985,04,1.0,30,30,L,0,y,C,0408,98,8,2,2,8.5,1,1,A4042,04,88,30,6,112,01,,,,,,,,Y,2,,0,0,0,1,0,0.0,0,,0,0,,1997-04-08,0.054
97LA00484,97,A3291,04,ch,j.1,A0987,04,1.0,31,31,L,2,n,h,0402,92,8,2,2,7.7,1,1,Z3906,81,ch,31,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,64,1,53,178,4,1997-04-02,0.022
97LA00485,97,A3291,04,ch,j.1,A0987,04,1.0,31,31,L,2,n,h,0402,92,8,2,2,8.3,1,1,Z3907,81,ch,31,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,63,1,50,178,4,1997-04-02,0.022
97LA00486,97,A3293,04,82,e.8,A2059,04,1.0,30,30,L,0,y,C,0329,88,8,2,2,7.7,1,1,A3976,04,88,30,,0,,,,"R.BLOODY,ok",4TEATS,,,,J,1,,1,1,2,1,1,1.0,74,1,71,177,1,1997-03-29,0.061
