ID10,DAYDIS,YR
D201864951,72,18
D201864952,72,18
D201894312,74,18
D201896051,74,18
D201898142,74,18
D201896611,75,18
D201896612,75,18
D201851421,75,18
D201851422,75,18
D201897861,76,18
D201897862,76,18
D201899352,77,18
D201865941,77,18
D201898991,77,18
D201898992,77,18
D201818891,78,18
D201818821,79,18
D201818822,79,18
D201842131,80,18
D201842132,80,18
D201813421,80,18
D201839652,82,18
D201801052,82,18
D201801055,82,18
D201837562,82,18
D201816301,83,18
D201816302,83,18
D201844042,84,18
D201808351,85,18
D201805842,85,18
D201813641,86,18
D201800973,86,18
D201842481,86,18
D201898483,93,18
D201854352,93,18
D201892303,94,18
D201865182,98,18
D201970171,10,19
D201969421,15,19
D201955851,38,19
D201920661,68,19
D201971261,68,19
D201971262,68,19
D201971263,68,19
D201966671,68,19
D201966341,69,19
D201966342,69,19
D201946761,69,19
D201989141,70,19
D201989142,70,19
D201989143,70,19
D201989144,70,19
D201944341,68,19
D201990723,70,19
D201999111,70,19
D201999112,70,19
D201999113,70,19
D201999114,70,19
D201908311,71,19
D201908312,71,19
D201947362,72,19
D201992921,74,19
D201903271,74,19
D201903272,74,19
D201998933,75,19
D201917621,75,19
D201916571,76,19
D201993393,76,19
D201999812,77,19
D201997151,77,19
D201997152,77,19
D201997153,77,19
D201997892,78,19
D201921391,78,19
D201921392,78,19
D201955811,78,19
D201997092,78,19
D201997093,78,19
D201903101,79,19
D201991934,79,19
D201997252,79,19
D201993003,79,19
D201992932,79,19
D201992933,79,19
D201946351,80,19
D201946722,80,19
D201957371,80,19
D201957372,80,19
D201912322,81,19
D201903222,81,19
D201965061,81,19
D201997283,82,19
D201986971,82,19
D201963401,82,19
D201910472,82,19
D201910473,82,19
D201966313,83,19
D201969542,85,19
D201902733,87,19
D201990421,88,19
D201900231,88,19
D201900232,88,19
D201901371,90,19
D201915532,96,19
D201905842,97,19
D201900023,98,19
D201913412,99,19
D201948491,99,19
D202006401,41,20
D202004631,68,20
D202004632,68,20
D202070492,68,20
D202006841,68,20
D202006842,68,20
D202000612,71,20
D202072771,71,20
D202072772,71,20
D202089272,71,20
D202089273,71,20
D202019831,71,20
D202052791,73,20
D202085454,73,20
D202020671,75,20
D202012341,75,20
D202089552,75,20
D202052652,75,20
D202006361,76,20
D202010013,76,20
D202057562,80,20
D202012612,81,20
D202012232,81,20
D202014642,81,20
D202064982,81,20
D202001871,82,20
D202073381,82,20
D202097592,86,20
D202019282,88,20
D202062572,88,20
D202004022,89,20
D202097062,89,20
D202002172,89,20
D202070882,89,20
D202031533,90,20
D202020661,92,20
D202020662,92,20
D202062392,97,20
D202065382,97,20
D202010732,100,20
D202023222,101,20
D202043512,104,20
D202072951,114,20
D202115221,34,21
D202123121,57,21
D202164491,57,21
D202121311,59,21
D202127061,59,21
D202127062,59,21
D202112061,62,21
D202105271,62,21
D202133401,63,21
D202103851,65,21
D202103852,65,21
D202196771,65,21
D202196772,65,21
D202196773,65,21
D202122701,65,21
D202122702,65,21
D202104322,65,21
D202104323,65,21
D202125341,66,21
D202123841,66,21
D202123842,66,21
D202132281,67,21
D202132282,67,21
D202104353,67,21
D202119891,68,21
D202119892,68,21
D202172511,68,21
D202172512,68,21
D202128311,68,21
D202125151,68,21
D202141532,69,21
D202175911,70,21
D202168021,70,21
D202168022,70,21
D202183711,61,21
D202183712,61,21
D202107053,73,21
D202176061,74,21
D202131561,74,21
D202131562,74,21
D202100812,75,21
D202100321,75,21
D202123742,76,21
D202141283,79,21
D202127492,81,21
D202110233,85,21
D202167642,89,21
D202175291,90,21
D202100632,90,21
D202125442,90,21
D202110053,92,21
D202110054,92,21
D202127542,92,21
D202122821,93,21
D202126043,94,21
D202183422,97,21
D202109303,102,21
D202286431,11,22
D202237231,18,22
D202210431,61,22
D202201521,61,22
D202225741,61,22
D202211341,61,22
D202290211,61,22
D202287501,62,22
D202287081,63,22
D202228221,65,22
D202288991,65,22
D202216091,66,22
D202209041,68,22
D202206543,68,22
D202200591,69,22
D202212181,70,22
D202285672,70,22
D202285673,70,22
D202228581,71,22
D202299943,71,22
D202299944,71,22
D202229021,71,22
D202204354,72,22
D202293173,72,22
D202236471,71,22
D202289273,72,22
D202230062,73,22
D202200631,73,22
D202223972,73,22
D202229491,73,22
D202214052,73,22
D202226531,73,22
D202201262,74,22
D202201263,74,22
D202227931,74,22
D202228141,74,22
D202228142,74,22
D202287251,74,22
D202200632,75,22
D202200991,76,22
D202209972,76,22
D202203542,76,22
D202294653,77,22
D202221731,77,22
D202205453,77,22
D202227791,78,22
D202204994,78,22
D202276442,79,22
D202222593,79,22
D202222594,79,22
D202229821,79,22
D202230821,80,22
D202272963,80,22
D202202943,82,22
D202219612,82,22
D202201101,82,22
D202296141,83,22
D202209843,81,22
D202207713,83,22
D202276472,83,22
D202232152,84,22
D202220263,84,22
D202211752,85,22
D202200252,86,22
D202290073,86,22
D202266313,86,22
D202204362,86,22
D202285462,88,22
D202215622,88,22
D202270213,88,22
D202212613,90,22
D202218802,90,22
D202229782,91,22
D202228102,92,22
D202263553,92,22
D202214043,94,22
D202225223,94,22
D202277051,94,22
D202293934,100,22
D202200981,79,22
D202302861,23,23
D202315031,41,23
D202323181,60,23
D202302671,66,23
D202399001,67,23
D202398021,72,23
D202301821,72,23
D202301451,72,23
D202301452,72,23
D202330041,72,23
D202337131,73,23
D202335221,74,23
D202335222,74,23
D202307061,74,23
D202307062,74,23
D202316491,74,23
D202380341,74,23
D202380342,74,23
D202302711,74,23
D202302712,74,23
D202316151,74,23
D202317361,74,23
D202335381,74,23
D202317451,74,23
D202317452,74,23
D202317453,74,23
D202315351,75,23
D202315352,75,23
D202335382,74,23
D202332701,76,23
D202341641,76,23
D202390382,76,23
D202334081,77,23
D202334082,77,23
D202315581,77,23
D202315582,77,23
D202315583,77,23
D202333901,78,23
D202379601,78,23
D202379602,78,23
D202316181,78,23
D202324411,78,23
D202324412,78,23
D202324413,78,23
D202316152,74,23
D202320273,79,23
D202335531,77,23
D202335532,77,23
D202335262,80,23
D202326821,80,23
D202326822,80,23
D202334031,81,23
D202334032,81,23
D202334033,81,23
D202353481,81,23
D202300151,82,23
D202300152,82,23
D202305581,82,23
D202305582,82,23
D202333303,82,23
D202301032,82,23
D202301033,82,23
D202300252,83,23
D202329181,85,23
D202329182,85,23
D202378382,86,23
D202319873,86,23
D202332572,86,23
D202332981,87,23
D202332982,87,23
D202339941,87,23
D202331612,87,23
D202300633,87,23
D202323221,87,23
D202397542,87,23
D202304351,88,23
D202375791,88,23
D202396682,89,23
D202396683,89,23
D202391343,87,23
D202329392,89,23
D202329393,89,23
D202333912,90,23
D202344771,89,23
D202344772,89,23
D202320752,90,23
D202374732,91,23
D202374192,91,23
D202310982,91,23
D202336452,91,23
D202334392,93,23
D202375172,94,23
D202331591,94,23
D202316503,96,23
D202366311,96,23
D202323892,100,23
D202368583,100,23
D202322343,104,23
D202403861,67,24
D202419071,68,24
D202419072,68,24
D202450012,68,24
D202438681,71,24
D202418621,72,24
D202418622,72,24
D202418721,72,24
D202435281,72,24
D202435282,72,24
D202401883,73,24
D202406381,73,24
D202439411,73,24
D202419741,73,24
D202432191,74,24
D202483701,74,24
D202409511,75,24
D202408011,75,24
D202408012,75,24
D202404461,75,24
D202404462,75,24
D202436851,76,24
D202436852,76,24
D202499803,76,24
D202499804,76,24
D202446331,77,24
D202498951,77,24
D202498953,77,24
D202419281,78,24
D202419282,78,24
D202438191,79,24
D202438192,79,24
D202414051,79,24
D202414052,79,24
D202499441,79,24
D202499442,79,24
D202499443,79,24
D202451021,80,24
D202437901,80,24
D202455541,80,24
D202419971,81,24
D202419972,81,24
D202454502,82,24
D202446191,82,24
D202401151,83,24
D202418241,83,24
D202418242,83,24
D202442493,84,24
D202414932,84,24
D202419211,84,24
D202419811,85,24
D202404604,84,24
D202412342,87,24
D202446821,88,24
D202419001,88,24
D202419002,88,24
D202400161,88,24
D202433381,89,24
D202433382,89,24
D202426821,90,24
D202426823,90,24
D202429852,90,24
D202429853,90,24
D202472773,90,24
D202449081,91,24
D202449082,91,24
D202440891,92,24
D202445902,92,24
D202414451,92,24
D202418572,93,24
D202418573,93,24
D202474222,93,24
D202474223,93,24
D202450871,93,24
D202471613,95,24
D202422482,96,24
D202400724,96,24
D202414084,95,24
D202441452,98,24
D202408582,100,24
D202443812,102,24
D202410571,103,24
D202410572,103,24
D202424501,104,24
D202478183,104,24
D202506131,60,25
D202506132,60,25
D202520891,69,25
D202518532,70,25
D202509251,71,25
D202509252,71,25
D202503541,73,25
D202503542,73,25
D202503543,73,25
D202520571,74,25
D202544663,76,25
D202508443,76,25
D202524412,76,25
D202511922,78,25
D202555421,81,25
D202552091,78,25
D202501132,84,25
D202504621,87,25
D202504622,87,25
D202504623,87,25
D202521662,90,25
D202549812,91,25
D202578352,92,25
D202585511,97,25
D202521213,100,25
D202552532,99,25
